Crop,2018_Sup_ha,2018_Prod_qx,2018_Rdt_qx/ha,2019_Sup_ha,2019_Prod_qx,2019_Rdt_qx/ha,Taux_accroissement_Sup_%,Taux_accroissement_Prod_%,Taux_accroissement_Rdt_%
Céréales d'hiver,3106102,60568040,19.5,3185647,56259902,17.7,3,-7,-9
Blé dur,1492546,31780207,21.3,1579080,32087678,20.3,6,1,-5
Blé tendre,455856,8031984,17.6,395907,6681084,16.9,-13,-17,-4
Orge,1080250,19573271,18.1,1133005,16477463,14.5,5,-16,-20
Avoine,77375,1180178,15.3,77626,1013052,13.1,0,-14,-14
Triticale,75,2400,32.0,30,626,20.9,0,0,0
Céréales d'été,2515,450,179.1,1665,72954,43.8,-34,-84,-76
Maïs,2250,414235,184.1,1533,63683,41.5,-32,-85,-77
Sorgho,265,36215,136.7,132,9271,70.2,-50,-74,-49
