Wilaya_Code,Wilaya_Name,Cultures_herbacées_ha,Cultures_herbacées_%,Terres_au_repos_ha,Terres_au_repos_%,Prairies_naturelles_ha,Prairies_naturelles_%,Vignes_ha,Vignes_%,Plantations_arbres_fruit_ha,Plantations_arbres_fruit_%,TOTAL_SAU_ha,TOTAL_SAU_%,Pacages_parcours_ha,Pacages_parcours_%,Terres_improductives_ha,Terres_improductives_%,TOTAL_SAT_ha,TOTAL_SAT_%
1,ADRAR,18968,3.3,1653,0.3,0,0.0,0,0.0,28860,5.0,49481,8.6,55293,9.6,469768,81.8,574542,1.3
2,CHLEF,133040,50.7,53099,20.2,845,0.3,1240,0.5,15007,5.7,203230,77.4,25714,9.8,33567,12.8,262511,0.6
3,LAGHOUAT,43848,2.4,27468,1.5,0,0.0,373,0.0,6045,0.3,77734,4.3,1715603,95.7,0,0.0,1793337,4.1
4,O.E.BOUAGHI,218718,42.4,138415,26.9,670,0.1,2,0.0,3081,0.6,360885,70.0,122272,23.7,32325,6.3,515482,1.2
5,BATNA,163829,22.0,220110,29.6,15932,2.1,92,0.0,22712,3.1,422677,56.8,239085,32.1,82264,11.1,744026,1.7
6,BEJAIA,13792,8.4,42488,25.8,1386,0.8,431,0.3,72821,44.2,130917,79.4,30290,18.4,3587,2.2,164794,0.4
7,BISKRA,54627,3.3,81006,4.9,0,0.0,51,0.0,49789,3.0,185473,11.2,1399746,84.7,67532,4.1,1652751,3.8
8,BECHAR,1828,0.1,18429,1.3,0,0.0,141,0.0,14674,1.0,35072,2.5,1319192,92.6,69834,4.9,1424098,3.2
9,BLIDA,15478,24.0,6952,10.8,1328,2.1,1169,1.8,29140,45.1,54066,83.7,8860,13.7,1660,2.6,64586,0.1
10,BOUIRA,84982,29.0,61337,20.9,178,0.1,80,0.0,43382,14.8,189959,64.7,73979,25.2,29605,10.1,293543,0.7
11,TAMANRASSET,2272,0.3,0,0.0,0,0.0,137,0.0,7800,0.9,10209,1.2,816100,92.6,55066,6.2,881375,2.0
12,TEBESSA,203794,24.9,95204,11.6,120,0.0,0,0.0,13058,1.6,312175,38.1,434088,53.0,72094,8.8,818357,1.9
13,TLEMCEN,232412,43.3,80170,14.9,0,0.0,2281,0.4,35422,6.6,350285,65.2,153964,28.7,33025,6.1,537274,1.2
14,TIARET,411711,36.5,282313,25.0,50,0.0,561,0.0,12988,1.2,707622,62.7,420330,37.3,0,0.0,1127952,2.6
