Wilaya_Code,Wilaya_Name,Ble_Dur_Sup_Emblavee_ha,Ble_Dur_Sup_Recoltee_ha,Ble_Dur_Taux_Recolte_%,Ble_Dur_Prod_qx,Ble_Dur_Rdt_qx_ha,Ble_Tendre_Sup_Emblavee_ha,Ble_Tendre_Sup_Recoltee_ha,Ble_Tendre_Taux_Recolte_%,Ble_Tendre_Prod_qx,Ble_Tendre_Rdt_qx_ha,Orge_Sup_Emblavee_ha,Orge_Sup_Recoltee_ha,Orge_Taux_Recolte_%,Orge_Prod_qx,Orge_Rdt_qx_ha,Avoine_Sup_Emblavee_ha,Avoine_Sup_Recoltee_ha,Avoine_Taux_Recolte_%,Avoine_Prod_qx,Avoine_Rdt_qx_ha,Triticale_Sup_Emblavee_ha,Triticale_Sup_Recoltee_ha,Triticale_Taux_Recolte_%,Triticale_Prod_qx,Triticale_Rdt_qx_ha,Total_Cereales_Hiver_Sup_Emblavee_ha,Total_Cereales_Hiver_Sup_Recoltee_ha,Total_Cereales_Hiver_Taux_Recolte_%,Total_Cereales_Hiver_Prod_qx,Total_Cereales_Hiver_Rdt_qx_ha
1,ADRAR,13283,13283,100.0,560415,42.2,3981,3981,100.0,131178,33.0,1289,1289,100.0,32178,25.0,312,312,99.8,8743,28.1,0,0,0.0,0,0.0,18865,18864,100.0,732514,38.8
2,CHLEF,68847,67515,98.1,1687875,25.0,5639,5636,99.9,129617,23.0,16973,16868,99.4,303624,18.0,2425,2412,99.5,36180,15.0,0,0,0.0,0,0.0,93884,92431,98.5,2157296,23.3
3,LAGHOUAT,8035,7344,91.4,174114,23.7,196,191,97.4,7640,40.0,23580,11825,50.1,167055,14.1,766,741,96.7,17043,23.0,0,0,0.0,0,0.0,32577,20101,61.7,365852,18.2
4,O.E.BOUAGHI,63000,62900,99.8,1140000,18.1,45000,44900,99.8,720000,16.0,105000,104700,99.7,1900000,18.1,2000,2000,100.0,40000,20.0,0,0,0.0,0,0.0,215000,214500,99.8,3800000,17.7
5,BATNA,61179,58346,95.4,925902,15.9,7905,8175,103.4,134835,16.5,82716,76742,92.8,1360170,17.7,4183,3489,83.4,60990,17.5,0,0,0.0,0,0.0,155983,146752,94.1,2481897,16.9
6,BEJAIA,5652,5652,100.0,127069,22.5,97,97,100.0,2675,27.6,966,966,100.0,21512,22.3,139,139,100.0,2245,16.2,0,0,0.0,0,0.0,6854,6854,100.0,153501,22.4
7,BISKRA,13400,13380,99.9,564075,42.2,5550,5550,100.0,225360,40.6,12300,10415,84.7,305323,29.3,110,110,100.0,2200,20.0,0,0,0.0,0,0.0,31360,29455,93.9,1096958,37.2
8,BECHAR,465,465,100.0,13020,28.0,3,3,100.0,66,22.0,1440,1440,100.0,40152,27.9,261,261,100.0,3885,14.9,0,0,0.0,0,0.0,2169,2169,100.0,57123,26.3
9,BLIDA,6531,6531,100.0,189280,29.0,1020,1020,100.0,30829,30.2,512,512,100.0,12270,24.0,40,40,100.0,640,16.0,0,0,0.0,0,0.0,8102,8102,100.0,233019,28.8
10,BOUIRA,47571,47547,99.9,1503030,31.6,6416,6414,100.0,197325,30.8,14216,14216,100.0,385135,27.1,1493,1493,100.0,30730,20.6,0,0,0.0,0,0.0,69696,69669,100.0,2116220,30.4
11,TAMANRASSET,355,355,100.0,8448,23.8,195,195,100.0,4644,23.8,165,165,100.0,3362,20.4,30,30,100.0,530,17.7,0,0,0.0,0,0.0,745,745,100.0,16984,22.8
12,TEBESSA,56000,51000,91.1,774350,15.2,4000,3900,97.5,48000,12.3,70000,64100,91.6,877650,13.7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,130000,119000,91.5,1700000,14.3
13,TLEMCEN,57600,57596,100.0,663600,11.5,25200,25200,100.0,245950,9.8,87000,87000,100.0,916150,10.5,5100,5100,100.0,61200,12.0,0,0,0.0,0,0.0,174900,174896,100.0,1886900,10.8
14,TIARET,136000,128223,94.3,1987900,15.5,63000,49638,78.8,471600,9.5,157260,114483,72.8,1136000,9.9,8000,7492,93.7,76200,10.2,10,10,100.0,336,33.6,364270,299846,82.3,3672036,12.2
15,TIZI-OUZOU,6748,6545,97.0,134272,20.5,92,92,100.0,2453,26.7,349,311,89.1,5237,16.8,83,12,14.5,198,16.5,0,0,0.0,0,0.0,7272,6960,95.7,142160,20.4
16,ALGER,1388,1383,99.6,45530,32.9,150,150,100.0,3895,26.0,155,142,91.6,2805,19.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1693,1675,98.9,52230,31.2
17,DJELFA,11000,7087,64.4,160700,22.7,290,210,72.4,6300,30.0,90810,47760,52.6,551000,11.5,1000,943,94.3,17000,18.0,0,0,0.0,0,0.0,103100,56000,54.3,735000,13.1
18,JIJEL,1331,1322,99.4,35937,27.2,0,0,0.0,0,0.0,168,164,97.3,3287,20.1,14,0,0.0,0,0.0,0,0,0.0,0,0.0,1513,1486,98.2,39224,26.4
19,SETIF,127438,127055,99.7,2298899,18.1,16989,16915,99.6,300934,17.8,46964,46828,99.7,852895,18.2,6784,6714,99.0,111945,16.7,10,10,100.0,10,1.0,198185,197522,99.7,3564683,18.0
20,SAIDA,32525,25908,79.7,343273,13.2,35870,28764,80.2,225497,7.8,55480,47288,85.2,351313,7.4,8100,7415,91.5,73317,9.9,0,0,0.0,0,0.0,131975,109375,82.9,993400,9.1
21,SKIKDA,26822,26717,99.6,665200,24.9,2913,2913,100.0,65400,22.5,5224,5198,99.5,91700,17.6,641,641,100.0,7700,12.0,0,0,0.0,0,0.0,35600,35469,99.6,830000,23.4
22,S.B.ABBES,50940,50368,98.9,503680,10.0,29860,28920,96.9,245820,8.5,96820,86701,89.5,676268,7.8,8940,8450,94.5,65910,7.8,0,0,0.0,0,0.0,186560,174439,93.5,1491678,8.6
23,ANNABA,13884,13816,99.5,381650,27.6,1157,1151,99.5,39260,34.1,1393,1337,96.0,33810,25.3,208,208,100.0,4880,23.5,0,0,0.0,0,0.0,16642,16512,99.2,459600,27.8
24,GUELMA,68925,68582,99.5,2140900,31.2,11070,11047,99.8,400990,36.3,10271,10242,99.7,277930,27.1,239,239,100.0,4810,20.1,0,0,0.0,0,0.0,90505,90110,99.6,2824630,31.3
25,CONSTANTINE,61618,60235,97.8,1780624,29.6,20104,19747,98.2,612574,31.0,7925,7915,99.9,243645,30.8,1008,928,92.1,20297,21.9,0,0,0.0,0,0.0,90655,88825,98.0,2657140,29.9
26,MEDEA,76425,72589,95.0,1293108,17.8,10092,9104,90.2,158371,17.4,38129,28377,74.4,528532,18.6,3530,3331,94.4,48532,14.6,0,0,0.0,0,0.0,128176,113401,88.5,2028543,17.9
27,MOSTAGANEM,5622,5909,105.1,124089,21.0,12929,11473,88.7,217987,19.0,26079,19650,75.3,334050,17.0,2217,2137,96.4,27781,13.0,0,0,0.0,0,0.0,46847,39169,83.6,703907,18.0
28,M'SILA,13425,10270,76.5,236210,23.0,1353,1080,79.8,24840,23.0,54254,26150,48.2,457625,17.5,1253,500,39.9,10500,21.0,0,0,0.0,0,0.0,70285,38000,54.1,729175,19.2
29,MASCARA,40300,28000,69.5,343830,12.3,20500,14900,72.7,168220,11.3,72300,53289,73.7,558430,10.5,8100,6381,78.8,65850,10.3,0,0,0.0,0,0.0,141200,102570,72.6,1136330,11.1
30,OUARGLA,2229,2229,100.0,74115,33.3,355,355,100.0,12400,34.9,299,299,100.0,10400,34.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2883,2883,100.0,96915,33.6
31,ORAN,9758,4611,47.3,31980,6.9,2824,863,30.6,6169,7.1,39865,17425,43.7,169431,9.7,1205,925,76.8,4510,4.9,0,0,0.0,0,0.0,53652,23824,44.4,212090,8.9
32,EL-BAYADH,3643,2478,68.0,56335,22.7,1185,1014,85.6,25430,25.1,12399,7679,61.9,140500,18.3,525,255,48.6,3285,12.9,0,0,0.0,0,0.0,17752,11426,64.4,225550,19.7
33,ILLIZI,8,8,100.0,235,28.0,25,25,100.0,691,28.0,18,18,100.0,486,27.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,51,51,100.0,1412,27.6
34,B.B.ARRERIDJ,59235,59086,99.7,800922,13.6,5645,5636,99.8,81700,14.5,14395,14395,100.0,244453,17.0,725,725,100.0,13775,19.0,0,0,0.0,0,0.0,80000,79842,99.8,1140850,14.3
35,BOUMERDES,3200,3175,99.2,87405,27.5,592,590,99.7,18285,31.0,193,175,90.7,2862,16.4,133,116,87.2,1503,13.0,0,0,0.0,0,0.0,4118,4056,98.5,110055,27.1
36,EL-TARF,22237,20973,94.3,530386,25.3,867,842,97.1,20240,24.0,2833,2033,71.8,46528,22.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,25937,23848,91.9,597154,25.0
37,TINDOUF,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
38,TISSEMSILT,57000,56869,99.8,994015,17.5,3500,3500,100.0,59132,16.9,19000,18983,99.9,267230,14.1,1500,1500,100.0,18615,12.4,0,0,0.0,0,0.0,81000,80852,99.8,1338992,16.6
39,EL-OUED,8200,7200,87.8,260640,36.2,0,0,0.0,0,0.0,2900,1640,56.6,41800,25.5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,11100,8840,79.6,302440,34.2
40,KHENCHELA,48500,41735,86.1,837000,20.1,9000,8575,95.3,173000,20.2,45000,40370,89.7,710000,17.6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,102500,90680,88.5,1720000,19.0
41,SOUK-AHRAS,88101,88101,100.0,1305130,14.8,32755,32755,100.0,585449,17.9,32563,32563,100.0,586923,18.0,388,388,100.0,6684,17.2,0,0,0.0,0,0.0,153807,153807,100.0,2484186,16.2
42,TIPAZA,11377,10899,95.8,286378,26.3,1532,1454,94.9,42701,29.4,1188,1112,93.6,27229,24.5,3,3,100.0,45,15.0,0,0,0.0,0,0.0,14100,13468,95.5,356353,26.5
43,MILA,69221,68865,99.5,2225000,32.3,19100,18988,99.4,553000,29.1,22350,22323,99.9,597836,26.8,4185,4185,100.0,81140,19.4,0,0,0.0,0,0.0,114856,114360,99.6,3456976,30.2
44,AIN-DEFLA,58381,57610,98.7,1642400,28.5,1780,1780,100.0,52600,29.6,17000,16675,98.1,332500,19.9,1330,1236,92.9,22220,18.0,10,10,100.0,280,28.0,78501,77311,98.5,2050000,26.5
45,NAAMA,467,338,72.3,5288,15.7,323,199,61.7,2896,14.6,3615,3010,83.3,35035,11.6,391,108,27.7,1365,12.6,0,0,0.0,0,0.0,4795,3655,76.2,44584,12.2
46,A.TEMOUCHENT,58000,43629,75.2,599310,13.7,5000,3166,63.3,33340,10.5,50000,33307,66.6,370240,11.1,2500,1178,47.1,9110,7.7,0,0,0.0,0,0.0,115500,81280,70.4,1012000,12.5
47,GHARDAIA,6060,6060,100.0,235000,38.8,0,0,0.0,0,0.0,854,854,100.0,21474,25.1,0,0,0.0,0,0.0,0,0,0.0,0,0.0,6914,6914,100.0,256474,37.1
