Wilaya_Code,Wilaya_Name,Cultures_herbacées_ha,Cultures_herbacées_%,Terres_au_repos_ha,Terres_au_repos_%,Prairies_naturelles_ha,Prairies_naturelles_%,Vignes_ha,Vignes_%,Plantations_arbres_fruit_ha,Plantations_arbres_fruit_%,TOTAL_SAU_ha,TOTAL_SAU_%,Pacages_parcours_ha,Pacages_parcours_%,Terres_improductives_ha,Terres_improductives_%,TOTAL_SAT_ha,TOTAL_SAT_%
1,ADRAR,14038,3.7,2053,0.5,0,0.0,0,0.0,28327,7.4,44418,11.6,59294,15.5,279902,73.0,383614,0.9
2,CHLEF,130172,49.5,57134,21.7,1045,0.4,1195,0.5,14279,5.4,203825,77.5,24814,9.4,34467,13.1,263106,0.6
3,LAGHOUAT,50387,2.8,20362,1.1,0,0.0,404,0.0,6580,0.4,77732,4.3,1715602,95.7,0,0.0,1793334,4.1
4,O.E.BOUAGHI,231973,45.0,125189,24.3,670,0.1,2,0.0,3051,0.6,360885,70.0,122272,23.7,32325,6.3,515482,1.2
5,BATNA,178302,24.0,220103,29.6,1714,0.2,93,0.0,22464,3.0,422677,56.8,237600,31.9,83749,11.3,744026,1.7
6,BEJAIA,13634,8.3,42971,26.1,1392,0.8,461,0.3,72458,44.0,130916,79.4,30290,18.4,3587,2.2,164793,0.4
7,BISKRA,57780,3.5,75714,4.6,0,0.0,243,0.0,51164,3.1,184900,11.2,1399050,84.7,67404,4.1,1651354,3.8
8,BECHAR,2781,0.2,17367,1.2,0,0.0,141,0.0,14638,1.0,34927,2.5,1319237,92.6,69834,4.9,1423998,3.3
9,BLIDA,15718,23.8,6122,9.3,3599,5.4,1074,1.6,29112,44.0,55625,84.1,8860,13.4,1660,2.5,66145,0.2
10,BOUIRA,85466,29.1,60796,20.7,178,0.1,79,0.0,43438,14.8,189957,64.7,73924,25.2,29660,10.1,293541,0.7
11,TAMANRASSET,2019,0.2,6377,0.7,0,0.0,104,0.0,7181,0.8,15681,1.8,816100,92.6,49602,5.6,881383,2.0
12,TEBESSA,203647,24.9,95178,11.6,120,0.0,0,0.0,13021,1.6,311965,38.1,434088,53.1,72094,8.8,818147,1.9
13,TLEMCEN,227331,42.3,82449,15.3,0,0.0,2446,0.5,38109,7.1,350335,65.2,153964,28.7,33025,6.1,537324,1.2
14,TIARET,404819,35.9,277025,24.6,50,0.0,1029,0.1,24700,2.2,707622,62.7,420329,37.3,0,0.0,1127951,2.6
15,TIZI-OUZOU,27064,18.5,21166,14.5,1257,0.9,1184,0.8,48171,33.0,98842,67.7,25370,17.4,21859,15.0,146071,0.3
16,ALGER,12556,38.6,3503,10.8,0,0.0,2307,7.1,10510,32.3,28877,88.8,1471,4.5,2185,6.7,32533,0.1
17,DJELFA,102744,4.1,257300,10.3,0,0.0,43,0.0,18578,0.7,378665,15.1,2122428,84.9,0,0.0,2501093,5.7
18,JIJEL,8507,8.7,12685,12.9,4585,4.7,45,0.0,18596,18.9,44418,45.2,39365,40.0,14511,14.8,98294,0.2
19,SETIF,231776,50.4,94877,20.6,1958,0.4,25,0.0,36233,7.9,364870,79.3,53894,11.7,41084,8.9,459848,1.1
20,SAIDA,129495,25.3,170911,33.4,0,0.0,57,0.0,7742,1.5,308205,60.3,159664,31.2,43479,8.5,511348,1.2
21,SKIKDA,83415,43.2,25851,13.4,484,0.3,1194,0.6,20935,10.8,131879,68.3,42977,22.2,18323,9.5,193179,0.4
22,S.B.ABBES,192167,49.7,150660,39.0,0,0.0,4029,1.0,16335,4.2,363191,94.0,3723,1.0,19636,5.1,386550,0.9
23,ANNABA,28726,49.7,13995,24.2,2223,3.8,89,0.2,2388,4.1,47419,82.1,7585,13.1,2786,4.8,57790,0.1
24,GUELMA,113321,42.1,62841,23.7,306,0.1,51,0.0,12819,4.8,187338,70.8,50875,19.2,26405,10.0,264618,0.6
25,CONSTANTINE,98840,56.2,23683,13.5,0,0.0,24,0.0,2464,1.4,125010,71.1,50935,28.9,0,0.0,175945,0.4
26,MEDEA,162351,22.1,133668,18.2,11259,1.5,4505,0.6,26107,3.6,337889,46.0,292649,39.8,104154,14.2,734692,1.7
27,MOSTAGANEM,99852,70.0,975,0.7,0,0.0,10403,7.3,18928,13.3,130158,91.2,5110,3.6,7400,5.2,142668,0.3
28,M'SILA,104250,8.0,151433,11.6,0,0.0,0,0.0,21909,1.7,277592,21.2,1029564,78.8,0,0.0,1307156,3.0
29,MASCARA,206435,47.5,76617,17.6,0,0.0,6226,1.4,23594,5.4,312872,72.1,104292,24.0,17054,3.9,434218,1.0
30,OUARGLA,5445,0.1,21532,0.4,0,0.0,12,0.0,23417,0.4,50405,0.8,4750000,83.5,891234,15.7,5691639,13.0
31,ORAN,64602,67.7,11324,11.9,0,0.0,697,0.7,10441,10.9,87064,91.3,1823,1.9,6507,6.8,95394,0.2
32,EL-BAYADH,15674,0.3,58416,1.0,0,0.0,12,0.0,2871,0.0,76972,1.3,5688225,98.7,550,0.0,5765747,13.2
33,ILLIZI,413,3.7,220,2.0,0,0.0,27,0.2,1627,14.6,2287,20.5,0,0.0,8878,79.5,11164,0.0
34,B.B.ARRERIDJ,89631,36.5,63676,25.9,150,0.1,29,0.0,33114,13.5,186600,75.9,48598,19.8,10556,4.3,245754,0.6
35,BOUMERDES,34196,34.7,5515,5.6,0,0.0,11528,11.7,13361,13.6,64600,65.6,16556,16.8,17299,17.6,98454,0.2
36,EL-TARF,39184,46.6,19651,23.4,5000,6.0,848,1.0,9490,11.3,74173,88.3,8518,10.1,1340,1.6,84031,0.2
37,TINDOUF,175,0.0,98,0.0,0,0.0,5,0.0,578,0.0,855,0.0,6000000,100.0,1628,0.0,6002483,13.7
38,TISSEMSILT,81395,42.9,45502,24.0,0,0.0,247,0.1,18313,9.7,145456,76.7,22297,11.8,21996,11.6,189749,0.4
39,EL-OUED,43398,2.5,8000,0.5,0,0.0,140,0.0,40602,2.3,92140,5.2,1410000,80.1,258900,14.7,1761040,4.0
40,KHENCHELA,134945,17.4,91494,11.8,50,0.0,41,0.0,21691,2.8,248221,32.0,448635,57.9,77799,10.0,774655,1.8
41,SOUK-AHRAS,147430,62.0,49363,20.8,7748,3.3,0,0.0,11208,4.7,215749,90.8,14768,6.2,7143,3.0,237660,0.5
42,TIPAZA,38333,54.8,6265,9.0,0,0.0,2682,3.8,14545,20.8,61825,88.3,8157,11.7,0,0.0,69982,0.2
43,MILA,131551,47.7,93620,33.9,832,0.3,12,0.0,11543,4.2,237558,86.1,21956,8.0,16444,6.0,275958,0.6
44,AIN-DEFLA,126613,53.7,32360,13.7,578,0.2,699,0.3,21393,9.1,181641,77.1,38077,16.2,15857,6.7,235576,0.5
45,NAAMA,6720,0.3,14235,0.6,0,0.0,318,0.0,7010,0.3,28283,1.3,2175117,98.7,60,0.0,2203460,5.0
46,A.TEMOUCHENT,143555,70.5,13663,6.7,0,0.0,12658,6.2,11118,5.5,180994,88.9,7974,3.9,14616,7.2,203584,0.5
47,GHARDAIA,9341,0.7,20507,1.5,0,0.0,131,0.0,12311,0.9,42290,3.1,1326584,96.9,172,0.0,1369046,3.1
48,RELIZANE,184715,63.5,70207,24.1,2360,0.8,1706,0.6,16522,5.7,275510,94.7,6062,2.1,9450,3.2,291022,0.7
TOTAL,ALGERIE,4512492,10.3,2914650,6.7,47556,0.1,69243,0.2,934984,2.1,8478925,19.4,32798673,75.0,2436614,5.6,43714212,100.0
