Crop,2015_Sup_ha,2015_Prod_qx,2015_Rdt_qx/ha,2016_Sup_ha,2016_Prod_qx,2016_Rdt_qx/ha,Taux_accroissement_Sup_%,Taux_accroissement_Prod_%,Taux_accroissement_Rdt_%
Céréales d'hiver,2685154,37554894,14.0,2209625,34322742,15.5,-18,-9,11
Blé dur,1314014,20199390,15.4,1094636,19376173,17.7,-17,-4,15
Blé tendre,500708,6367916,12.7,351423,5024791,14.3,-30,-21,12
Orge,802336,10305564,12.8,706678,9199064,13.0,-12,-11,1
Avoine,68096,682025,10.0,56761,721209,12.7,-17,6,27
Triticale,0,0,0.0,128,1505,11.8,0,0,0
Céréales d'été,931,54591,58.6,1168,126442,108.3,25,132,85
Maïs,712,27941,39.3,817,36865,45.1,15,32,15
Sorgho,219,26650,121.6,351,89577,255.2,60,236,110
