Crop,2017_Sup_ha,2017_Prod_qx,2017_Rdt_qx/ha,2018_Sup_ha,2018_Prod_qx,2018_Rdt_qx/ha,Taux_accroissement_Sup_%,Taux_accroissement_Prod_%,Taux_accroissement_Rdt_%
Céréales d'hiver,2371067,34702520,14.6,3106102,60568040,19.5,31,75,33
Blé dur,1175622,19909570,16.9,1492546,31780207,21.3,27,60,26
Blé tendre,361794,4455460,12.3,455856,8031984,17.6,26,80,43
Orge,773063,9696964,12.5,1080250,19573271,18.1,40,102,44
Avoine,60529,640175,10.6,77375,1180178,15.3,28,84,44
Triticale,60,350,5.8,75,2400,32.0,0,0,0
Céréales d'été,2337,76060,32.5,1506,91340,60.7,-36,20,86
Maïs,2025,26335,13.0,1241,55125,44.4,-39,109,242
Sorgho,312,49725,159.4,265,36215,136.7,-15,-27,-14
