Wilaya_Code,Wilaya_Name,Maïs_Sup_ha,Maïs_Prod_qx,Maïs_Rdt_qx_ha,Sorgho_Sup_ha,Sorgho_Prod_qx,Sorgho_Rdt_qx_ha,Total_Cereales_Ete_Sup_ha,Total_Cereales_Ete_Prod_qx,Total_Cereales_Ete_Rdt_qx_ha
1,ADRAR,521,16136,31.0,33,1767,53.5,554,17903,32.3
2,CHLEF,0,0,0.0,35,15250,435.7,35,15250,435.7
3,LAGHOUAT,0,0,0.0,0,0,0.0,0,0,0.0
4,O.E.BOUAGHI,29,1299,44.8,5,400,80.0,34,1699,50.0
5,BATNA,0,0,0.0,0,0,0.0,0,0,0.0
6,BEJAIA,6,600,100.0,2,160,80.0,8,760,95.0
7,BISKRA,0,0,0.0,0,0,0.0,0,0,0.0
8,BECHAR,0,0,0.0,0,0,0.0,0,0,0.0
9,BLIDA,0,0,0.0,0,0,0.0,0,0,0.0
10,BOUIRA,0,0,0.0,0,0,0.0,0,0,0.0
11,TAMANRASSET,0,0,0.0,0,0,0.0,0,0,0.0
12,TEBESSA,0,0,0.0,0,0,0.0,0,0,0.0
13,TLEMCEN,0,0,0.0,90,16200,180.0,90,16200,180.0
14,TIARET,0,0,0.0,0,0,0.0,0,0,0.0
15,TIZI-OUZOU,0,0,0.0,0,0,0.0,0,0,0.0
16,ALGER,0,0,0.0,0,0,0.0,0,0,0.0
17,DJELFA,0,0,0.0,0,0,0.0,0,0,0.0
18,JIJEL,53,6060,114.3,0,0,0.0,53,6060,114.3
19,SETIF,0,0,0.0,0,0,0.0,0,0,0.0
20,SAIDA,0,0,0.0,0,0,0.0,0,0,0.0
21,SKIKDA,80,4000,50.0,2,360,180.0,82,4360,53.2
22,S.B.ABBES,0,0,0.0,0,0,0.0,0,0,0.0
23,ANNABA,0,0,0.0,0,0,0.0,0,0,0.0
24,GUELMA,0,0,0.0,0,0,0.0,0,0,0.0
25,CONSTANTINE,0,0,0.0,0,0,0.0,0,0,0.0
26,MEDEA,0,0,0.0,0,0,0.0,0,0,0.0
27,MOSTAGANEM,0,0,0.0,0,0,0.0,0,0,0.0
28,M'SILA,0,0,0.0,0,0,0.0,0,0,0.0
29,MASCARA,0,0,0.0,20,2400,120.0,20,2400,120.0
30,OUARGLA,0,0,0.0,0,0,0.0,0,0,0.0
31,ORAN,0,0,0.0,0,0,0.0,0,0,0.0
32,EL-BAYADH,118,8270,70.1,0,0,0.0,118,8270,70.1
33,ILLIZI,0,0,0.0,0,0,0.0,0,0,0.0
34,B.B.ARRERIDJ,0,0,0.0,0,0,0.0,0,0,0.0
35,BOUMERDES,0,0,0.0,137,52210,381.1,137,52210,381.1
36,EL-TARF,0,0,0.0,0,0,0.0,0,0,0.0
37,TINDOUF,0,0,0.0,0,0,0.0,0,0,0.0
38,TISSEMSILT,0,0,0.0,0,0,0.0,0,0,0.0
39,EL-OUED,0,0,0.0,0,0,0.0,0,0,0.0
40,KHENCHELA,0,0,0.0,0,0,0.0,0,0,0.0
41,SOUK-AHRAS,0,0,0.0,0,0,0.0,0,0,0.0
42,TIPAZA,0,0,0.0,0,0,0.0,0,0,0.0
43,MILA,0,0,0.0,0,0,0.0,0,0,0.0
44,AIN-DEFLA,10,500,50.0,0,0,0.0,10,500,50.0
45,NAAMA,0,0,0.0,0,0,0.0,0,0,0.0
46,A.TEMOUCHENT,0,0,0.0,0,0,0.0,0,0,0.0
47,GHARDAIA,0,0,0.0,0,0,0.0,0,0,0.0
48,RELIZANE,0,0,0.0,27,830,30.7,27,830,30.7
TOTAL,ALGERIE,817,36865,45.1,351,89577,255.2,1168,126442,108.3
