0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2018
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (4/7),,,,,,,,
,,Nèfles,,,,Pêches,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,39,28,3 025,"110,0",93,87,11 235,"129,9"
3 LAGHOUAT,51,51,2 040,"40,0",245,245,7 840,"32,0"
4 O.E.BOUAGHI,0,0,0,"0,0",27,23,2 070,"90,0"
5 BATNA,6,5,370,"74,0",243,224,22 588,"100,9"
6 BEJAIA,204,197,15 210,"77,3",131,127,7 581,"59,7"
7 BISKRA,76,75,6 900,"92,0",46,35,1 120,"32,0"
8 BECHAR,0,0,0,"0,0",10,9,585,"65,0"
9 BLIDA,417,410,60 809,"148,2",3 526,3 197,475 381,"148,7"
10 BOUIRA,95,86,2 941,"34,2",125,93,2 777,"29,9"
11 TAMANRASSET,45,42,150,"3,6",45,44,1 390,"32,0"
12 TEBESSA,0,0,0,"0,0",62,62,1 363,"22,0"
13 TLEMCEN,15,12,1 080,"90,0",1 846,1 739,173 900,"100,0"
14 TIARET,0,0,0,"0,0",388,300,9 000,"30,0"
15 TIZI-OUZOU,26,26,6 660,"261,2",90,86,16 087,"187,1"
16 ALGER,359,334,38 025,"113,8",2 037,1 841,227 372,"123,5"
17 DJELFA,0,0,0,"0,0",611,607,113 530,"187,0"
18 JIJEL,20,19,2 095,"113,2",45,41,3 438,"82,9"
19 SETIF,30,29,995,"33,9",150,148,4 834,"32,6"
20 SAIDA,0,0,0,"0,0",34,34,1 039,"30,6"
21 SKIKDA,102,77,10 684,"138,2",903,789,143 687,"182,2"
22 S.B.ABBES,1,1,31,"31,0",989,690,41 768,"60,5"
23 ANNABA,92,89,12 952,"145,5",189,110,14 801,"135,2"
24 GUELMA,5,3,465,"155,0",126,105,18 375,"175,8"
25 CONSTANTINE,4,4,441,"100,0",36,30,6 521,"220,3"
26 MEDEA,0,0,0,"0,0",98,69,4 540,"65,8"
27 MOSTAGANEM,133,132,12 595,"95,3",807,807,52 395,"65,0"
28 M'SILA,0,0,0,"0,0",210,188,10 340,"55,0"
29 MASCARA,13,13,800,"61,5",173,125,10 200,"81,9"
30 OUARGLA,1,0,0,"0,0",6,4,85,"19,5"
31 ORAN,2,2,68,"45,0",784,575,31 991,"55,6"
32 EL-BAYADH,1,0,0,"0,0",135,131,3 968,"30,3"
33 ILLIZI,0,0,0,"0,0",1,1,52,"0,0"
34 B.B.ARRERIDJ,16,16,288,"18,6",41,41,655,"16,0"
35 BOUMERDES,36,33,3 261,"100,3",585,412,55 995,"136,1"
36 EL-TARF,30,27,2 100,"77,8",544,462,47 000,"101,8"
37 TINDOUF,0,0,0,"0,0",0,0,0,"0,0"
38 TISSEMSILT,51,51,3 060,"60,0",433,433,30 700,"70,9"
39 EL-OUED,0,0,0,,0,0,0,
40 KHENCHELA,3,3,135,"0,0",200,174,8 140,"46,9"
41 SOUK-AHRAS,1,1,21,"0,0",148,135,3 269,"24,3"
42 TIPAZA,378,369,73 397,"199,2",1 576,1 343,276 160,"205,7"
43 MILA,8,5,270,"54,0",64,59,3 779,"63,9"
44 AIN-DEFLA,5,5,265,"53,0",141,122,13 645,"112,1"
45 NAAMA,0,0,0,"0,0",22,12,258,"21,0"
46 A.TEMOUCHENT,0,0,0,"0,0",930,903,37 000,"41,0"
47 GHARDAIA,32,31,1 147,"37,0",20,16,608,"38,0"
48 RELIZANE,13,13,1 170,"90,0",95,95,5 140,"54,1"
TOTAL ALGERIE,2 305,2 187,263 449,"120,5",19 005,16 768,1 904 200,"113,6"
