0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII- ENSEMBLE DES CULTURES MARAÎCHERES (5/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,CHOUX  VERTS,,,CHOUX FLEURS,,,NAVETS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(qx),qx/ha,(ha),(QX),qx/ha,(ha),(QX),qx/ha
1 ADRAR,44,1 927,"43,8",39,1 492,"38,8",239,30 544,"128,0"
2 CHLEF,19,8 550,"450,0",134,53 600,"400,0",6,2 700,"450,0"
3 LAGHOUAT,40,2 940,"73,5",38,4 940,"130,0",430,77 759,"180,8"
4 O.E.BOUAGHI,0,0,0,0,0,0,37,8 990,"243,0"
5 BATNA,0,0,0,0,0,0,169,23 980,"141,9"
6 BEJAIA,32,4 900,"155,6",84,15 420,"184,7",107,12 717,"118,7"
7 BISKRA,0,0,0,0,0,0,376,55 620,"148,1"
8 BECHAR,12,675,"56,3",6,440,"80,0",75,8 574,"114,3"
9 BLIDA,439,113 146,"257,9",596,144 708,"242,8",112,19 025,"169,9"
10 BOUIRA,21,1 140,"54,3",130,20 145,"155,3",65,12 889,"197,5"
11 TAMANRASSET,0,0,0,5,230,"51,1",43,4 753,"111,8"
12 TEBESSA,0,0,0,0,0,0,70,15 400,"220,0"
13 TLEMCEN,27,7 695,"285,0",130,17 880,"137,5",476,56 350,"118,4"
14 TIARET,49,9 677,"196,5",60,12 100,"201,7",191,8 236,"43,1"
15 TIZI-OUZOU,21,5 750,"273,8",20,6 170,"308,5",272,49 757,"182,9"
16 ALGER,618,154 145,"249,3",1 347,315 225,"234,1",292,66 705,"228,8"
17 DJELFA,3,160,"53,3",14,2 460,"175,7",93,11 810,"127,0"
18 JIJEL,406,176 372,"434,3",447,161 710,"361,8",303,52 715,"174,0"
19 SETIF,4,960,"240,0",537,122 750,"228,6",501,88 787,"177,2"
20 SAIDA,0,0,0,0,0,0,94,30 516,"324,6"
21 SKIKDA,110,20 158,"183,3",118,25 805,"218,7",533,87 097,"163,4"
22 S.B.ABBES,24,5 237,"218,2",25,5 453,"218,1",93,19 175,"206,2"
23 ANNABA,261,38 742,"148,4",241,29 580,"122,7",194,30 198,"155,7"
24 GUELMA,2,600,"300,0",14,3 120,"231,1",8,1 470,"183,8"
25 CONSTANTINE,0,0,0,6,300,"50,0",12,1 393,"118,5"
26 MEDEA,0,0,0,5,900,"180,0",216,25 883,"119,8"
27 MOSTAGANEM,502,189 625,"377,7",700,365 600,"522,3",291,81 267,"279,3"
28 M'SILA,40,7 900,"197,5",100,22 000,"220,0",400,107 960,"269,9"
29 MASCARA,0,0,0,5,1 200,"240,0",210,47 800,"227,6"
30 OUARGLA,0,0,0,4,1 010,"252,5",106,16 703,"157,6"
31 ORAN,14,1 950,"144,4",78,14 445,"186,4",10,1 290,"129,0"
32 EL-BAYADH,1,100,"100,0",1,200,"200,0",134,28 285,"211,9"
33 ILLIZI,4,479,"109,9",6,702,"109,9",4,429,"109,8"
34 B.B.ARRERIDJ,6,540,"90,0",0,0,0,113,11 380,"100,7"
35 BOUMERDES,468,88 620,"189,4",778,153 510,"197,3",619,90 250,"145,8"
36 EL-TARF,116,12 860,"110,9",120,16 230,"135,8",53,2 600,"49,1"
37 TINDOUF,0,0,0,0,0,0,3,510,"170,0"
38 TISSEMSILT,0,0,0,0,0,0,0,0,0
39 EL-OUED,0,0,0,8,605,"80,7",272,41 290,"151,8"
40 KHENCHELA,0,0,0,0,0,0,79,7 790,"98,6"
41 SOUK-AHRAS,6,295,"49,2",4,225,"56,3",117,3 040,"26,0"
42 TIPAZA,423,96 355,"227,8",1 731,394 129,"227,7",143,34 812,"243,4"
43 MILA,0,0,0,10,3 000,"300,0",146,38 180,"261,5"
44 AIN-DEFLA,309,113 850,"368,4",367,137 160,"373,7",11,3 410,"310,0"
45 NAAMA,7,676,"96,6",21,2 206,"107,6",259,40 888,"157,8"
46 A.TEMOUCHENT,41,8 100,"197,6",114,13 100,"114,9",104,23 760,"228,5"
47 GHARDAIA,0,0,0,0,0,0,80,11 600,"145,0"
48 RELIZANE,0,0,0,52,7 220,"138,8",12,1 160,"96,7"
TOTAL ALGERIE,4 069,1 074 125,"264,0",8 090,2 076 970,"256,7",8 171,1 397 446,"171,0"
