0,1,2,3,4,5,6,7
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,SERIE B 2016
VII- ENSEMBLE DES CULTURES MARAÎCHERES (7/7),,,,,,,
(Y compris de primeur et sous serres),,,,,,,
,,AUTRES LEGUMES,,,TOTAUX,,
WILAYA,Superficie,Production,Rdt,Sup.  Plantée,Sup.  réelle,Production,Rdt
,(ha),(QX),qx/ha,(ha),(ha),(qx),qx/ha
1 ADRAR,649,65 576,"101,1",4 750,4 743,723 469,"152,3"
2 CHLEF,611,238 800,"390,8",9 426,8 967,3 807 840,"404,0"
3 LAGHOUAT,1 319,79 330,"60,1",9 987,9 987,1 957 305,"196,0"
4 O.E.BOUAGHI,24,4 670,"194,6",2 567,2 565,530 627,"206,7"
5 BATNA,940,95 000,"101,0",10 529,10 398,2 369 816,"225,1"
6 BEJAIA,537,62 314,"116,0",3 596,3 475,463 050,"128,8"
7 BISKRA,2 296,596 069,"259,6",20 401,20 401,8 091 645,"396,6"
8 BECHAR,1 011,138 542,"137,1",5 585,2 715,541 312,"96,9"
9 BLIDA,1 960,266 603,"136,1",5 405,4 856,1 101 337,"203,8"
10 BOUIRA,245,30 133,"123,2",8 569,7 882,2 397 723,"279,8"
11 TAMANRASSET,246,16 438,"66,7",1 625,1 359,182 261,"112,2"
12 TEBESSA,115,11 630,"101,1",3 975,3 975,1 075 740,"270,6"
13 TLEMCEN,1 317,88 316,"67,1",19 957,16 746,4 241 493,"212,5"
14 TIARET,438,25 114,"57,3",12 971,10 310,4 236 515,"326,6"
15 TIZI-OUZOU,141,17 822,"126,0",6 566,6 285,1 139 245,"173,5"
16 ALGER,3 776,624 565,"165,4",13 503,8 833,3 387 620,"250,9"
17 DJELFA,418,44 660,"106,8",8 956,8 956,2 093 090,"233,7"
18 JIJEL,1 043,140 802,"135,0",6 862,5 859,1 605 290,"233,9"
19 SETIF,2 503,331 724,"132,6",10 671,10 667,2 434 793,"228,2"
20 SAIDA,132,39 819,"301,7",5 417,5 385,1 870 797,"345,4"
21 SKIKDA,1 394,130 214,"93,4",22 636,20 337,5 464 300,"241,4"
22 S.B.ABBES,394,63 005,"159,9",8 297,4 677,2 355 496,"283,9"
23 ANNABA,787,63 080,"80,2",9 610,9 610,1 505 000,"156,6"
24 GUELMA,1 846,251 255,"136,1",11 414,10 099,2 150 960,"188,4"
25 CONSTANTINE,96,1 510,"15,7",4 068,4 068,313 550,"77,1"
26 MEDEA,97,24 540,"253,0",8 094,6 800,1 184 082,"146,3"
27 MOSTAGANEM,498,70 203,"141,1",27 071,23 135,7 681 318,"283,8"
28 M'SILA,1 231,185 900,"151,0",10 100,10 100,2 829 000,"280,1"
29 MASCARA,532,86 750,"163,1",29 135,27 157,7 500 000,"257,4"
30 OUARGLA,966,133 876,"138,6",5 787,3 828,1 404 819,"242,7"
31 ORAN,557,29 028,"52,2",4 441,4 064,454 037,"102,2"
32 EL-BAYADH,302,42 080,"139,6",2 250,2 083,584 351,"259,7"
33 ILLIZI,26,2 847,"108,8",208,208,22 437,"108,0"
34 B.B.ARRERIDJ,223,36 962,"165,6",2 056,2 056,270 560,"131,6"
35 BOUMERDES,5 327,1 127 753,"211,7",27 371,19 099,7 100 505,"259,4"
36 EL-TARF,1 141,115 750,"101,4",12 251,8 761,2 790 000,"227,7"
37 TINDOUF,34,5 120,"149,4",148,148,44 604,"302,3"
38 TISSEMSILT,0,0,0,753,753,58 466,"77,6"
39 EL-OUED,1 808,465 700,"257,6",44 466,34 000,14 993 400,"337,2"
40 KHENCHELA,89,6 405,"72,0",4 317,4 310,460 207,"106,6"
41 SOUK-AHRAS,245,9 558,"39,0",5 680,4 544,849 479,"149,5"
42 TIPAZA,2 632,406 215,"154,3",15 923,11 756,4 237 717,"266,1"
43 MILA,193,41 791,"216,5",5 331,5 331,1 989 093,"373,2"
44 AIN-DEFLA,7 134,3 038 000,"425,9",38 695,28 180,13 885 352,"358,8"
45 NAAMA,190,15 010,"78,8",3 368,1 640,505 691,"150,1"
46 A.TEMOUCHENT,451,92 999,"206,3",11 558,9 536,1 986 197,"171,8"
47 GHARDAIA,540,69 859,"129,4",4 238,4 235,762 800,"180,0"
48 RELIZANE,103,8 630,"84,2",20 594,20 594,3 192 416,"155,0"
TOTAL ALGERIE,48 553,9 441 966,"194,5",511 174,435 469,130 826 802,"255,9"
