0,1,2,3,4,5,6,7,8,9,10,11,12
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,,SERIE B 2018
VI-LEGUMES SECS (2/2),,,,,,,,,,,,
WILAYA,,Pois chiches,,,Haricots secs,,,Gesses et guerfalas,,,TOTAL,
,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup.,Prod,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0,136,802,"5,9"
2 CHLEF,2 023,22 253,"11,0",0,0,0,0,0,0,9 072,106 429,"11,7"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,118,170,"1,4",0,0,0,0,0,0,460,3 355,"7,3"
5 BATNA,52,126,"2,4",0,0,0,0,0,0,128,846,"6,6"
6 BEJAIA,53,542,"10,3",0,0,0,0,0,0,500,8 013,"16,0"
7 BISKRA,0,0,0,0,0,0,0,0,0,0,0,0
8 BECHAR,0,0,0,0,0,0,0,0,0,0,0,0
9 BLIDA,10,70,"7,0",0,0,0,0,0,0,10,70,"7,0"
10 BOUIRA,406,3 898,"9,6",0,0,0,0,0,0,1 150,12 681,"11,0"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0,0,0,0
12 TEBESSA,0,0,0,0,0,0,0,0,0,124,368,"3,0"
13 TLEMCEN,4 500,54 000,"12,0",900,7 250,"8,1",0,0,0,16 185,169 100,"10,4"
14 TIARET,399,2 435,"6,1",0,0,0,0,0,0,10 625,78 935,"7,4"
15 TIZI-OUZOU,200,2 482,"12,4",26,435,"16,7",0,0,0,768,9 975,"13,0"
16 ALGER,33,960,"29,5",0,0,0,0,0,0,36,960,"27,0"
17 DJELFA,64,640,"10,0",0,0,0,0,0,0,64,640,"10,0"
18 JIJEL,90,1 159,"12,9",18,237,"13,2",0,0,0,361,5 700,"15,8"
19 SETIF,178,1 517,"8,5",0,0,0,0,0,0,883,9 424,"10,7"
20 SAIDA,79,743,"9,4",0,0,0,0,0,0,411,9 820,"23,9"
21 SKIKDA,1 414,15 547,"11,0",61,671,"11,0",15,300,"20,0",7 211,82 260,"11,4"
22 S.B.ABBES,1 151,12 331,"10,7",0,0,0,0,0,0,2 206,23 416,"10,6"
23 ANNABA,940,20 088,"21,4",0,0,0,0,0,0,1 784,32 756,"18,4"
24 GUELMA,1 795,28 175,"15,7",0,0,0,0,0,0,6 292,104 290,"16,6"
25 CONSTANTINE,1 358,15 836,"11,7",0,0,0,340,5100,"15,0",6 658,118 751,"17,8"
26 MEDEA,612,7 570,"12,4",0,0,0,0,0,0,2 142,28 679,"13,4"
27 MOSTAGANEM,2 637,34 651,"13,1",0,0,0,0,0,0,4 252,54 334,"12,8"
28 M'SILA,0,0,0,0,0,0,0,0,0,0,0,0
29 MASCARA,2 718,23 120,"8,5",6,65,"10,8",0,0,0,5 190,55 000,"10,6"
30 OUARGLA,0,0,0,0,0,0,0,0,0,0,0,0
31 ORAN,310,3 563,"11,5",51,483,"9,6",0,0,0,551,6 124,"11,1"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,4,35,"8,8",0,0,0,0,0,0,36,414,"11,6"
35 BOUMERDES,139,1 634,"11,8",0,0,0,0,0,0,348,4 103,"11,8"
36 EL-TARF,1 519,23 170,"15,3",0,0,0,0,0,0,1 903,28 350,"14,9"
37 TINDOUF,0,0,0,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,220,3 232,"14,7",0,0,0,0,0,0,1 500,21 105,"14,1"
39 EL-OUED,0,0,0,0,0,0,0,0,0,0,0,0
40 KHENCHELA,0,0,0,0,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,699,9 786,"14,0",700,8 400,"12,0",0,0,0,6 099,79 986,"13,1"
42 TIPAZA,274,3 037,"11,1",11,132,"12,0",0,0,0,758,14 907,"19,7"
43 MILA,1 352,19 832,"14,7",0,0,0,0,0,0,5 473,73 524,"13,4"
44 AIN-DEFLA,762,8 089,"10,6",0,0,0,0,0,0,4 148,74 715,"18,0"
45 NAAMA,0,0,0,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,5 420,57 900,"10,7",1 070,10 440,"9,8",0,0,0,9 183,95 190,"10,4"
47 GHARDAIA,0,0,0,0,0,0,0,0,0,0,0,0
48 RELIZANE,539,4 146,"7,7",0,0,0,0,0,0,5 179,61 357,"11,8"
TOTAL ALGERIE,32 065,382 736,"11,9",2 843,28 113,"9,9",355,5 400,"15,2",111 823,1 376 378,"12,3"
