0,1,2,3,4,5,6,7,8,9,10
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,SERIE B 2016
III-CEREALES D'HIVER (1/3),,,,,,,,,,
,,,BLE DUR,,,,,BLE TENDRE,,
WILAYA,Superficie,,Taux de,,,Superficie,,Taux de,,
,Emblavée,récoltée,Récolte,Prod.,Rdt,Emblavée,récoltée,Récolte,Prod.,Rdt
,(ha),(ha),%,(qx),(qx/ha),(ha),(ha),%,(qx),(qx/ha)
1 ADRAR,4 911,4 911,"100,0",185 348,"37,7",3 660,3 660,"100,0",98 493,"26,9"
2 CHLEF,56 560,30 983,"54,8",374 680,"12,1",7 952,5 315,"66,8",61 910,"11,6"
3 LAGHOUAT,3 935,3 801,"96,6",122 625,"32,3",325,321,"98,8",6 074,"18,9"
4 O.E.BOUAGHI,60 297,52 916,"87,8",701 374,"13,3",47 450,41 743,"88,0",436 656,"10,5"
5 BATNA,58 964,47 177,"80,0",593 893,"12,6",10 265,8 485,"82,7",114 345,"13,5"
6 BEJAIA,4 850,4 831,"99,6",92 007,"19,0",66,66,"100,0",1 848,"28,0"
7 BISKRA,11 816,11 816,"100,0",414 729,"35,1",4 865,4 865,"100,0",150 030,"30,8"
8 BECHAR,175,174,"99,4",5 450,"31,3",5,5,"100,0",155,"31,0"
9 BLIDA,6 475,6 268,"96,8",147 935,"23,6",1 113,1 089,"97,8",25 272,"23,2"
10 BOUIRA,40 983,39 330,"96,0",789 105,"20,1",11 542,11 289,"97,8",232 471,"20,6"
11 TAMANRASSET,500,500,"100,0",9 725,"19,5",124,124,"100,0",3 512,"28,3"
12 TEBESSA,87 000,18 000,"20,7",215 800,"12,0",7 000,1 400,"20,0",5 200,"3,7"
13 TLEMCEN,51 150,20 400,"39,9",183 200,"9,0",28 000,11 580,"41,4",76 800,"6,6"
14 TIARET,130 000,65 575,"50,4",1 150 000,"17,5",65 000,30 300,"46,6",312 000,"10,3"
15 TIZI-OUZOU,5 043,5 033,"99,8",104 281,"20,7",140,127,"90,7",2 819,"22,2"
16 ALGER,1 774,1 743,"98,3",41 825,"24,0",58,58,"100,0",1 260,"21,7"
17 DJELFA,17 730,2 022,"11,4",40 600,"20,1",2 290,205,"9,0",5 130,"25,0"
18 JIJEL,532,532,"100,0",11 873,"22,3",38,38,"100,0",950,"25,0"
19 SETIF,118 825,118 660,"99,9",2 013 972,"17,0",18 973,18 973,"100,0",322 153,"17,0"
20 SAIDA,29 340,22 318,"76,1",192 622,"8,6",40 675,24 088,"59,2",171 191,"7,1"
21 SKIKDA,27 000,26 745,"99,1",534 900,"20,0",3 000,3 000,"100,0",51 000,"17,0"
22 S.B.ABBES,48 820,36 400,"74,6",242 658,"6,7",45 740,31 062,"67,9",186 372,"6,0"
23 ANNABA,12 290,12 259,"99,7",306 830,"0,1",709,709,"100,0",19 940,"28,1"
24 GUELMA,62 490,62 345,"99,8",1 604 475,"25,7",11 988,11 929,"99,5",346 070,"29,0"
25 CONSTANTINE,47 296,46 290,"97,9",1 207 325,"26,1",17 050,16 694,"97,9",464 190,"27,8"
26 MEDEA,62 720,46 436,"74,0",605 782,"13,0",9 078,5 573,"61,4",68 876,"12,4"
27 MOSTAGANEM,5 173,4 754,"91,9",58 332,"12,3",14 013,9 503,"67,8",142 545,"15,0"
28 M'SILA,17 500,5 500,"31,4",115 000,"20,9",2 900,800,"27,6",17 200,"21,5"
29 MASCARA,25 600,13 866,"54,2",150 000,"10,8",47 400,32 244,"68,0",326 950,"10,1"
30 OUARGLA,755,687,"91,0",24 780,"36,1",30,30,"0,0",1 078,"35,9"
31 ORAN,8 896,1 657,"18,6",9 594,"5,8",6 691,885,"13,2",3 625,"4,1"
32 EL-BAYADH,2 421,338,"14,0",11 344,"33,6",942,60,"6,4",1 300,"21,7"
33 ILLIZI,4,4,"89,7",107,"30,6",25,25,"100,0",713,"28,1"
34 B.B.ARRERIDJ,63 655,62 891,"98,8",671 235,"10,7",6 100,6 088,"99,8",96 082,"15,8"
35 BOUMERDES,4 552,4 234,"93,0",107 738,"25,4",812,812,"100,0",22 520,"27,7"
36 EL-TARF,16 600,16 600,"100,0",431 600,"26,0",980,830,"84,7",23 240,"28,0"
37 TINDOUF,0,0,"0,0",0,"0,0",0,0,"0,0",0,"0,0"
38 TISSEMSILT,51 675,24 511,"47,4",221 148,"9,0",5 907,2 641,"44,7",20 392,"7,7"
39 EL-OUED,10 000,10 000,"100,0",500 000,"50,0",0,0,"0,0",0,"0,0"
40 KHENCHELA,53 450,35 385,"66,2",663 870,"18,8",5 950,2 755,"46,3",35 900,"13,0"
41 SOUK-AHRAS,76 600,75 741,"98,9",1 207 706,"15,9",25 575,25 250,"98,7",418 140,"16,6"
42 TIPAZA,12 442,12 010,"96,5",305 798,"25,5",3 176,3 131,"98,6",93 009,"29,7"
43 MILA,62 900,59 205,"94,1",1 548 510,"26,2",21 183,20 174,"95,2",540 639,"26,8"
44 AIN-DEFLA,50 230,45 208,"90,0",1 026 300,"22,7",2 203,2 122,"96,3",47 220,"22,3"
45 NAAMA,116,98,"84,5",1 608,"16,4",13,6,"46,2",98,"16,3"
46 A.TEMOUCHENT,47 708,16 198,"34,0",174 100,"10,7",16 351,4 278,"26,2",30 500,"7,1"
47 GHARDAIA,2 899,2 899,"100,0",130 927,"45,2",0,0,"0,0",0,"0,0"
48 RELIZANE,68 596,15 388,"22,4",123 463,"8,0",31 575,7 091,"22,5",38 924,"5,5"
TOTAL ALGERIE,1 533 247,1 094 636,"71,4",19 376 173,"17,7",528 932,351 423,"66,4",5 024 791,"14,3"
