0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2018,
"Récapitulatif des superficies, des productions, des rendements  et les taux d'accroissement  2018/2017",,,,,,,,,
,,2017,,,2018,,,Taux d'accroissement     %,
,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt,,2018 /2017,
,ha,qx,qx/ha,ha,qx,qx/ha,Sup.,Prod.,Rdt
Fourrages  a+b+c,1 149 823,40 645 759,"35,3",878 544,48 792 647,"55,5",-24,20,57
Fourrages naturels  a,226 254,5 690 296,"25,2",258 578,8 518 737,"32,9",14,50,31
Prairies naturelles,47 556,1 037 873,"21,8",49 578,1 623 160,"32,7",4,56,50
Jachères fauchées,178 697,4 652 423,"26,0",208 999,6 895 577,"33,0",17,48,27
Fourrages artificiels sec b,756 249,14 196 573,"18,8",456 014,17 654 123,"38,7",-40,24,106
Vesces-Avoines,66 777,2 214 299,"33,2",60 413,2 378 720,"39,4",-10,7,19
Luzernes,4 506,562 936,"124,9",9 305,1 763 874,"189,6",107,213,52
Céréales reconverties,457 339,2 897 924,"6,3",134 730,1 158 049,"8,6",-71,-60,36
Divers,227 628,8 521 414,"37,4",251 566,12 353 481,"49,1",11,45,31
Fourrages artificiels vert c,167 320,20 758 890,"124,1",163 952,22 619 787,"138,0",-2,9,11
"Orge,Avoine,Seigle en vert",125 468,11 822 208,"94,2",126 642,14 252 989,"112,5",1,21,19
Autres,41 851,8 936 682,"213,5",37 310,8 366 798,"224,3",-11,-6,5
Agrumes,60 579,13 442 745,"221,9",62 786,14 774 263,"235,3",4,10,6
Oranges,43 847,10 139 513,"231,3",45 514,11 341 943,"249,2",4,12,8
Clémentines,10 520,2 054 473,"195,3",10 944,2 172 109,"198,5",4,6,2
Mandarines,2 312,452 217,"195,6",2 277,455 533,"200,1",-2,1,2
Citrons,3 818,777 572,"203,7",3 978,787 979,"198,1",4,1,-3
Pomélos,83,18 970,"228,3",73,16 700,"230,3",-13,-12,1
Vignobles,64 482,5 665 787,"87,9",62 656,5 029 785,"80,3",-3,-11,-9
Vigne de cuve,22 415,664 865,"29,7",21 620,616 547,"28,5",-4,-7,-4
Vigne de table,42 067,5 000 922,"118,9",41 036,4 413 238,"107,5",-2,-12,-10
Vigne à raisin sec,0,0,0,0,0,0,,,
Espèces à Noyaux et / ou à,193 314,15 171 437,"78,5",175 776,14 801 366,"84,2",-9,-2,7
Pépins,,,,,,,,,
Abricots,36 395,2 381 319,"65,4",32 578,2 422 427,"74,4",-10,2,14
Amandes,38 260,619 340,"16,2",35 626,572 126,"16,1",-7,-8,-1
Caroubes,823,40 424,"49,1",766,28 804,"37,6",-7,-29,-23
Cerises,2 891,91 926,"31,8",2 824,88 180,"31,2",-2,-4,-2
Coings,1 852,124 002,"67,0",1 697,116 927,"68,9",-8,-6,3
Grenades,9 186,848 676,"92,4",9 344,898 183,"96,1",2,6,4
Nèfles,2 213,293 955,"132,8",2 187,263 449,"120,5",-1,-10,-9
Pêches,18 224,1 983 237,"108,8",16 768,1 904 200,"113,6",-8,-4,4
Poires,23 345,2 369 818,"101,5",20 667,2 001 760,"96,9",-11,-16,-5
Pommes,39 115,4 942 388,"126,4",33 653,4 878 081,"145,0",-14,-1,15
Prunes,15 120,1 117 970,"73,9",13 488,1 114 712,"82,6",-11,0,12
Autres,5 890,358 382,"60,8",6 178,512 517,"83,0",5,43,36
,Nbre d'arbres en rapport,Production (qx),Rdt                   kgs/arbre,Nbre d'arbres en,Production (qx),Rdt                   kgs/arbre,Nbre d'arbres,Production (qx),Rdt                   kgs/arbre
,,,,rapport,,,en rapport,,
Palmiers dattiers,15 638 606,10 585 587,"67,7",16 137 388,10 947 000,"67,8",3,3,0
Deglet nour,6 566 331,5 669 862,"86,3",6 772 756,5 934 808,"87,6",3,5,1
Dattes molles,3 519 043,2 049 694,"58,2",3 330 054,2 019 852,"60,7",-5,-1,4
Dattes séches,5 553 232,2 866 032,"51,6",6 034 578,2 992 340,"49,6",9,4,-4
Oliviers,36 117 825,6 844 606,"19,0",39 593 000,8 607 844,"21,7",10,26,15
Figuiers,5 157 695,1 286 841,"24,9",4 737 893,1 092 136,"23,1",-8,-15,-8
"NB:  En  ce  qui  concerne  l'arboriculture  et  le  vignoble,  Les  rendements  sont  calculés  par  rapport  aux  superficies  et  aux  arbres  en  rapport",,,,,,,,,
