0,1,2,3,4,5,6,7,8,9
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,SERIE B 2016
IV-CULTURES MARAICHERES DITES DE PRIMEURS (2/4),,,,,,,,,
,,ARTICHAUTS,,,HARICOTS,,,AUBERGINES,
WILAYA,superficie,production,Rdt,superficie,production,Rdt,superficie,Production,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,0,0,0,1,235,"184,9",1,334,"259,2"
2 CHLEF,0,0,0,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,0,0,0,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0,0,0,0
6 BEJAIA,0,0,0,5,279,"50,9",0,0,0
7 BISKRA,0,0,0,404,48 960,"121,3",426,281 537,"660,9"
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,145,18 670,"128,8",2,80,"53,3",3,1 210,"382,9"
10 BOUIRA,0,0,0,0,0,0,0,0,0
11 TAMANRASSET,0,0,0,1,120,"150,0",0,0,0
12 TEBESSA,0,0,0,0,0,0,0,0,0
13 TLEMCEN,0,0,0,25,1 500,"60,0",0,0,0
14 TIARET,,,0,,,0,,,0
15 TIZI-OUZOU,0,0,0,0,0,"0,0",0,0,0
16 ALGER,44,9 520,"216,4",0,75,"187,5",8,1 665,"199,9"
17 DJELFA,0,0,0,0,0,0,0,0,0
18 JIJEL,24,2 240,"93,3",36,2 270,"63,8",25,5 000,"200,0"
19 SETIF,0,0,0,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0,0,0,0
21 SKIKDA,0,0,0,172,4 089,"23,8",0,0,0
22 S.B.ABBES,0,0,0,0,0,0,0,0,0
23 ANNABA,0,0,0,0,0,0,0,0,0
24 GUELMA,0,0,0,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0,0,0,0
27 MOSTAGANEM,0,0,0,85,2 650,"31,2",0,0,0
28 M'SILA,0,0,0,0,0,0,5,3 000,"600,0"
29 MASCARA,0,0,0,0,0,0,0,0,0
30 OUARGLA,0,0,0,3,500,"200,0",37,6 529,"178,9"
31 ORAN,15,3 260,"217,3",10,910,"95,8",1,150,"200,0"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,14,"175,0"
34 B.B.ARRERIDJ,0,0,0,0,0,0,0,0,0
35 BOUMERDES,19,4 405,"238,1",0,0,0,2,1 400,"800,0"
36 EL-TARF,42,5 250,"126,5",157,9 420,"60,0",0,0,0
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,0,0,0,0,0,0
39 EL-OUED,0,0,0,0,68,"200,0",1,672,"600,0"
40 KHENCHELA,0,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,0,0,0,0,0,0,0,0,0
42 TIPAZA,20,4 520,"226,0",137,10 630,"77,7",26,9 050,"348,1"
43 MILA,0,0,0,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,0,0,0,45,2 700,"60,0",2,640,"400,0"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,0,0,0,0,0,0,0,0,0
TOTAL ALGERIE,308,47 865,"155,4",1 082,84 486,"78,1",537,311 201,"580,0"
