0,1,2,3,4,5,6,7,8,9,10
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,SERIE B 2017
IX-FOURRAGES ARTIFICIELS (4/4),,,,,,,,,,
,,FOURRAGES  CONSOMMES  EN VERT  OU  ENSILES,,,,,Fourrages en sec et en,,,Total fourrages
WILAYA,,,,,,,,vert,,
,,Autres,,,Total,,Superficie,Prod,Superficie,Prod
,Sup,Prod,Rdt,Sup,Prod,Rdt,,,,
,(ha),(Qx),qx/ha,(ha),(Qx),qx/ha,(ha),(Qx),(ha),(QX)
1 ADRAR,260,51 794,"199,6",1 649,288 673,"175,0",1 649,288 673,1 649,288 673
2 CHLEF,20,800,"40,0",918,178 465,"194,4",21 753,933 255,23 738,974 040
3 LAGHOUAT,0,0,0,4 814,407 400,"84,6",12 394,760 650,12 394,760 650
4 O.E.BOUAGHI,0,0,0,12 895,1 378 940,"106,9",156 857,1 880 661,157 607,1 887 821
5 BATNA,37,2 960,"80,0",6 760,3 549 380,"525,1",48 283,5 248 515,71 440,5 551 280
6 BEJAIA,33,860,"26,1",546,67 500,"123,6",2 935,125 096,16 058,373 910
7 BISKRA,1 380,64 150,"46,5",3 478,289 665,"83,3",8 250,536 330,8 250,536 330
8 BECHAR,347,41 130,"118,5",1 255,284 160,"226,4",1 318,284 610,1 318,284 610
9 BLIDA,120,16 800,"140,0",460,75 666,"164,5",1 192,111 402,7 248,672 117
10 BOUIRA,0,0,0,153,13 375,"87,4",8 330,264 534,8 928,275 039
11 TAMANRASSET,3,600,"200,0",255,71 076,"278,7",255,71 076,255,71 076
12 TEBESSA,0,0,0,4 787,132 990,"27,8",91 569,784 506,91 689,784 506
13 TLEMCEN,0,0,0,4 050,769 000,"189,9",22 260,1 391 087,23 410,1 417 097
14 TIARET,0,0,0,8 000,176 000,"22,0",33 960,695 200,34 010,695 961
15 TIZI-OUZOU,57,33 900,"594,7",7 089,2 544 193,"358,9",13 769,2 885 276,29 952,3 207 925
16 ALGER,0,0,0,315,103 955,"329,5",2 048,210 221,2 048,210 221
17 DJELFA,70,5 800,"82,9",4 235,427 720,"101,0",42 315,485 030,42 315,485 030
18 JIJEL,5,350,"70,0",501,101 187,"202,0",623,117 757,12 029,380 715
19 SETIF,170,1 445,"8,5",11 065,551 722,"49,9",25 261,835 153,33 658,938 226
20 SAIDA,0,0,0,2 396,173 769,"72,5",6 564,390 217,6 564,390 217
21 SKIKDA,23,905,"39,3",4 445,534 470,"120,2",9 786,720 505,20 758,1 165 305
22 S.B.ABBES,0,0,0,2 280,77 865,"34,2",18 043,421 473,18 043,421 473
23 ANNABA,16,590,"36,9",521,29 025,"55,7",1 325,65 250,8 267,391 520
24 GUELMA,0,0,0,6 212,1 080 340,"173,9",14 448,1 176 653,30 478,1 857 383
25 CONSTANTINE,1 264,43 838,"34,7",4 006,155 741,"38,9",8 504,281 814,9 454,300 614
26 MEDEA,746,25 330,"34,0",11 136,1 040 855,"93,5",36 148,1 965 060,56 793,2 582 057
27 MOSTAGANEM,0,0,0,1 522,128 703,"84,6",25 584,611 260,25 584,611 260
28 M'SILA,0,0,0,18 750,1 227 400,"65,5",41 200,1 410 000,41 200,1 410 000
29 MASCARA,1 590,11 650,"7,3",5 165,290 200,"56,2",53 415,1 539 800,60 955,1 628 800
30 OUARGLA,96,12 082,"125,9",2 155,702 787,"326,2",2 182,703 345,2 182,703 345
31 ORAN,4,1 600,"400,0",91,29 535,"323,7",13 264,325 506,13 264,325 506
32 EL-BAYADH,0,0,0,166,15 305,"92,2",10 745,60 970,10 745,60 970
33 ILLIZI,0,0,0,150,11 975,"80,0",150,11 975,150,11 975
34 B.B.ARRERIDJ,0,0,0,1 503,35 950,"23,9",16 424,119 100,29 810,168 101
35 BOUMERDES,0,0,0,1 208,377 194,"312,2",9 904,734 924,12 604,805 124
36 EL-TARF,0,0,0,633,158 720,"250,7",1 237,193 050,14 586,721 450
37 TINDOUF,0,0,0,26,3 080,"118,5",26,3 080,26,3 080
38 TISSEMSILT,0,0,0,2 060,71 670,"34,8",9 931,220 505,17 693,302 125
39 EL-OUED,0,0,0,2 654,391 200,"147,4",2 654,391 200,2 654,391 200
40 KHENCHELA,100,3 712,"37,1",9 608,419 236,"43,6",57 840,498 495,58 020,500 215
41 SOUK-AHRAS,0,0,0,2 985,31 005,"10,4",11 272,101 085,28 587,307 026
42 TIPAZA,12,4 800,"400,0",1 000,134 400,"134,4",8 566,470 905,11 261,510 905
43 MILA,0,0,0,4 747,598 780,"126,1",9 449,826 439,20 106,1 150 354
44 AIN-DEFLA,254,67 100,"264,2",454,191 525,"421,9",20 203,996 116,24 581,1 111 279
45 NAAMA,0,0,0,3 525,609 672,"173,0",3 525,609 672,3 525,609 672
46 A.TEMOUCHENT,0,0,0,100,9 700,"97,0",15 366,767 650,15 624,777 100
47 GHARDAIA,0,0,0,4 290,806 927,"188,1",4 290,806 927,4 290,806 927
48 RELIZANE,88,3 680,"41,8",308,10 795,"35,1",16 504,623 455,24 024,825 550
TOTAL ALGERIE,6 695,395 876,"59,1",167 320,20 758 890,"124,1",923 569,34 955 463,1 149 823,40 645 759
