0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII-CULTURES MARAICHERES SOUS SERRES (2/4),,,,,,,,,
,,CONCOMBRES,,,AUBERGINES,,,HARICOTS VERTS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,"51,19",38 505,"752,2","1,70",675,"397,1","2,30",368,"160,0"
2 CHLEF,"23,98",13 381,"558,0","0,16",64,"400,0","0,50",350,"700,0"
3 LAGHOUAT,,,0,,,0,,,0
4 O.E.BOUAGHI,"0,00",0,0,"0,00",0,0,"0,00",0,0
5 BATNA,"0,40",650,"1 625,0","0,00",0,0,"0,00",0,0
6 BEJAIA,"5,77",3 828,"663,4","0,04",60,"1 500,0","5,04",706,"140,1"
7 BISKRA,"311,00",279 683,"899,3","496,00",325 400,"656,0","0,00",0,0
8 BECHAR,"0,24",275,"1 145,8","0,04",85,"2 125,0","0,00",0,0
9 BLIDA,5,2750,"550,0","26,5",13250,"500,0","6,5",660,"101,5"
10 BOUIRA,"0,00",0,0,"0,00",0,0,"0,00",0,0
11 TAMANRASSET,"0,00",0,0,"0,00",0,0,"0,00",0,0
12 TEBESSA,,,0,,,0,,,0
13 TLEMCEN,"50,50",43 000,"851,5","0,00",0,0,"2,50",1 100,"440,0"
14 TIARET,,,0,,,0,,,0
15 TIZI-OUZOU,"0,28",196,"700,0","0,00",0,0,"0,00",0,0
16 ALGER,"8,88",8 325,"937,5","7,72",3 150,"408,0","1,76",170,"96,6"
17 DJELFA,"0,25",200,"800,0","0,00",0,0,"0,00",0,0
18 JIJEL,"42,34",59 442,"1 403,9","20,16",11 992,"594,8","20,20",5 941,"294,1"
19 SETIF,"89,72",113 860,"1 269,1","0,00",0,0,"3,00",600,"200,0"
20 SAIDA,"0,00",0,0,"0,00",0,0,"0,00",0,0
21 SKIKDA,"6,32",5 060,"800,6","5,36",2 644,"493,3","5,58",666,"119,4"
22 S.B.ABBES,,,0,,,0,,,0
23 ANNABA,,,0,,,0,,,0
24 GUELMA,"0,00",0,0,"0,00",0,0,"0,00",0,0
25 CONSTANTINE,"0,00",0,0,"0,00",0,0,"0,00",0,0
26 MEDEA,"0,00",0,0,"0,00",0,0,"0,00",0,0
27 MOSTAGANEM,"38,20",31 684,"829,4","91,75",45 085,"491,4","23,70",8 439,"356,1"
28 M'SILA,"7,00",4 900,"700,0","10,50",6 300,"600,0","0,00",0,0
29 MASCARA,"0,00",0,0,"0,00",0,0,"0,00",0,0
30 OUARGLA,"13,20",3 970,"300,8","3,50",1 225,"350,0","1,50",45,"30,0"
31 ORAN,"1,08",822,"761,1","1,85",694,"375,1","0,56",52,"92,9"
32 EL-BAYADH,,,0,,,0,,,0
33 ILLIZI,"0,00",0,0,"0,00",0,0,"0,00",0,0
34 B.B.ARRERIDJ,"0,00",0,0,"0,00",0,0,"0,00",0,0
35 BOUMERDES,"10,00","8 320,00","832,0","22,00",7 216,"328,0","11,00",3 449,"313,5"
36 EL-TARF,"0,00",0,0,"0,00",0,0,"0,33",230,"697,0"
37 TINDOUF,"0,88",704,"800,0",,,0,"0,92",276,"300,0"
38 TISSEMSILT,,,0,,,0,,,0
39 EL-OUED,"6,34",6 340,"1 000,0","3,12",776,"248,7","0,64",128,"200,0"
40 KHENCHELA,"0,00",0,0,"10,00",6 000,"600,0","0,00",0,0
41 SOUK-AHRAS,,,0,,,0,,,0
42 TIPAZA,"342,84",310 068,"904,4","27,44",15 403,"561,3","115,58",7 174,"62,1"
43 MILA,"0,00",0,0,"0,16",116,"725,0","0,00",0,0
44 AIN-DEFLA,"75,00",62 050,"827,3","0,00",0,0,"15,00",11 650,"776,7"
45 NAAMA,,,0,,,0,,,0
46 A.TEMOUCHENT,"6,96",3 370,"484,2","2,84",1 060,"373,2","0,72",130,"180,6"
47 GHARDAIA,"0,00",0,0,"0,00",0,0,"0,00",0,0
48 RELIZANE,"0,00",0,0,"0,00",0,0,"0,00",0,0
TOTAL ALGERIE,"1 097,37",1 001 383,"912,5","730,84",441 195,"603,7","217,33",42 134,"193,9"
