0,1,2,3,4,5,6,7,8,9,10,11,12
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,,,SERIE B 2017
VI-LEGUMES SECS (2/2),,,,,,,,,,,,
WILAYA,,Pois chiches,,,Haricots secs,,,Gesses et guerfalas,,,TOTAL,
,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup.,Prod,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0,135,755,"5,6"
2 CHLEF,1 971,31 364,"15,9",0,0,0,0,0,0,8 120,117 185,"14,4"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,88,9,"0,1",0,0,0,0,0,0,388,238,"0,6"
5 BATNA,0,0,0,0,0,0,0,0,0,163,4 393,"27,0"
6 BEJAIA,25,192,"7,8",0,0,0,0,0,0,516,6 017,"11,7"
7 BISKRA,3,15,"5,0",0,0,0,0,0,0,3,15,"5,0"
8 BECHAR,0,0,0,0,0,0,0,0,0,0,0,0
9 BLIDA,27,171,"6,5",0,0,0,0,0,0,27,171,"6,5"
10 BOUIRA,403,3 700,"9,2",0,0,0,0,0,0,1 093,10 478,"9,6"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0,1,15,"15,0"
12 TEBESSA,24,65,"2,7",0,0,0,0,0,0,111,124,"1,1"
13 TLEMCEN,4 275,51 300,"12,0",830,6 640,"8,0",0,0,0,15 915,155 190,"9,8"
14 TIARET,517,2 800,"5,4",0,0,0,0,0,0,10 187,107 844,"10,6"
15 TIZI-OUZOU,81,890,"11,1",31,374,"12,1",0,0,0,645,9 046,"14,0"
16 ALGER,18,355,"19,7",0,0,0,0,0,0,18,355,"19,7"
17 DJELFA,0,0,0,0,0,0,0,0,0,0,0,0
18 JIJEL,87,1 019,"11,7",18,171,"9,5",0,0,0,374,4 791,"12,8"
19 SETIF,99,688,"6,9",0,0,0,0,0,0,877,7 547,"8,6"
20 SAIDA,53,356,"6,7",0,0,0,0,0,0,661,11 129,"16,8"
21 SKIKDA,1 129,11 290,"10,0",44,482,"11,0",20,200,"10,0",7 283,78 967,"10,8"
22 S.B.ABBES,1 124,12 427,"11,1",0,0,0,0,0,0,2 525,25 249,"10,0"
23 ANNABA,346,6 440,"18,6",1,12,"12,0",0,0,0,1 071,19 835,"18,5"
24 GUELMA,1 415,14 232,"10,1",0,0,0,0,0,0,6 173,67 362,"10,9"
25 CONSTANTINE,769,8 616,"11,2",0,0,0,330,4620,"14,0",4 740,49 097,"10,4"
26 MEDEA,614,5 000,"8,1",0,0,0,0,0,0,2 476,21 690,"8,8"
27 MOSTAGANEM,2 613,31 716,"12,1",0,0,0,0,0,0,4 776,54 209,"11,4"
28 M'SILA,0,0,0,0,0,0,0,0,0,0,0,0
29 MASCARA,2 320,20 900,"9,0",10,50,"5,0",0,0,0,4 570,43 900,"9,6"
30 OUARGLA,0,0,0,0,0,0,0,0,0,0,0,0
31 ORAN,143,1 184,"8,3",58,225,"3,9",0,0,0,416,2 939,"7,1"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,1,18,"18,0",0,0,0,0,0,0,219,78,"0,4"
35 BOUMERDES,102,816,"8,0",12,144,"12,0",0,0,0,788,11 070,"14,0"
36 EL-TARF,920,11 040,"12,0",0,0,0,0,0,0,1 281,15 260,"11,9"
37 TINDOUF,0,0,0,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,210,941,"4,5",0,0,0,0,0,0,760,4 180,"5,5"
39 EL-OUED,0,0,0,0,0,0,0,0,0,0,0,0
40 KHENCHELA,0,0,0,0,0,0,0,0,0,14,35,"2,5"
41 SOUK-AHRAS,572,3 089,"5,4",17,59,"3,5",0,0,0,1 689,9 293,"5,5"
42 TIPAZA,82,1 232,"15,0",22,240,"10,9",0,0,0,460,11 362,"24,7"
43 MILA,1 013,10 700,"10,6",0,0,0,0,0,0,4 414,53 400,"12,1"
44 AIN-DEFLA,1 146,9 143,"8,0",0,0,0,0,0,0,4 194,46 500,"11,1"
45 NAAMA,0,0,0,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,5 760,47 100,"8,2",859,6 400,"7,5",0,0,0,9 173,77 850,"8,5"
47 GHARDAIA,0,0,0,0,0,0,0,0,0,0,0,0
48 RELIZANE,623,4 904,"7,9",0,0,0,0,0,0,4 170,44 927,"10,8"
TOTAL ALGERIE,28 571,293 711,"10,3",1 902,14 797,"7,8",350,4 820,"13,8",100 425,1 072 494,"10,7"
