0,1,2,3,4,5,6
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,SERIE B 2016
VII-CULTURES MARAICHERES SOUS SERRES (4/4),,,,,,
,,AUTRES LEGUMES,,,TOTAL,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,,,0,"94,09",49 866,"530,0"
2 CHLEF,"0,00",0,0,"642,18",447 584,"697,0"
3 LAGHOUAT,"0,00",0,0,"0,00",0,0
4 O.E.BOUAGHI,"0,00",0,0,"0,00",0,0
5 BATNA,"0,24","84,00","350,0","8,44",11 181,"1 324,8"
6 BEJAIA,"5,12",94,"18,4","76,16",30 519,"400,7"
7 BISKRA,"31,75",16 075,"506,3","5 601,00",5 584 030,"997,0"
8 BECHAR,"0,04",13,"325,0","1,68",1 049,"624,4"
9 BLIDA,"36,00",7 800,"216,7","229,77",120 737,"525,5"
10 BOUIRA,"0,00",0,0,"0,00",0,0
11 TAMANRASSET,"0,64",310,"484,4","14,52",9 216,"634,7"
12 TEBESSA,"0,00",0,0,"0,00",0,0
13 TLEMCEN,"0,00",0,0,"215,00",178 700,"831,2"
14 TIARET,"0,00",0,0,"0,00",0,0
15 TIZI-OUZOU,"0,32",80,"250,0","22,28",12 136,"544,7"
16 ALGER,"43,64",6 990,"160,2","419,79",275 900,"657,2"
17 DJELFA,"22,75",6 830,"300,2","24,95",8 140,"326,3"
18 JIJEL,"340,97",93 853,"275,3","1 018,36",707 472,"694,7"
19 SETIF,"0,00",0,0,"361,36",382 030,"1 057,2"
20 SAIDA,"0,00",0,0,"0,00",0,0
21 SKIKDA,"2,08",816,"392,3","39,16",12 698,"324,3"
22 S.B.ABBES,"0,00",0,0,"0,00",0,0
23 ANNABA,"2,82",0,"0,0","2,82",0,"0,0"
24 GUELMA,"0,00",0,0,"0,00",0,0
25 CONSTANTINE,"0,00",0,0,"0,36",156,"433,3"
26 MEDEA,"0,00",0,0,"0,00",0,0
27 MOSTAGANEM,"0,00",0,0,"873,00",578 258,"662,4"
28 M'SILA,"0,00",0,0,"220,00",173 900,"790,5"
29 MASCARA,"0,00",0,0,"2,00",1 450,"725,0"
30 OUARGLA,"72,00",9 700,"134,7","1 138,17",396 736,"348,6"
31 ORAN,"0,00",0,0,"69,06",33 435,"484,1"
32 EL-BAYADH,"0,00",0,0,"0,00",0,0
33 ILLIZI,"1,18",206,"174,6","3,61",937,"259,5"
34 B.B.ARRERIDJ,"0,00",0,0,"0,50",185,"370,0"
35 BOUMERDES,"2,00",600,"300,0","569,00",328 635,"577,6"
36 EL-TARF,"1,26",630,"500,0","3,22",3 102,"963,4"
37 TINDOUF,"0,28",70,"250,0","10,32",7 246,"702,1"
38 TISSEMSILT,"0,00",0,0,"0,00",0,0
39 EL-OUED,"0,00",0,0,"220,00",154 500,"702,3"
40 KHENCHELA,"0,00",0,0,"35,50",33 790,"951,8"
41 SOUK-AHRAS,"0,00",0,0,"0,00",0,0
42 TIPAZA,"360,77",72 156,"200,0","1 930,97",1 086 436,"562,6"
43 MILA,"0,00",0,0,"7,32",4 860,"663,9"
44 AIN-DEFLA,"0,00",0,0,"242,70",140 986,"580,9"
45 NAAMA,"0,00",0,0,"0,00",0,0
46 A.TEMOUCHENT,"0,88",44,"50,0","86,89",53 811,"619,3"
47 GHARDAIA,"0,39",69,"176,9","4,70",1 880,"400,0"
48 RELIZANE,"0,00",0,0,"26,00",8 050,"309,6"
TOTAL ALGERIE,"925,13",216 419,"233,9","14 214,88",10 839 610,"762,6"
