0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
IX-FOURRAGES ARTIFICIELS (2/4),,,,,,,,,
,,,FOURRAGES CONSOMMES EN SEC,,,,,,
,,CEREAL RECONVERT,,,DIVERS,,,TOTAL,
WILAYA,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt
,(ha),(qx),qx/ha,(ha),(qx),qx/ha,(ha),(qx),qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0
2 CHLEF,203,2 180,"10,7",8 970,286 105,"31,9",21 457,881 485,"41,1"
3 LAGHOUAT,0,0,0,4 322,194 399,"45,0",6 501,292 501,"45,0"
4 O.E.BOUAGHI,350,1 000,"2,9",2 273,165 200,"72,7",2 683,170 400,"63,5"
5 BATNA,7 360,128 364,"17,4",18 890,1 417 029,"75,0",31 571,2 735 463,"86,6"
6 BEJAIA,51,765,"15,0",1 534,46 748,"30,5",2 913,88 182,"30,3"
7 BISKRA,2 130,91 935,"43,2",0,0,0,2 365,127 935,"54,1"
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,160,26 404,"165,0",634,41 841,"66,0",1 076,84 311,"78,4"
10 BOUIRA,0,0,0,8 558,375 754,"43,9",8 588,376 915,"43,9"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,70 000,140 000,"2,0",1 510,29 800,"19,7",72 765,558 850,"7,7"
13 TLEMCEN,0,0,0,16 450,578 000,"35,1",17 950,640 200,"35,7"
14 TIARET,0,0,0,26 445,1 322 250,"50,0",26 524,1 325 478,"50,0"
15 TIZI-OUZOU,315,9 625,"30,6",5 922,371 628,"62,8",6 437,387 065,"60,1"
16 ALGER,66,565,"8,6",1 000,70 925,"70,9",1 639,105 985,"64,6"
17 DJELFA,7 213,9 330,"1,3",0,0,0,7 213,9 330,"1,3"
18 JIJEL,0,0,0,115,28 880,"251,1",124,29 240,"235,8"
19 SETIF,0,0,0,14 481,605 831,"41,8",15 024,629 561,"41,9"
20 SAIDA,0,0,0,3 411,144 536,"42,4",5 686,266 941,"46,9"
21 SKIKDA,70,2 520,"36,0",0,0,0,4 605,138 570,"30,1"
22 S.B.ABBES,1 766,50 866,"28,8",0,0,0,8 356,306 888,"36,7"
23 ANNABA,10,552,"55,2",238,10 020,"42,1",890,50 282,"56,5"
24 GUELMA,0,0,0,2 475,132 530,"53,5",2 815,154 625,"54,9"
25 CONSTANTINE,0,0,0,4 562,210 803,"46,2",5 226,240 075,"45,9"
26 MEDEA,1 520,62 950,"41,4",14 427,550 950,"38,2",21 907,996 260,"45,5"
27 MOSTAGANEM,0,0,0,15 366,460 000,"29,9",17 545,510 838,"29,1"
28 M'SILA,20 600,206 000,"10,0",0,0,0,20 850,211 000,"10,1"
29 MASCARA,0,0,0,23 805,1 374 100,"57,7",23 805,1 374 100,"57,7"
30 OUARGLA,33,965,"29,2",7,295,"42,1",40,1 260,"31,5"
31 ORAN,0,0,0,6 572,350 059,"53,3",6 572,350 059,"53,3"
32 EL-BAYADH,1 882,9 960,"5,3",88,8 530,"96,9",1 975,19 030,"9,6"
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,0,0,0,2 201,97 715,"44,4",2 251,100 515,"44,7"
35 BOUMERDES,102,2 550,"25,0",8 934,373 178,"41,8",9 036,375 728,"41,6"
36 EL-TARF,1 030,36 050,"35,0",20,360,"18,0",1 162,45 840,"39,4"
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,1 180,27 518,"23,3",1 910,49 317,"25,8"
39 EL-OUED,0,0,0,0,0,0,0,0,0
40 KHENCHELA,16 700,100 200,"6,0",0,0,0,16 753,102 020,"6,1"
41 SOUK-AHRAS,217,94 501,"435,5",0,0,0,12 206,357 007,"29,2"
42 TIPAZA,639,30 050,"47,0",5 340,249 890,"46,8",7 300,350 100,"48,0"
43 MILA,0,0,0,5 068,246 598,"48,7",6 024,303 204,"50,3"
44 AIN-DEFLA,114,4 218,"37,0",15 882,820 935,"51,7",20 816,982 935,"47,2"
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,2 200,146 500,"66,6",9 050,521 010,"57,6",11 250,667 510,"59,3"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,0,0,0,21 839,1 240 065,"56,8",22 206,1 257 120,"56,6"
TOTAL ALGERIE,134 730,1 158 049,"8,6",251 566,12 353 481,"49,1",456 014,17 654 123,"38,7"
