0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2018
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (2/7),,,,,,,,
,,Caroubes,,,,Cerises,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,0,0,0,"0,0",7,7,315,"45,0"
3 LAGHOUAT,0,0,0,"0,0",0,0,0,
4 O.E.BOUAGHI,0,0,0,"0,0",10,2,18,"10,0"
5 BATNA,0,0,0,"0,0",63,49,1 883,"38,8"
6 BEJAIA,502,487,18 797,"38,6",57,45,1 342,"29,6"
7 BISKRA,0,0,0,"0,0",0,0,0,"0,0"
8 BECHAR,0,0,0,"0,0",0,0,0,"0,0"
9 BLIDA,96,93,120,"1,3",7,3,180,"60,0"
10 BOUIRA,15,13,52,"4,0",62,35,760,"21,7"
11 TAMANRASSET,0,0,0,"0,0",0,0,0,"0,0"
12 TEBESSA,0,0,0,"0,0",5,5,80,"16,0"
13 TLEMCEN,15,15,150,"10,0",1 164,700,35 000,"50,0"
14 TIARET,0,0,0,"0,0",2,1,50,"50,0"
15 TIZI-OUZOU,3,2,110,"55,0",750,665,5 626,"8,5"
16 ALGER,10,10,60,"0,0",0,0,0,"0,0"
17 DJELFA,0,0,0,"0,0",0,0,0,"0,0"
18 JIJEL,0,0,0,"0,0",103,94,8 190,"87,1"
19 SETIF,0,0,0,"0,0",77,57,929,"16,3"
20 SAIDA,0,0,0,"0,0",218,114,10 890,"95,5"
21 SKIKDA,0,0,0,"0,0",66,53,2 544,"48,5"
22 S.B.ABBES,0,0,0,"0,0",65,28,495,"18,0"
23 ANNABA,0,0,0,"0,0",2,2,90,"45,0"
24 GUELMA,0,0,0,"0,0",12,9,569,"66,4"
25 CONSTANTINE,0,0,0,"0,0",75,57,3 765,"66,6"
26 MEDEA,0,0,0,"0,0",1 512,515,7 642,"14,9"
27 MOSTAGANEM,0,0,0,"0,0",0,0,0,"0,0"
28 M'SILA,0,0,0,"0,0",0,0,0,"0,0"
29 MASCARA,0,0,0,"0,0",12,0,0,"0,0"
30 OUARGLA,0,0,0,"0,0",0,0,0,"0,0"
31 ORAN,0,0,0,"0,0",0,0,0,"0,0"
32 EL-BAYADH,0,0,0,"0,0",4,2,30,"0,0"
33 ILLIZI,0,0,0,"0,0",0,0,0,"0,0"
34 B.B.ARRERIDJ,4,4,20,"5,0",14,14,176,"13,0"
35 BOUMERDES,37,35,3 544,"102,7",7,7,140,"21,5"
36 EL-TARF,0,0,0,"0,0",2,0,0,"0,0"
37 TINDOUF,0,0,0,"0,0",0,0,0,"0,0"
38 TISSEMSILT,0,0,0,"0,0",0,0,0,"0,0"
39 EL-OUED,0,0,0,"0,0",0,0,0,"0,0"
40 KHENCHELA,0,0,0,"0,0",114,100,1 900,"19,1"
41 SOUK-AHRAS,0,0,0,"0,0",248,200,4 782,"24,0"
42 TIPAZA,102,102,5 398,"52,9",0,0,0,"0,0"
43 MILA,0,0,0,"0,0",43,35,443,"12,7"
44 AIN-DEFLA,5,5,553,"105,2",31,30,344,"11,4"
45 NAAMA,0,0,0,"0,0",1,0,0,"0,0"
46 A.TEMOUCHENT,0,0,0,"0,0",0,0,0,"0,0"
47 GHARDAIA,0,0,0,"0,0",0,0,0,"0,0"
48 RELIZANE,0,0,0,"0,0",0,0,0,"0,0"
TOTAL ALGERIE,789,766,28 804,"37,6",4 730,2 824,88 180,"31,2"
