0,1,2,3,4,5,6,7,8
,Deglet nour Dattes fines,,Ghers  et analogues,,Degla Beida et,,Ensemble palmier dattier,
WILAYA,,,Dattes molles,,analogues Dattes séches,,,
,Production,Rdt,Production,Rdt,Production,Rdt,Production,Rdt
,qx,kg/arbre,qx,kg/arbre,qx,kg/arbre,qx,kg/arbre
1 ADRAR,0,"0,0",0,"0,0",935 657,"33,5",935 657,"33,5"
3 LAGHOUAT,3 319,"43,1",4 398,"42,0",4 029,"43,0",11 746,"42,7"
5 BATNA,6 250,"75,3",3 868,"51,9",5 523,"59,9",15 640,"62,6"
7 BISKRA,2 975 400,"114,0",545 654,"98,9",1 072 800,"98,0",4 593 854,"107,9"
8 BECHAR,0,"0,0",257 582,"0,0",63 918,"35,1",321 500,"32,3"
11 TAMANRASSET,0,"0,0",0,"0,0",119 008,"0,0",119 008,"18,5"
12 TEBESSA,9 420,"45,4",10 430,"56,8",0,"0,0",19 850,"50,8"
17 DJELFA,4 880,"77,5",1 470,"66,8",520,"65,0",6 870,"73,9"
28 M'SILA,0,"0,0",0,"0,0",0,"0,0",0,"0,0"
30 OUARGLA,865 983,"75,0",540 717,"60,7",83 977,"59,2",1 490 677,"68,2"
32 EL-BAYADH,950,"45,2",4 300,"53,8",5 900,"0,0",11 150,"51,4"
33 ILLIZI,713,"30,2",9 407,"33,6",5 617,"24,8",15 737,"29,7"
37 TINDOUF,0,"0,0",9 230,"26,9",320,"0,0",9 550,"26,9"
39 EL-OUED,1 812 400,"74,0",494 500,"69,0",424 300,"68,0",2 731 200,"72,1"
40 KHENCHELA,32 332,"73,0",41 396,"66,7",7 772,"68,5",81 500,"69,2"
45 NAAMA,160,"0,0",3 900,"46,3",0,"0,0",4 060,"46,3"
47 GHARDAIA,223 001,"47,7",93 000,"52,1",262 999,"54,1",579 001,"51,1"
TOTAL ALGERIE,5 934 808,"87,6",2 019 852,"60,7",2 992 340,"49,6",10 947 000,"67,8"
