0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2019
ENSEMBLE DES CULTURES HERBACEES 2/2,,,,,,,,,
Wilaya,Cultures industrielles,,Cultures  maraîchères,,Autres cultures,,TOTAL CULTURES HERBACEES,,
,ha,%,ha,%,ha,%,ha,%,
1 ADRAR,1 878,"6,0",5 170,"16,5",171,"0,5",31 254,"0,7",
2 CHLEF,1 210,"0,9",9 215,"6,8",0,"0,0",134 841,"2,9",
3 LAGHOUAT,30,"0,1",0,"0,0",0,"0,0",44 017,"0,9",
4 O.E.BOUAGHI,894,"0,4",2 700,"1,2",0,"0,0",234 118,"5,0",
5 BATNA,213,"0,1",7 440,"3,9",0,"0,0",190 550,"4,0",
6 BEJAIA,77,"0,5",3 264,"22,6",221,"1,5",14 464,"0,3",
7 BISKRA,574,"0,9",23 782,"38,7",148,"0,2",61 484,"1,3",
8 BECHAR,100,"1,6",2 690,"44,6",0,"0,0",6 036,"0,1",
9 BLIDA,66,"0,4",6 370,"40,8",0,"0,0",15 618,"0,3",
10 BOUIRA,25,"0,0",7 462,"8,6",0,"0,0",86 288,"1,8",
11 TAMANRASSET,38,"1,1",1 895,"57,1",0,"0,0",3 322,"0,1",
12 TEBESSA,0,"0,0",4 757,"2,4",0,"0,0",197 698,"4,2",
13 TLEMCEN,0,"0,0",23 146,"9,7",0,"0,0",238 426,"5,1",
14 TIARET,0,"0,0",0,"0,0",0,"0,0",405 690,"8,6",
15 TIZI-OUZOU,0,"0,0",5 890,"22,4",0,"0,0",26 281,"0,6",
16 ALGER,0,"0,0",8 134,"69,5",29,"0,3",11 704,"0,2",
17 DJELFA,36,"0,0",9 678,"8,4",0,"0,0",115 274,"2,4",
18 JIJEL,91,"0,9",6 777,"70,6",0,"0,0",9 596,"0,2",
19 SETIF,1 100,"0,5",7 853,"3,4",0,"0,0",230 925,"4,9",
20 SAIDA,0,"0,0",8 355,"5,5",0,"0,0",150 607,"3,2",
21 SKIKDA,9 883,"11,7",22 761,"27,0",0,"0,0",84 394,"1,8",
22 S.B.ABBES,20,"0,0",7 184,"3,5",0,"0,0",206 998,"4,4",
23 ANNABA,2 200,"7,0",9 500,"30,2",0,"0,0",31 442,"0,7",
24 GUELMA,3 922,"3,3",7 350,"6,2",0,"0,0",118 603,"2,5",
25 CONSTANTINE,0,"0,0",5 160,"4,5",0,"0,0",114 017,"2,4",
26 MEDEA,0,"0,0",9 661,"5,7",0,"0,0",170 361,"3,6",
27 MOSTAGANEM,175,"0,2",28 065,"29,8",0,"0,0",94 046,"2,0",
28 M'SILA,0,"0,0",8 800,"8,6",0,"0,0",102 185,"2,2",
29 MASCARA,45,"0,0",31 406,"15,2",0,"0,0",206 168,"4,4",
30 OUARGLA,466,"4,4",4 746,"44,7",0,"0,0",10 622,"0,2",
31 ORAN,0,"0,0",5 023,"7,7",12,"0,0",65 448,"1,4",
32 EL-BAYADH,142,"0,0",4 027,"17,7",0,"0,0",22 698,"0,5",
33 ILLIZI,0,"0,0",374,"57,4",0,"0,0",651,"0,0",
34 B.B.ARRERIDJ,0,"0,0",1 884,"2,2",0,"0,0",86 062,"1,8",
35 BOUMERDES,0,"0,0",14 502,"49,8",0,"0,0",29 113,"0,6",
36 EL-TARF,5 986,"14,8",5 408,"13,3",0,"0,0",40 553,"0,9",
37 TINDOUF,0,"0,0",139,"80,4",0,"0,0",173,"0,0",
38 TISSEMSILT,0,"0,0",1 673,"1,8",0,"0,0",91 322,"1,9",
39 EL-OUED,5 285,"8,8",39 917,"66,8",0,"0,0",59 752,"1,3",
40 KHENCHELA,0,"0,0",4 836,"3,8",0,"0,0",127 607,"2,7",
41 SOUK-AHRAS,79,"0,0",4 286,"2,4",0,"0,0",175 525,"3,7",
42 TIPAZA,279,"0,7",16 837,"43,1",0,"0,0",39 036,"0,8",
43 MILA,20,"0,0",6 259,"4,6",0,"0,0",137 033,"2,9",
44 AIN-DEFLA,2 080,"1,6",25 896,"19,4",486,"0,4",133 621,"2,8",
45 NAAMA,40,"0,4",1 093,"11,6",0,"0,0",9 442,"0,2",
46 A.TEMOUCHENT,0,"0,0",9 638,"6,8",0,"0,0",142 026,"3,0",
47 GHARDAIA,740,"4,1",4 400,"24,6",0,"0,0",17 854,"0,4",
48 RELIZANE,327,"0,2",21 478,"11,0",0,"0,0",194 863,"4,1",
TOTAL ALGERIE,38 018,"0,8",446 880,"9,5",1 067,"0,0",4 719 806,,100
