0,1,2,3,4,5,6,7
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,SERIE B 2018
VIII-ANIMAUX D'ELEVAGE (2/4),,,,,,,
,,,,E S P E C E      O V I N E,,,
WILAYA,Brebis,Béliers,Antenaise,Antenais,Agneaux,Agnelles,TOTAL
,,,(10 à 18  mois),(10 à 18  mois),-10 mois,-  10 mois,
1 ADRAR,190 486,55 805,56 662,66 033,79 737,59 063,507 786
2 CHLEF,117 600,9 275,17 303,27 242,37 682,44 748,253 850
3 LAGHOUAT,1 570 699,55 925,53 064,19 124,86 868,186 210,1 971 890
4 O.E.BOUAGHI,380 302,19 235,50 479,37 303,79 779,93 302,660 400
5 BATNA,603 933,25 340,144 662,73 332,118 275,135 778,1 101 320
6 BEJAIA,37 250,3 201,13 187,12 868,15 769,15 925,98 200
7 BISKRA,681 400,43 208,83 524,53 756,66 934,135 478,1 064 300
8 BECHAR,216 346,10 212,8 133,8 666,5 351,4 832,253 540
9 BLIDA,12 680,3 270,3 316,3 085,2 984,2 615,27 950
10 BOUIRA,162 277,16 321,26 916,29 813,25 028,24 988,285 343
11 TAMANRASSET,40 751,8 180,14 578,10 326,5 892,5 173,84 900
12 TEBESSA,625 000,35 000,25 000,32 500,100 000,115 500,933 000
13 TLEMCEN,590 000,15 987,33 685,22 664,24 802,33 362,720 500
14 TIARET,1 541 050,83 555,161 983,112 005,117 022,163 733,2 179 348
15 TIZI-OUZOU,44 268,6 601,12 941,13 237,18 506,18 116,113 669
16 ALGER,6 173,1 348,1 845,2 295,2 331,2 242,16 234
17 DJELFA,2 332 800,93 350,145 120,193 340,386 590,241 800,3 393 000
18 JIJEL,37 796,3 405,5 286,5 261,5 228,5 390,62 366
19 SETIF,272 944,18 639,53 144,44 627,45 468,50 449,485 271
20 SAIDA,748 960,29 000,54 610,27 360,49 570,61 300,970 800
21 SKIKDA,103 792,14 441,42 731,32 492,22 522,32 422,248 400
,815 000,11 451,32 800,26 253,23 166,21 330,930 000
23 ANNABA,31 476,3 419,3 867,3 623,4 631,4 928,51 944
24 GUELMA,266 364,14 492,41 996,42 287,58 997,81 043,505 179
25 CONSTANTINE,104 578,4 075,17 367,15 418,26 700,28 097,196 235
26 MEDEA,341 960,65 179,116 027,102 373,94 814,100 392,820 745
27 MOSTAGANEM,107 090,8 080,32 740,16 650,20 000,34 380,218 940
28 M'SILA,1 070 000,31 000,140 000,128 000,122 600,138 400,1 630 000
29 MASCARA,324 000,22 000,89 800,64 100,103 600,146 500,750 000
30 OUARGLA,67 571,10 335,12 693,8 195,20 058,27 276,146 128
31 ORAN,107 699,6 368,11 680,12 193,10 133,8 117,156 190
32 EL-BAYADH,1 319 715,118 760,246 600,236 720,211 145,197 960,2 330 900
33 ILLIZI,18 710,14 085,0,0,2 241,3 471,38 507
34 B.B.ARRERIDJ,189 836,12 889,28 558,19 209,31 077,34 907,316 476
35 BOUMERDES,16 656,5 167,4 397,3 807,5 124,4 310,39 461
36 EL-TARF,85 850,8 478,12 402,11 133,16 880,17 357,152 100
37 TINDOUF,23 988,2 068,3 723,2 481,4 136,4 963,41 359
38 TISSEMSILT,204 924,12 095,15 285,50 359,20 302,49 035,352 000
39 EL-OUED,341 000,17 051,112 192,130 885,74 788,56 084,732 000
40 KHENCHELA,308 795,11 076,26 834,22 416,28 315,35 462,432 898
41 SOUK-AHRAS,168 259,8 342,39 922,25 090,54 773,64 118,360 504
42 TIPAZA,23 053,3 875,4 908,2 575,4 733,5 734,44 878
43 MILA,177 100,27 648,35 168,33 698,20 714,20 174,314 502
44 AIN-DEFLA,94 183,15 264,25 337,21 946,26 717,30 858,214 305
45 NAAMA,1 036 837,44 572,90 390,76 295,141 286,158 140,1 547 520
46 A.TEMOUCHENT,102 451,8 453,15 181,15 211,15 340,19 602,176 238
47 GHARDAIA,174 000,18 740,38 830,35 510,45 085,50 835,363 000
48 RELIZANE,237 632,30 005,44 965,41 929,39 689,35 698,429 918
TOTAL ALGERIE,18 075 234,1 086 265,2 251 831,1 975 685,2 523 382,2 811 597,28 723 994
