0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII- ENSEMBLE DES CULTURES MARAÎCHERES (6/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,FEVES VERTES,,,HARICOTS VERTS,,,PETITS POIS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(qx),qx/ha,(ha),(qx),qx/ha,(ha),(QX),qx/ha
1 ADRAR,357,19 096,"53,4",10,1 554,"158,0",223,10 266,"46,1"
2 CHLEF,178,24 740,"139,0",80,7 155,"90,0",396,31 680,"80,0"
3 LAGHOUAT,916,100 869,"110,1",23,1 888,"82,1",67,4 759,"71,0"
4 O.E.BOUAGHI,0,0,0,0,0,0,0,0,0
5 BATNA,374,31 310,"83,8",115,23 000,"200,0",0,0,0
6 BEJAIA,291,13 420,"46,1",176,6 996,"39,8",130,4 432,"34,2"
7 BISKRA,2 389,398 200,"166,7",412,57 550,"139,7",1 197,166 250,"138,9"
8 BECHAR,106,7 415,"70,0",5,169,"33,8",39,1 851,"48,1"
9 BLIDA,305,34 268,"112,4",37,4 425,"121,2",233,19 687,"84,7"
10 BOUIRA,201,3 319,"16,6",53,1 973,"37,1",159,4 855,"30,6"
11 TAMANRASSET,11,540,"49,1",1,170,"125,9",0,0,0
12 TEBESSA,30,3 000,"100,0",20,560,"28,0",34,4 080,"120,4"
13 TLEMCEN,2 398,214 076,"89,3",976,71 120,"72,9",3 032,288 559,"95,2"
14 TIARET,500,29 400,"58,8",103,5 121,"49,8",200,12 000,"60,0"
15 TIZI-OUZOU,1 005,82 899,"82,5",305,27 818,"91,2",303,17 200,"56,8"
16 ALGER,681,75 630,"111,1",787,66 120,"84,0",188,12 600,"67,1"
17 DJELFA,40,2 700,"67,5",34,2 570,"75,6",9,700,"77,8"
18 JIJEL,427,50 700,"118,7",431,42 576,"98,7",171,15 715,"91,8"
19 SETIF,136,13 682,"101,0",299,24 119,"80,8",87,4 191,"48,5"
20 SAIDA,130,23 950,"184,2",106,13 850,"130,7",173,20 035,"115,8"
21 SKIKDA,2 077,331 707,"159,7",1 111,103 046,"92,8",2 036,107 129,"52,6"
22 S.B.ABBES,118,14 228,"120,6",20,1 952,"97,6",74,6 380,"86,2"
23 ANNABA,354,59 084,"166,9",295,10 315,"35,0",265,10 626,"40,1"
24 GUELMA,3 407,516 650,"151,6",157,11 235,"71,6",1 583,123 875,"78,3"
25 CONSTANTINE,1 615,105 760,"65,5",12,255,"22,2",668,29 760,"44,6"
26 MEDEA,1 142,93 080,"81,5",25,650,"26,0",1 179,51 265,"43,5"
27 MOSTAGANEM,1 195,76 895,"64,3",822,92 396,"112,5",1 406,106 740,"75,9"
28 M'SILA,500,40 000,"80,0",25,1 250,"50,0",0,0,0
29 MASCARA,1 839,88 500,"48,1",14,650,"46,4",6 987,276 100,"39,5"
30 OUARGLA,87,5 582,"64,2",3,150,"46,2",14,2 160,"157,1"
31 ORAN,842,40 195,"47,7",22,1 229,"57,0",1 231,39 694,"32,3"
32 EL-BAYADH,50,3 180,"63,6",43,2 515,"59,2",13,945,"75,6"
33 ILLIZI,18,1 770,"97,9",6,685,"110,0",4,333,"87,8"
34 B.B.ARRERIDJ,95,5 475,"57,6",39,2 554,"65,5",0,0,0
35 BOUMERDES,1 026,79 858,"77,8",603,45 669,"75,7",687,41 255,"60,1"
36 EL-TARF,841,54 555,"64,9",502,22 415,"44,7",851,25 535,"30,0"
37 TINDOUF,5,450,"90,0",4,501,"113,3",1,50,"50,0"
38 TISSEMSILT,254,14 285,"56,2",8,1 065,"133,1",94,3 819,"40,8"
39 EL-OUED,395,33 499,"84,9",57,5 328,"94,1",355,25 640,"72,2"
40 KHENCHELA,925,118 610,"128,3",900,72 000,"80,0",800,32 000,"40,0"
41 SOUK-AHRAS,250,6 250,"25,0",80,2 000,"25,0",130,3 640,"28,0"
42 TIPAZA,693,49 961,"72,1",1 344,98 400,"73,2",992,51 945,"52,4"
43 MILA,152,19 920,"131,1",12,415,"34,6",59,4 630,"78,5"
44 AIN-DEFLA,917,58 364,"63,6",122,10 621,"87,1",947,59 634,"63,0"
45 NAAMA,139,15 093,"108,6",58,4 403,"76,6",58,3 198,"55,1"
46 A.TEMOUCHENT,1 464,57 625,"39,4",941,59 294,"63,0",1 526,54 155,"35,5"
47 GHARDAIA,150,20 426,"136,2",2,200,"100,0",20,700,"35,0"
48 RELIZANE,1 623,46 675,"28,8",413,21 910,"53,1",7 281,181 958,"25,0"
TOTAL ALGERIE,32 645,3 086 891,"94,6",11 610,931 836,"80,3",35 897,1 862 025,"51,9"
