0,1,2,3,4,5
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,SERIE B 2017
"III)- OLIVIERS, OLIVES ET HUILES 1/2",,,,,
Oliviers cultivés (plantés ou greffés) et olivier en rapport,,,,,
,Superficie occupée,Oliviers en masse,Oliviers isolés,Total olivier,Oliviers en rapport
,,,,complanté,
WILAYA,(ha),(Nbre d'arbre,(Nbre d'arbre,(Nbre d'arbre,(Nbre) arbres
1 ADRAR,0,0,0,0,0
2 CHLEF,4 343,572 980,43 235,616 215,391 815
3 LAGHOUAT,2 342,511 510,25 695,537 205,216 400
4 O.E.BOUAGHI,2 024,265 095,570,265 665,96 093
5 BATNA,11 646,2 186 924,97 798,2 284 722,1 443 800
6 BEJAIA,56 369,4 663 743,524 414,5 188 157,4 345 862
7 BISKRA,4 329,977 930,125 723,1 103 653,658 140
8 BECHAR,1 345,291 267,89 043,380 310,73 417
9 BLIDA,1 347,198 142,137 457,335 599,287 360
10 BOUIRA,37 012,3 427 419,364 758,3 792 177,2 540 700
11 TAMANRASSET,0,0,0,0,0
12 TEBESSA,9 497,1 754 706,17 000,1 771 706,887 000
13 TLEMCEN,15 468,1 837 987,305 648,2 143 635,1 060 000
14 TIARET,8 450,1 372 443,47 346,1 419 789,407 694
15 TIZI-OUZOU,38 600,4 082 832,323 056,4 405 888,3 117 200
16 ALGER,109,28 735,21 486,50 221,31 009
17 DJELFA,11 797,2 722 570,64 800,2 787 370,1 822 800
18 JIJEL,15 398,1 361 480,387 526,1 749 006,1 296 552
19 SETIF,22 878,2 311 515,355 960,2 667 475,1 823 172
20 SAIDA,5 549,1 353 221,22 750,1 375 971,512 239
21 SKIKDA,11 001,1 152 485,384 807,1 537 292,1 274 684
22 S.B.ABBES,8 394,839 350,2 388,841 738,621 600
23 ANNABA,856,87 878,32 816,120 694,72 666
24 GUELMA,9 524,662 841,318 151,980 992,486 027
25 CONSTANTINE,1 108,146 458,53 633,200 091,127 561
26 MEDEA,8 688,926 745,108 762,1 035 507,267 883
27 MOSTAGANEM,5 512,978 302,140 674,1 118 976,111 050
28 M'SILA,10 361,1 914 450,75 000,1 989 450,1 396 700
29 MASCARA,14 971,1 770 000,150 100,1 920 100,1 386 400
30 OUARGLA,1 229,343 252,53 017,396 269,33 694
31 ORAN,7 383,1 369 660,108 813,1 478 473,1 041 440
32 EL-BAYADH,1 127,247 828,54 065,301 893,138 028
33 ILLIZI,135,18 399,300,18 699,470
34 B.B.ARRERIDJ,26 478,2 392 450,84 705,2 477 155,1 541 861
35 BOUMERDES,8 369,713 201,124 462,837 663,661 932
36 EL-TARF,5 064,510 383,76 600,586 983,217 305
37 TINDOUF,129,22 060,1 160,23 220,2 250
38 TISSEMSILT,8 359,1 112 363,2 000,1 114 363,267 700
39 EL-OUED,3 100,1 083 860,69 500,1 153 360,670 000
40 KHENCHELA,7 576,1 340 355,93 178,1 433 533,456 650
41 SOUK-AHRAS,8 121,1 392 864,60 070,1 452 934,672 000
42 TIPAZA,2 753,350 320,418 920,769 240,270 029
43 MILA,9 246,924 601,201 157,1 125 758,645 000
44 AIN-DEFLA,7 612,1 256 400,155 000,1 411 400,815 000
45 NAAMA,3 090,816 660,7 375,824 035,85 753
46 A.TEMOUCHENT,4 903,562 155,512 125,1 074 280,709 969
47 GHARDAIA,1 753,175 138,197 642,372 780,176 480
48 RELIZANE,7 617,1 106 140,391 859,1 497 999,956 440
TOTAL ALGERIE,432 959,54 137 097,6 832 544,60 969 641,36 117 825
