0,1,2,3,4,5,6,7,8,9,10
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,,SERIE B 2016
III-CEREALES D'HIVER (3/3),,,,,,,,,,
,,,TRITICALE,,,,,TOTAL CEREALES D'HIVER,,
WILAYA,Superficie,,Taux de,Prod.,Rdt,Superficie,,Taux de,Prod.,Rdt
,Emblavée,récoltée,Récolte,,,Emblavée,récoltée,Récolte,,
,(ha),(ha),%,(qx),(qx/ha),(ha),(ha),%,(qx),(qx/ha)
1 ADRAR,0,0,"0,0",0,"0,0",10 081,10 081,"100,0",315 249,"31,3"
2 CHLEF,0,0,"0,0",0,"0,0",82 636,48 018,"58,1",562 000,"11,7"
3 LAGHOUAT,0,0,"0,0",0,"0,0",10 000,9 101,"91,0",232 088,"25,5"
4 O.E.BOUAGHI,18,18,"0,0",185,"0,0",210 018,175 157,"83,4",2 096 910,"12,0"
5 BATNA,0,0,"0,0",0,"0,0",148 700,103 207,"69,4",1 319 854,"12,8"
6 BEJAIA,0,0,"0,0",0,"0,0",6 525,6 503,"99,7",119 800,"18,4"
7 BISKRA,0,0,"0,0",0,"0,0",27 282,25 542,"93,6",777 752,"30,4"
8 BECHAR,0,0,"0,0",0,"0,0",679,531,"78,1",18 425,"34,7"
9 BLIDA,0,0,"0,0",0,"0,0",8 145,7 875,"96,7",182 772,"23,2"
10 BOUIRA,0,0,"0,0",0,"0,0",70 565,67 336,"95,4",1 326 814,"19,7"
11 TAMANRASSET,0,0,"0,0",0,"0,0",742,742,"100,0",16 026,"21,6"
12 TEBESSA,0,0,"0,0",0,"0,0",190 000,40 000,"21,1",347 000,"8,7"
13 TLEMCEN,0,0,"0,0",0,"0,0",165 650,69 880,"42,2",600 000,"8,6"
14 TIARET,0,0,"0,0",0,"0,0",340 083,193 531,"56,9",2 741 600,"14,2"
15 TIZI-OUZOU,0,0,"0,0",0,"0,0",5 608,5 571,"99,3",113 760,"20,4"
16 ALGER,0,0,"0,0",0,"0,0",2 052,1 987,"96,8",46 230,"23,3"
17 DJELFA,0,0,"0,0",0,"0,0",90 224,9 874,"10,9",201 130,"20,4"
18 JIJEL,0,0,"0,0",0,"0,0",735,735,"100,0",15 532,"21,1"
19 SETIF,110,110,"0,0",1 320,"12,0",191 560,191 372,"99,9",3 196 620,"16,7"
20 SAIDA,0,0,"0,0",0,"0,0",106 330,75 858,"71,3",699 542,"9,2"
21 SKIKDA,0,0,"0,0",0,"0,0",36 300,36 022,"99,2",705 653,"19,6"
22 S.B.ABBES,0,0,"0,0",0,"0,0",176 300,130 492,"74,0",945 100,"7,2"
23 ANNABA,0,0,"0,0",0,"0,0",14 296,14 225,"99,5",359 900,"25,3"
24 GUELMA,0,0,"0,0",0,"0,0",84 515,84 291,"99,7",2 180 800,"25,9"
25 CONSTANTINE,0,0,"0,0",0,"0,0",69 903,68 520,"98,0",1 802 000,"26,3"
26 MEDEA,0,0,"0,0",0,"0,0",109 190,71 055,"65,1",932 133,"13,1"
27 MOSTAGANEM,0,0,"0,0",0,"0,0",47 925,34 169,"71,3",490 485,"14,4"
28 M'SILA,0,0,"0,0",0,"0,0",75 500,15 580,"20,6",325 200,"20,9"
29 MASCARA,0,0,"0,0",0,"0,0",140 000,89 993,"64,3",906 900,"10,1"
30 OUARGLA,0,0,"0,0",0,"0,0",1 050,900,"85,7",28 850,"32,1"
31 ORAN,0,0,"0,0",0,"0,0",54 600,13 490,"24,7",91 282,"6,8"
32 EL-BAYADH,0,0,"0,0",0,"0,0",8 747,842,"9,6",20 817,"24,7"
33 ILLIZI,0,0,"0,0",0,"0,0",46,45,"97,4",1 285,"28,6"
34 B.B.ARRERIDJ,0,0,"0,0",0,"0,0",87 700,86 916,"99,1",978 087,"11,3"
35 BOUMERDES,0,0,"0,0",0,"0,0",6 004,5 533,"92,1",138 050,"25,0"
36 EL-TARF,0,0,"0,0",0,"0,0",20 300,20 150,"99,3",498 360,"24,7"
37 TINDOUF,0,0,"0,0",0,"0,0",0,0,"0,0",0,"0,0"
38 TISSEMSILT,0,0,"0,0",0,"0,0",75 152,35 323,"47,0",303 404,"8,6"
39 EL-OUED,0,0,"0,0",0,"0,0",12 000,11 200,"93,3",528 800,"47,2"
40 KHENCHELA,0,0,"0,0",0,"0,0",100 850,59 000,"58,5",885 000,"15,0"
41 SOUK-AHRAS,0,0,"0,0",0,"0,0",132 675,130 596,"98,4",2 115 056,"16,2"
42 TIPAZA,0,0,"0,0",0,"0,0",17 560,17 003,"96,8",435 211,"25,6"
43 MILA,0,0,"0,0",0,"0,0",108 542,103 664,"95,5",2 688 088,"25,9"
44 AIN-DEFLA,0,0,"0,0",0,"0,0",70 649,63 741,"90,2",1 309 520,"20,5"
45 NAAMA,0,0,"0,0",0,"0,0",1 674,643,"38,4",9 951,"15,5"
46 A.TEMOUCHENT,0,0,"0,0",0,"0,0",111 689,37 158,"33,3",350 000,"9,4"
47 GHARDAIA,0,0,"0,0",0,"0,0",3 134,3 134,"100,0",132 812,"42,4"
48 RELIZANE,0,0,"0,0",0,"0,0",141 331,33 069,"23,4",230 895,"7,0"
TOTAL ALGERIE,128,128,"0,0",1 505,"12,0",3 375 109,2 209 625,"65,5",34 322 742,"15,5"
