0,1,2,3,4,5,6,7,8,9,10
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,,,SERIE B 2017
I-,SUPERFICIES DES TERRES UTILISEES PAR L'AGRICULTURE (2/2),,,,,,,,,
Wilaya,Plantations,,TOTAL   S. A. U,,Pacages  &,,Terres,,TOTAL  S.A.T,
,arbres fruit,,,,parcours,,improductives,,,
,ha,%,ha,%,ha,%,ha,%,ha,%
1 ADRAR,28 327,"7,4",44 418,"11,6",59 294,"15,5",279 902,"73,0",383 614,"0,9"
2 CHLEF,14 279,"5,4",203 825,"77,5",24 814,"9,4",34 467,"13,1",263 106,"0,6"
3 LAGHOUAT,6 580,"0,4",77 732,"4,3",1 715 602,"95,7",0,"0,0",1 793 334,"4,1"
4 O.E.BOUAGHI,3 051,"0,6",360 885,"70,0",122 272,"23,7",32 325,"6,3",515 482,"1,2"
5 BATNA,22 464,"3,0",422 677,"56,8",237 600,"31,9",83 749,"11,3",744 026,"1,7"
6 BEJAIA,72 458,"44,0",130 916,"79,4",30 290,"18,4",3 587,"2,2",164 793,"0,4"
7 BISKRA,51 164,"3,1",184 900,"11,2",1 399 050,"84,7",67 404,"4,1",1 651 354,"3,8"
8 BECHAR,14 638,"1,0",34 927,"2,5",1 319 237,"92,6",69 834,"4,9",1 423 998,"3,3"
9 BLIDA,29 112,"44,0",55 625,"84,1",8 860,"13,4",1 660,"2,5",66 145,"0,2"
10 BOUIRA,43 438,"14,8",189 957,"64,7",73 924,"25,2",29 660,"10,1",293 541,"0,7"
11 TAMANRASSET,7 181,"0,8",15 681,"1,8",816 100,"92,6",49 602,"5,6",881 383,"2,0"
12 TEBESSA,13 021,"1,6",311 965,"38,1",434 088,"53,1",72 094,"8,8",818 147,"1,9"
13 TLEMCEN,38 109,"7,1",350 335,"65,2",153 964,"28,7",33 025,"6,1",537 324,"1,2"
14 TIARET,24 700,"2,2",707 622,"62,7",420 329,"37,3",0,"0,0",1 127 951,"2,6"
15 TIZI-OUZOU,48 171,"33,0",98 842,"67,7",25 370,"17,4",21 859,"15,0",146 071,"0,3"
16 ALGER,10 510,"32,3",28 877,"88,8",1 471,"4,5",2 185,"6,7",32 533,"0,1"
17 DJELFA,18 578,"0,7",378 665,"15,1",2 122 428,"84,9",0,"0,0",2 501 093,"5,7"
18 JIJEL,18 596,"18,9",44 418,"45,2",39 365,"40,0",14 511,"14,8",98 294,"0,2"
19 SETIF,36 233,"7,9",364 870,"79,3",53 894,"11,7",41 084,"8,9",459 848,"1,1"
20 SAIDA,7 742,"1,5",308 205,"60,3",159 664,"31,2",43 479,"8,5",511 348,"1,2"
21 SKIKDA,20 935,"10,8",131 879,"68,3",42 977,"22,2",18 323,"9,5",193 179,"0,4"
22 S.B.ABBES,16 335,"4,2",363 191,"94,0",3 723,"1,0",19 636,"5,1",386 550,"0,9"
23 ANNABA,2 388,"4,1",47 419,"82,1",7 585,"13,1",2 786,"4,8",57 790,"0,1"
24 GUELMA,12 819,"4,8",187 338,"70,8",50 875,"19,2",26 405,"10,0",264 618,"0,6"
25 CONSTANTINE,2 464,"1,4",125 010,"71,1",50 935,"28,9",0,"0,0",175 945,"0,4"
26 MEDEA,26 107,"3,6",337 889,"46,0",292 649,"39,8",104 154,"14,2",734 692,"1,7"
27 MOSTAGANEM,18 928,"13,3",130 158,"91,2",5 110,"3,6",7 400,"5,2",142 668,"0,3"
28 M'SILA,21 909,"1,7",277 592,"21,2",1 029 564,"78,8",0,"0,0",1 307 156,"3,0"
29 MASCARA,23 594,"5,4",312 872,"72,1",104 292,"24,0",17 054,"3,9",434 218,"1,0"
30 OUARGLA,23 417,"0,4",50 405,"0,8",4 750 000,"83,5",891 234,"15,7",5 691 639,"13,0"
31 ORAN,10 441,"10,9",87 064,"91,3",1 823,"1,9",6 507,"6,8",95 394,"0,2"
32 EL-BAYADH,2 871,"0,0",76 972,"1,3",5 688 225,"98,7",550,"0,0",5 765 747,"13,2"
33 ILLIZI,1 627,"14,6",2 287,"20,5",0,"0,0",8 878,"79,5",11 164,"0,0"
34 B.B.ARRERIDJ,33 114,"13,5",186 600,"75,9",48 598,"19,8",10 556,"4,3",245 754,"0,6"
35 BOUMERDES,13 361,"13,6",64 600,"65,6",16 556,"16,8",17 299,"17,6",98 454,"0,2"
36 EL-TARF,9 490,"11,3",74 173,"88,3",8 518,"10,1",1 340,"1,6",84 031,"0,2"
37 TINDOUF,578,"0,0",855,"0,0",6 000 000,"100,0",1 628,"0,0",6 002 483,"13,7"
38 TISSEMSILT,18 313,"9,7",145 456,"76,7",22 297,"11,8",21 996,"11,6",189 749,"0,4"
39 EL-OUED,40 602,"2,3",92 140,"5,2",1 410 000,"80,1",258 900,"14,7",1 761 040,"4,0"
40 KHENCHELA,21 691,"2,8",248 221,"32,0",448 635,"57,9",77 799,"10,0",774 655,"1,8"
41 SOUK-AHRAS,11 208,"4,7",215 749,"90,8",14 768,"6,2",7 143,"3,0",237 660,"0,5"
42 TIPAZA,14 545,"20,8",61 825,"88,3",8 157,"11,7",0,"0,0",69 982,"0,2"
43 MILA,11 543,"4,2",237 558,"86,1",21 956,"8,0",16 444,"6,0",275 958,"0,6"
44 AIN-DEFLA,21 393,"9,1",181 641,"77,1",38 077,"16,2",15 857,"6,7",235 576,"0,5"
45 NAAMA,7 010,"0,3",28 283,"1,3",2 175 117,"98,7",60,"0,0",2 203 460,"5,0"
46 A.TEMOUCHENT,11 118,"5,5",180 994,"88,9",7 974,"3,9",14 616,"7,2",203 584,"0,5"
47 GHARDAIA,12 311,"0,9",42 290,"3,1",1 326 584,"96,9",172,"0,0",1 369 046,"3,1"
48 RELIZANE,16 522,"5,7",275 510,"94,7",6 062,"2,1",9 450,"3,2",291 022,"0,7"
TOTAL ALGERIE,934 984,"2,1",8 478 925,"19,4",32 798 673,"75,0",2 436 614,"5,6",43 714 212,100
,Total Oliviers 433 290 Ha dont 3 278 Ha sous palmiers dattiers,,,,,,,,,
,Total Agrumes 68 678 Ha dont 1 073 Ha sous palmiers dattiers,,,,,,,,,
,Total Figuiers 41 044 Ha dont 477 Ha sous palmiers dattiers,,,,,,,,,
,Total Noyaux pépins 231 917 Ha dont 2 802 Ha sous palmiers dattiers,,,,,,,,,
,Total Plantatios Fruitières 942 597 Ha dont  7 589 Ha sous palmiers dattiers,,,,,,,,,
Total Viticulture  69 642 Ha dont  399 Ha sous palmiers dattiers,,,,,,,,,,
