0,1,2,3,4,5,6,7,8,9,10,11,12
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,,SERIE B 2019
XII-VIGNES A VIN ET A RAISIN DE TABLE (2/2),,,,,,,,,,,,
,,,VIGNES A RAISIN DE SECHAGE,,,,,,PLANTS Pied-,,TOTAL Superficie,Production totale
WILAYA,Sup.,,Sup. en rapport,,Production,,Rdt,,mère,,,
,totale,,,,,,,,,,,
,(ha),,(ha),,(qx),,qx/ha,,(ha),,(ha),(qx)
1 ADRAR,,0,,0,,0,,0,,0,0,0
2 CHLEF,,0,,0,,0,,0,,0,1 063,38 760
3 LAGHOUAT,,0,,0,,0,,0,,0,373,10 444
4 O.E.BOUAGHI,,0,,0,,0,,0,,0,2,400
5 BATNA,,0,,0,,0,,0,,0,91,7 257
6 BEJAIA,,0,,0,,0,,0,,0,410,22 043
7 BISKRA,,0,,0,,0,,0,,0,289,25 957
8 BECHAR,,0,,0,,0,,0,,0,127,5 080
9 BLIDA,,0,,0,,0,,0,,53,1 170,120 396
10 BOUIRA,,0,,0,,0,,0,,0,76,1 382
11 TAMANRASSET,,0,,0,,0,,0,,0,137,7 440
12 TEBESSA,,0,,0,,0,,0,,0,0,0
13 TLEMCEN,,0,,0,,0,,0,,0,2 346,235 672
14 TIARET,,0,,0,,0,,0,,0,563,26 000
15 TIZI-OUZOU,,0,,0,,0,,0,,0,1 293,224 833
16 ALGER,,0,,0,,0,,0,,0,2 409,300 020
17 DJELFA,,0,,0,,0,,0,,0,43,7 070
18 JIJEL,,0,,0,,0,,0,,0,49,2 789
19 SETIF,,0,,0,,0,,0,,0,26,81
20 SAIDA,,0,,0,,0,,0,,0,57,2 465
21 SKIKDA,,0,,0,,0,,0,,9,1 179,125 750
22 S.B.ABBES,,0,,0,,0,,0,,0,3 159,62 017
23 ANNABA,,0,,0,,0,,0,,0,88,4 155
24 GUELMA,,0,,0,,0,,0,,0,39,865
25 CONSTANTINE,,0,,0,,0,,0,,0,19,1 302
26 MEDEA,,0,,0,,0,,0,,0,3 118,181 183
27 MOSTAGANEM,,0,,0,,0,,0,,0,10 879,247 953
28 M'SILA,,0,,0,,0,,0,,0,35,0
29 MASCARA,,0,,0,,0,,0,,0,4 756,169 800
30 OUARGLA,,0,,0,,0,,0,,0,63,1 866
31 ORAN,,0,,0,,0,,0,,0,613,43 500
32 EL-BAYADH,,0,,0,,0,,0,,0,25,2 430
33 ILLIZI,,0,,0,,0,,0,,0,27,1 644
34 B.B.ARRERIDJ,,0,,0,,0,,0,,0,15,1 280
35 BOUMERDES,,0,,0,,0,,0,,0,15 652,2 566 914
36 EL-TARF,,0,,0,,0,,0,,0,700,81 390
37 TINDOUF,,0,,0,,0,,0,,0,5,0
38 TISSEMSILT,,0,,0,,0,,0,,0,249,10 180
39 EL-OUED,,0,,0,,0,,0,,0,223,9 240
40 KHENCHELA,,0,,0,,0,,0,,0,35,1 660
41 SOUK-AHRAS,,0,,0,,0,,0,,0,0,0
42 TIPAZA,,0,,0,,0,,0,,0,2 643,326 239
43 MILA,,0,,0,,0,,0,,0,16,255
44 AIN-DEFLA,,0,,0,,0,,0,,0,478,24 807
45 NAAMA,,0,,0,,0,,0,,0,63,3 912
46 A.TEMOUCHENT,,0,,0,,0,,0,,0,12 671,454 060
47 GHARDAIA,,0,,0,,0,,0,,0,439,43 350
48 RELIZANE,,0,,0,,0,,0,,0,939,94 490
TOTAL ALGERIE,,0,,0,,0,,0,,62,68 649,5 498 329
