0,1,2,3,4,5
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,SERIE B 2018
XIII-FIGUIERS (1/2),,,,,
,EN MASSE,,ISOLES,TOTAL,FIGUIERS
WILAYA,Superficie (ha),Nombre,Nombre,Nombre,EN RAPPORT
1 ADRAR,0,0,0,0,0
2 CHLEF,1 149,216 913,32 855,249 768,230 555
3 LAGHOUAT,117,0,0,0,0
4 O.E.BOUAGHI,42,3 880,370,4 250,3 605
5 BATNA,103,16 885,35 635,52 520,51 305
6 BEJAIA,9 547,633 901,94 894,728 795,711 700
7 BISKRA,548,120 500,237 176,357 676,320 320
8 BECHAR,58,13 238,6 168,19 406,0
9 BLIDA,659,76 362,12 016,88 378,80 646
10 BOUIRA,1 843,208 880,41 651,250 531,231 691
11 TAMANRASSET,44,4 350,0,4 350,3 525
12 TEBESSA,223,15 700,13 300,29 000,26 391
13 TLEMCEN,363,36 300,7 250,43 550,28 400
14 TIARET,561,112 980,11 077,124 057,99 919
15 TIZI-OUZOU,5 847,745 543,78 235,823 778,736 061
16 ALGER,79,11 050,545,11 595,7 030
17 DJELFA,216,54 000,0,54 000,53 750
18 JIJEL,165,23 344,45 816,69 160,64 519
19 SETIF,5 044,469 409,127 991,597 400,534 723
20 SAIDA,114,16 500,1 045,17 545,16 200
21 SKIKDA,533,46 813,28 468,75 281,57 645
22 S.B.ABBES,259,29 363,1 860,31 223,25 501
23 ANNABA,49,6 090,25 370,31 460,26 370
24 GUELMA,198,15 270,19 700,34 970,28 850
25 CONSTANTINE,23,4 903,970,5 873,4 723
26 MEDEA,1 197,134 906,14 420,149 326,131 731
27 MOSTAGANEM,1 270,214 368,0,214 368,189 504
28 M'SILA,450,45 000,10 000,55 000,42 000
29 MASCARA,471,41 300,13 300,54 600,47 400
30 OUARGLA,1,140,19 076,19 216,11 810
31 ORAN,345,46 190,3 883,50 073,42 663
32 EL-BAYADH,77,9 259,18 285,27 544,25 104
33 ILLIZI,21,1 100,1 000,2 100,1 300
34 B.B.ARRERIDJ,1 577,112 890,28 750,141 640,141 620
35 BOUMERDES,987,52 473,45 393,97 866,81 683
36 EL-TARF,124,10 126,5 450,15 576,11 184
37 TINDOUF,10,1300,0,1 300,0
38 TISSEMSILT,1 624,191 150,3 301,194 451,85 670
39 EL-OUED,0,0,4 950,4 950,4 800
40 KHENCHELA,500,99 900,3 500,103 400,95 600
41 SOUK-AHRAS,305,37 540,5 850,43 390,39 635
42 TIPAZA,570,60 046,21 702,81 748,74 342
43 MILA,215,21 800,6 525,28 325,28 325
44 AIN-DEFLA,352,26 739,32 120,58 859,55 499
45 NAAMA,104,21 492,1 128,22 620,20 293
46 A.TEMOUCHENT,610,86 950,32 000,118 950,116 572
47 GHARDAIA,224,0,94 600,94 600,77 000
48 RELIZANE,542,47 794,29 675,77 469,70 729
TOTAL ALGERIE,39 356,4 144 637,1 217 300,5 361 937,4 737 893
