0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII- ENSEMBLE DES CULTURES MARAÎCHERES (4/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,COURGETTES,,,AUBERGINES,,,ARTICHAUTS,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(QX),qx/ha
1 ADRAR,128,13 189,"103,1",91,11 329,"125,1",0,0,0
2 CHLEF,261,89 040,"340,6",7,3 250,"500,0",550,247 500,"450,0"
3 LAGHOUAT,423,161 500,"381,8",761,244 158,"320,8",0,0,0
4 O.E.BOUAGHI,124,35 070,"282,3",0,0,0,0,0,0
5 BATNA,332,53 175,"160,2",98,18 160,"185,3",0,0,0
6 BEJAIA,186,26 306,"141,8",18,3 048,"172,3",4,590,"147,5"
7 BISKRA,961,623 910,"649,2",822,396 900,"482,8",0,0,0
8 BECHAR,80,10 165,"127,6",87,10 380,"119,9",0,0,0
9 BLIDA,157,38 008,"242,1",146,56 806,"390,4",457,88 131,"193,1"
10 BOUIRA,123,9 860,"80,2",15,1 050,"70,0",2,70,"35,0"
11 TAMANRASSET,46,6 916,"149,0",38,5 516,"146,1",0,0,0
12 TEBESSA,91,11 479,"126,1",10,800,"80,0",0,0,0
13 TLEMCEN,393,83 472,"212,4",70,9 450,"135,0",0,0,0
14 TIARET,321,68 149,"212,6",112,7 440,"66,4",4,400,"100,0"
15 TIZI-OUZOU,212,45 892,"216,2",6,1 200,"200,0",15,2 250,"150,0"
16 ALGER,910,246 055,"270,4",455,135 590,"298,2",45,8 220,"182,7"
17 DJELFA,134,14 700,"109,7",77,6 900,"89,6",0,0,0
18 JIJEL,414,107 601,"259,9",124,33 192,"267,9",19,1 860,"97,9"
19 SETIF,229,39 849,"174,2",32,4 780,"149,4",0,0,0
20 SAIDA,52,18 440,"354,6",44,14 000,"318,2",0,0,0
21 SKIKDA,1 233,254 803,"206,6",64,12 251,"191,4",36,4 675,"129,9"
22 S.B.ABBES,70,8 388,"119,8",33,7 534,"228,3",16,2 750,"171,9"
23 ANNABA,351,43 519,"124,2",277,37 284,"134,6",277,36 359,"131,3"
24 GUELMA,125,27 995,"224,0",1,130,"130,0",0,0,0
25 CONSTANTINE,46,10 720,"233,0",10,1 370,"137,0",0,0,0
26 MEDEA,336,32 250,"96,1",47,5 640,"120,0",0,0,0
27 MOSTAGANEM,1 093,660 630,"604,3",664,366 040,"551,1",412,81 870,"198,7"
28 M'SILA,665,152 020,"228,8",81,20 300,"252,2",0,0,0
29 MASCARA,221,48 600,"219,9",101,22 800,"225,7",5,1 100,"220,0"
30 OUARGLA,64,14 727,"229,4",103,29 510,"287,9",0,0,0
31 ORAN,90,12 936,"144,2",32,5 290,"167,9",55,8 510,"154,7"
32 EL-BAYADH,51,11 290,"221,4",33,9 085,"279,5",0,0,0
33 ILLIZI,11,1 189,"110,0",5,570,"109,7",0,0,0
34 B.B.ARRERIDJ,65,6 810,"104,8",0,0,0,0,0,0
35 BOUMERDES,670,155 405,"231,9",404,73 941,"183,0",27,6 360,"235,6"
36 EL-TARF,343,39 725,"116,0",45,6 840,"152,0",46,7 800,"171,4"
37 TINDOUF,4,1 600,"444,4",1,250,"250,0",0,0,0
38 TISSEMSILT,4,203,"50,8",0,0,0,0,0,0
39 EL-OUED,148,52 070,"351,0",171,42 776,"250,0",0,0,0
40 KHENCHELA,79,9 157,"115,9",10,6 000,"600,0",0,0,0
41 SOUK-AHRAS,120,5 771,"48,1",110,3 500,"31,8",4,970,"242,5"
42 TIPAZA,883,280 615,"317,7",242,81 179,"334,8",252,78 206,"310,3"
43 MILA,384,129 850,"338,2",17,6 371,"371,3",8,960,"120,0"
44 AIN-DEFLA,325,123 345,"379,8",49,28 741,"586,6",60,14 560,"242,7"
45 NAAMA,84,12 824,"153,0",80,8 051,"101,3",0,0,0
46 A.TEMOUCHENT,225,53 200,"236,0",99,23 610,"238,9",2,500,"333,3"
47 GHARDAIA,110,10 500,"95,5",200,42 000,"210,0",10,1 000,"100,0"
48 RELIZANE,153,25 835,"169,4",90,11 170,"124,1",3 479,651 950,"187,4"
TOTAL ALGERIE,13 528,3 888 751,"287,5",5 978,1 816 181,"303,8",5 784,1 246 591,"215,5"
