0,1,2,3,4,5,6
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,SERIE B 2017
XIII-FIGUIERS (2/2),,,,,,
,Productions,Productions,Productions,Rendement,Productions de,
WILAYA,Consommées,Soumises,Totales,,Figues sèches,
,fraiches (qx),au séchage (qx),(qx),(kg/arbre),(qx),
1 ADRAR,0,0,0,0,,0
2 CHLEF,19 844,1 766,21 610,"19,4",,433
3 LAGHOUAT,5 520,0,5 520,0,,0
4 O.E.BOUAGHI,501,0,501,"10,8",,0
5 BATNA,19 399,515,19 914,"39,4",,1 541
6 BEJAIA,91 000,74 100,165 100,"17,3",,34 100
7 BISKRA,47 175,0,47 175,"11,8",,2 260
8 BECHAR,0,0,0,0,,0
9 BLIDA,79 164,336,79 500,"79,0",,112
10 BOUIRA,28 832,6 997,35 829,"14,9",,2 722
11 TAMANRASSET,208,135,343,"15,2",,25
12 TEBESSA,3 640,0,3 640,"13,8",,0
13 TLEMCEN,7 842,1 123,8 965,"39,7",,2 335
14 TIARET,19 670,0,19 670,"17,8",,0
15 TIZI-OUZOU,186 909,43 741,230 650,"30,5",,16 493
16 ALGER,3 060,,3 060,"45,6",,
17 DJELFA,14 680,0,14 680,"27,2",,0
18 JIJEL,28 920,0,28 920,"30,6",,0
19 SETIF,85 984,44 468,130 452,"21,0",,17 299
20 SAIDA,7 882,0,7 882,"49,0",,0
21 SKIKDA,22 870,0,22 870,"40,6",,0
22 S.B.ABBES,7 640,0,7 640,"30,0",,0
23 ANNABA,7 385,0,7 385,"34,2",,0
24 GUELMA,13 153,0,13 153,"51,3",,0
25 CONSTANTINE,2 466,0,2 466,"40,8",,0
26 MEDEA,37 265,0,37 265,"26,7",,0
27 MOSTAGANEM,56 558,0,56 558,"29,5",,0
28 M'SILA,14 100,0,14 100,"30,0",,0
29 MASCARA,16 820,180,17 000,"3 872,4",,100
30 OUARGLA,1 387,0,1 387,"12,2",,0
31 ORAN,8 232,0,8 232,"19,8",,0
32 EL-BAYADH,7 040,47,7 087,"28,4",,23
33 ILLIZI,76,0,76,"5,8",,0
34 B.B.ARRERIDJ,16 337,3 802,20 139,"10,7",,787
35 BOUMERDES,43 071,4 306,47 377,"47,8",,4 301
36 EL-TARF,6 430,0,6 430,"59,7",,0
37 TINDOUF,0,0,0,"0,0",,0
38 TISSEMSILT,25 242,2 858,28 100,"33,3",,873
39 EL-OUED,810,0,810,"20,0",,0
40 KHENCHELA,30 456,2 079,32 535,"24,8",,1 296
41 SOUK-AHRAS,10 305,0,10 305,"30,0",,15
42 TIPAZA,28 500,1 770,30 270,"39,9",,270
43 MILA,13 268,0,13 268,"47,4",,0
44 AIN-DEFLA,19 687,917,20 603,"30,6",,633
45 NAAMA,2 395,0,2 395,"18,6",,0
46 A.TEMOUCHENT,15 810,0,15 810,"13,6",,0
47 GHARDAIA,10 988,0,10 988,"14,8",,0
48 RELIZANE,29 007,175,29 182,"45,4",,462
TOTAL ALGERIE,1 097 527,189 314,1 286 841,"24,9",,86 080
