0,1,2,3,4,5,6,7,8,9
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,SERIE B 2017
IX-FOURRAGES NATURELS,,,,,,,,,
,,PRAIRIES NATURELLES,,,JACHERES FAUCHEES,,,TOTAL,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0
2 CHLEF,1 045,21 210,"20,3",940,19 575,"20,8",1 985,40 785,"20,5"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,670,6 660,"9,9",80,500,"6,3",750,7 160,"9,5"
5 BATNA,1 714,16 692,"9,7",21 444,286 073,"13,3",23 158,302 765,"13,1"
6 BEJAIA,1 392,28 056,"20,2",11 731,220 758,"18,8",13 123,248 814,"19,0"
7 BISKRA,0,0,0,0,0,0,0,0,0
8 BECHAR,0,0,0,0,0,0,0,0,0
9 BLIDA,3 599,370 220,"102,9",2 457,190 495,"77,5",6 056,560 715,"92,6"
10 BOUIRA,178,3 975,"22,3",420,6 530,"15,5",598,10 505,"17,6"
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,120,0,"0,0",0,0,0,120,0,"0,0"
13 TLEMCEN,0,0,0,1 150,26 010,"22,6",1 150,26 010,"22,6"
14 TIARET,50,761,"15,2",0,0,0,50,761,"15,2"
15 TIZI-OUZOU,1 257,32 336,"25,7",14 926,290 313,"19,5",16 183,322 649,"19,9"
16 ALGER,0,0,0,0,0,0,0,0,0
17 DJELFA,0,0,0,0,0,0,0,0,0
18 JIJEL,4 585,107 562,"23,5",6 821,155 396,"22,8",11 406,262 958,"23,1"
19 SETIF,1 958,28 756,"14,7",6 439,74 317,"11,5",8 397,103 073,"12,3"
20 SAIDA,0,0,0,0,0,0,0,0,0
21 SKIKDA,484,11 965,"24,7",10 488,432 835,"41,3",10 972,444 800,"40,5"
22 S.B.ABBES,0,0,0,0,0,0,0,0,0
23 ANNABA,2 223,90 824,"40,9",4 720,235 446,"49,9",6 942,326 270,"47,0"
24 GUELMA,306,12 521,"40,9",15 724,668 209,"42,5",16 030,680 730,"42,5"
25 CONSTANTINE,0,0,0,950,18 800,"19,8",950,18 800,"19,8"
26 MEDEA,11 259,14 618,"1,3",9 386,602 379,"64,2",20 645,616 997,"29,9"
27 MOSTAGANEM,0,0,0,0,0,0,0,0,0
28 M'SILA,0,0,0,0,0,0,0,0,0
29 MASCARA,0,0,0,7 540,89 000,"11,8",7 540,89 000,"11,8"
30 OUARGLA,0,0,0,0,0,0,0,0,0
31 ORAN,0,0,0,0,0,0,0,0,0
32 EL-BAYADH,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,150,2 220,"14,8",13 236,46 781,"3,5",13 386,49 001,"3,7"
35 BOUMERDES,0,0,0,2 700,70 200,"26,0",2 700,70 200,"26,0"
36 EL-TARF,5 000,152 700,"30,5",8 349,375 700,"45,0",13 349,528 400,"39,6"
37 TINDOUF,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,0,0,0,7 762,81 620,"10,5",7 762,81 620,"10,5"
39 EL-OUED,0,0,0,0,0,0,0,0,0
40 KHENCHELA,50,1 000,"20,0",130,720,"5,5",180,1 720,"9,6"
41 SOUK-AHRAS,7 748,53 899,"7,0",9 567,152 042,"15,9",17 315,205 941,"11,9"
42 TIPAZA,0,0,0,2 695,40 000,"14,8",2 695,40 000,"14,8"
43 MILA,832,22 180,"26,7",9 825,301 735,"30,7",10 657,323 915,"30,4"
44 AIN-DEFLA,578,25 383,"44,0",3 800,89 780,"23,6",4 378,115 163,"26,3"
45 NAAMA,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,0,0,0,258,9 450,"36,6",258,9 450,"36,6"
47 GHARDAIA,0,0,0,0,0,0,0,0,0
48 RELIZANE,2 360,34 335,"14,5",5 160,167 760,"32,5",7 520,202 095,"26,9"
TOTAL ALGERIE,47 556,1 037 873,"21,8",178 697,4 652 423,"26,0",226 254,5 690 296,"25,2"
