0,1,2,3,4,5,6,7
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,SERIE B 2016
XII-VIGNES A VIN ET A RAISIN DE TABLE (2/2),,,,,,,
,,VIGNES A RAISIN DE SECHAGE,,,PLANTS,TOTAL,TOTAL
WILAYA,Sup.  totale,Sup. en rapport,Production,Rdt,Pied-mère,Superficie,Production
,(ha),(ha),(qx),qx/ha,(ha),(ha),(qx)
1 ADRAR,0,0,0,0,0,0,0
2 CHLEF,0,0,0,0,25,1 269,35 467
3 LAGHOUAT,0,0,0,0,0,404,10 640
4 O.E.BOUAGHI,0,0,0,0,0,3,90
5 BATNA,0,0,0,0,0,97,9 250
6 BEJAIA,0,0,0,0,0,461,26 120
7 BISKRA,0,0,0,0,0,197,18 330
8 BECHAR,0,0,0,0,0,141,4 700
9 BLIDA,0,0,0,0,141,1 216,101 340
10 BOUIRA,0,0,0,0,0,79,2 597
11 TAMANRASSET,0,0,0,0,0,119,7 963
12 TEBESSA,0,0,0,0,0,0,0
13 TLEMCEN,0,0,0,0,0,2 449,237 456
14 TIARET,0,0,0,0,0,1 028,32 000
15 TIZI-OUZOU,0,0,0,0,0,1 234,228 950
16 ALGER,0,0,0,0,3,2 251,302 045
17 DJELFA,0,0,0,0,0,43,6 400
18 JIJEL,0,0,0,0,0,45,1 337
19 SETIF,0,0,0,0,0,25,110
20 SAIDA,0,0,0,0,0,57,3 185
21 SKIKDA,0,0,0,0,9,1 198,171 760
22 S.B.ABBES,0,0,0,0,0,4 037,123 250
23 ANNABA,0,0,0,0,0,89,6 530
24 GUELMA,0,0,0,0,0,50,1 910
25 CONSTANTINE,2,0,0,0,0,24,1 363
26 MEDEA,0,0,0,0,0,4 477,254 200
27 MOSTAGANEM,0,0,0,0,0,10 696,374 154
28 M'SILA,0,0,0,0,0,0,0
29 MASCARA,31,31,500,"16,4",0,6 703,330 925
30 OUARGLA,0,0,0,0,0,47,1 113
31 ORAN,0,0,0,0,0,747,31 463
32 EL-BAYADH,0,0,0,0,0,25,1 615
33 ILLIZI,0,0,0,0,0,27,1 639
34 B.B.ARRERIDJ,0,0,0,0,0,29,1 360
35 BOUMERDES,0,0,0,0,0,10 948,2 348 255
36 EL-TARF,0,0,0,0,7,838,67 290
37 TINDOUF,0,0,0,0,0,5,0
38 TISSEMSILT,0,0,0,0,0,247,10 628
39 EL-OUED,0,0,0,0,0,220,8 600
40 KHENCHELA,0,0,0,0,0,40,1 996
41 SOUK-AHRAS,0,0,0,0,0,0,0
42 TIPAZA,0,0,0,0,0,2 693,305 100
43 MILA,0,0,0,0,0,10,120
44 AIN-DEFLA,0,0,0,0,0,729,36 700
45 NAAMA,0,0,0,0,0,318,7 040
46 A.TEMOUCHENT,0,0,0,0,,12 656,448 910
47 GHARDAIA,0,0,0,0,0,347,39 440
48 RELIZANE,0,0,0,0,0,2 188,110 175
TOTAL ALGERIE,32,31,500,"16,4",185,70 502,5 713 515
