0,1,2,3,4,5,6,7,8,9,10,11,12
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,SERIE B 2019,
VI-LEGUMES SECS (2/2),,Pois chiches,,,Haricots secs,,,Gesses et guerfalas,,,TOTAL,
WILAYA,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup,Prod,Rdt,Sup.,Prod,Rdt
,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0,138,874,"6,3"
2 CHLEF,2 000,22 000,"11,0",0,0,0,0,0,0,9 422,113 291,"12,0"
3 LAGHOUAT,0,0,0,0,0,0,0,0,0,0,0,0
4 O.E.BOUAGHI,122,670,"5,5",0,0,0,0,0,0,832,5 179,"6,2"
5 BATNA,8,5,"0,6",0,0,0,0,0,0,106,735,"6,9"
6 BEJAIA,34,256,"7,5",0,0,0,0,0,0,502,8 140,"16,2"
7 BISKRA,0,0,0,0,0,0,,,0,0,0,0
8 BECHAR,0,0,0,0,0,0,0,0,0,0,0,0
9 BLIDA,5,85,"18,9",0,0,0,0,0,0,5,85,"18,9"
10 BOUIRA,373,4 122,"11,1",0,0,0,0,0,0,1 288,13 832,"10,7"
11 TAMANRASSET,0,0,0,0,0,0,,,0,0,0,0
12 TEBESSA,40,400,"10,0",0,0,0,0,0,0,170,1 310,"7,7"
13 TLEMCEN,5 800,75 400,"13,0",900,9 900,"11,0",,,0,18 160,257 000,"14,2"
14 TIARET,250,1 800,"7,2",0,0,0,0,0,0,8 440,57 800,"6,8"
15 TIZI-OUZOU,233,3 257,"14,0",24,347,"14,5",0,0,0,763,11 243,"14,7"
16 ALGER,26,660,"25,9",0,0,0,0,0,0,26,660,"25,9"
17 DJELFA,0,0,0,0,0,0,0,0,0,0,0,0
18 JIJEL,132,1 988,"15,1",21,279,"13,3",0,0,0,458,7 201,"15,7"
19 SETIF,396,2 986,"7,5",0,0,0,0,0,0,1 200,11 025,"9,2"
20 SAIDA,110,1308,"11,9",0,0,0,0,0,0,580,7 640,"13,2"
21 SKIKDA,1 300,15 600,"12,0",81,960,"11,9",20,200,"10,0",6 997,83 950,"12,0"
22 S.B.ABBES,1 560,12 480,"8,0",0,0,0,,,0,2 890,23 710,"8,2"
23 ANNABA,1 036,13 843,"13,4",2,24,"12,0",0,0,0,1 986,26 750,"13,5"
24 GUELMA,1 909,27 664,"14,5",0,0,0,0,0,0,6 791,101 235,"14,9"
25 CONSTANTINE,1 368,17 271,"12,6",0,0,0,160,1280,"8,0",7 201,94 209,"13,1"
26 MEDEA,786,7 144,"9,1",0,0,0,0,0,0,2 576,30 388,"11,8"
27 MOSTAGANEM,1 652,21 027,"12,7",8,48,"6,0",0,0,0,3 057,37 949,"12,4"
28 M'SILA,0,0,0,0,0,0,0,0,0,0,0,0
29 MASCARA,2 820,25 550,"9,1",0,0,0,0,0,0,5 678,55 110,"9,7"
30 OUARGLA,0,0,0,0,0,0,0,0,0,0,0,0
31 ORAN,172,747,"4,3",0,0,0,0,0,0,220,1 055,"4,8"
32 EL-BAYADH,0,0,0,0,0,0,0,0,0,0,0,0
33 ILLIZI,0,0,0,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,73,365,"5,0",0,0,0,0,0,0,243,2 435,"10,0"
35 BOUMERDES,199,3 152,"15,8",0,0,0,0,0,0,531,7 468,"14,1"
36 EL-TARF,2 126,25 512,"12,0",0,0,0,0,0,0,2 572,30 792,"12,0"
37 TINDOUF,0,0,0,0,0,0,0,0,0,0,0,0
38 TISSEMSILT,270,2 175,"8,1",0,0,0,0,0,0,3 029,24 165,"8,0"
39 EL-OUED,0,0,0,0,0,0,,,0,0,0,0
40 KHENCHELA,0,0,0,0,0,0,0,0,0,0,0,0
41 SOUK-AHRAS,973,8 351,"8,6",13,104,"8,0",0,0,0,4 605,42 766,"9,3"
42 TIPAZA,284,4 585,"16,1",23,322,"14,0",0,0,0,817,18 643,"22,8"
43 MILA,2 000,34 433,"17,2",0,0,0,0,0,0,5 575,81 056,"14,5"
44 AIN-DEFLA,971,12 145,"12,5",0,0,0,0,0,0,4 307,63 300,"14,7"
45 NAAMA,0,0,0,0,0,0,0,0,0,0,0,0
46 A.TEMOUCHENT,6 700,52 600,"7,9",840,5 910,"7,0",0,0,0,10 638,79 620,"7,5"
47 GHARDAIA,0,0,0,0,0,0,0,0,0,0,0,0
48 RELIZANE,482,4 119,"8,5",0,0,0,0,0,0,7 417,61 678,"8,3"
TOTAL ALGERIE,36 206,403 699,"11,2",1 912,17 894,"9,4",180,1 480,"8,2",119 217,1 362 293,"11,4"
