0,1,2,3,4,5,6,7,8,9,10
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,SERIE B 2018
,SUPERFICIES DES TERRES UTILISEES PAR L'AGRICULTURE (1/2),,,,,,,,,
WILAYA,Cultures  herbacées,,,Terres    au  repos,,,Prairies   naturelles,,Vignes,
,ha,%,ha,%,,ha,%,,ha,%
1 ADRAR,18 968,"1147,2",1 653,,"0,3",0,,"0,0",0,"0,0"
2 CHLEF,133 040,"50,7",53 099,,"20,2",845,,"0,3",1 240,"0,5"
3 LAGHOUAT,43 848,"2,4",27 468,,"1,5",0,,"0,0",373,"0,0"
4 O.E.BOUAGHI,218 718,"42,4",138 415,,"26,9",670,,"0,1",2,"0,0"
5 BATNA,163 829,"22,0",220 110,,"29,6",15 932,,"2,1",92,"0,0"
6 BEJAIA,13 792,"8,4",42 488,,"25,8",1 386,,"0,8",431,"0,3"
7 BISKRA,54 627,"3,3",81 006,,"4,9",0,,"0,0",51,"0,0"
8 BECHAR,1 828,"0,1",18 429,,"1,3",0,,"0,0",141,"0,0"
9 BLIDA,15 478,"24,0",6 952,,"10,8",1 328,,"2,1",1 169,"1,8"
10 BOUIRA,84 982,"29,0",61 337,,"20,9",178,,"0,1",80,"0,0"
11 TAMANRASSET,2 272,"0,3",0,,"0,0",0,,"0,0",137,"0,0"
12 TEBESSA,203 794,"24,9",95 204,,"11,6",120,,"0,0",0,"0,0"
13 TLEMCEN,232 412,"43,3",80 170,,"14,9",0,,"0,0",2 281,"0,4"
14 TIARET,411 711,"36,5",282 313,,"25,0",50,,"0,0",561,"0,0"
15 TIZI-OUZOU,26 846,"18,4",21 066,,"14,4",1 257,,"0,9",1 275,"0,9"
16 ALGER,12 332,"37,9",3 486,,"10,7",0,,"0,0",2 381,"7,3"
17 DJELFA,60 925,"2,4",299 682,,12,0,,"0,0",43,"0,0"
18 JIJEL,8 652,"8,8",13 721,,14,4 824,,"4,9",49,"0,0"
19 SETIF,232 311,"50,5",94 126,,20,1 958,,"0,4",26,"0,0"
20 SAIDA,142 563,"27,9",157 797,,31,0,,"0,0",57,"0,0"
21 SKIKDA,82 697,"42,8",25 881,,"13,4",484,,"0,3",1 168,"0,6"
22 S.B.ABBES,208 167,"53,9",133 484,,"34,5",0,,"0,0",4 225,"1,1"
23 ANNABA,31 304,"54,1",11 345,,"19,6",2 223,,"3,8",89,"0,2"
24 GUELMA,113 673,"43,0",60 227,,"22,8",306,,"0,1",48,"0,0"
25 CONSTANTINE,103 811,"59,0",19 106,,"10,9",0,,"0,0",16,"0,0"
26 MEDEA,159 984,"21,5",148 972,,"20,0",7 282,,"1,0",4 371,"0,6"
27 MOSTAGANEM,98 727,"68,2",1 535,,"1,1",0,,"0,0",10 796,"7,5"
28 M'SILA,83 700,"6,4",174 342,,"13,3",0,,"0,0",0,"0,0"
29 MASCARA,203 058,"46,8",81 056,,"18,7",0,,"0,0",4 746,"1,1"
30 OUARGLA,5 120,"0,1",22 689,,"0,4",0,,"0,0",13,"0,0"
31 ORAN,65 985,"69,4",9 632,,"10,1",0,,"0,0",646,"0,7"
32 EL-BAYADH,12 147,"0,2",61 857,,"1,1",0,,"0,0",12,"0,0"
33 ILLIZI,497,"3,4",229,,"1,6",0,,"0,0",27,"0,2"
34 B.B.ARRERIDJ,83 446,"34,0",72 349,,"29,4",150,,"0,1",4,"0,0"
35 BOUMERDES,29 475,"30,2",6 208,,"6,4",0,,"0,0",13 869,"14,2"
36 EL-TARF,40 075,"47,7",18 908,,"22,5",5 000,,"6,0",868,"1,0"
37 TINDOUF,189,"0,0",52,,"0,0",0,,"0,0",5,"0,0"
38 TISSEMSILT,86 310,"45,5",39 591,,"20,9",0,,"0,0",247,"0,1"
39 EL-OUED,54 367,"3,1",7 200,,"0,4",0,,"0,0",140,"0,0"
40 KHENCHELA,131 684,"17,0",111 244,,"14,4",50,,"0,0",38,"0,0"
41 SOUK-AHRAS,165 376,"53,1",73 083,,"23,5",4 258,,"1,4",0,"0,0"
42 TIPAZA,39 663,"56,7",4 756,,"6,8",0,,"0,0",2 685,"3,8"
43 MILA,131 545,"47,7",93 156,,"33,8",802,,"0,3",16,"0,0"
44 AIN-DEFLA,128 900,"54,7",34 731,,"14,7",577,,"0,2",500,"0,2"
45 NAAMA,6 852,"0,3",17 461,,"0,8",0,,"0,0",63,"0,0"
46 A.TEMOUCHENT,144 172,"70,9",13 008,,"6,4",300,,"0,1",12 671,"6,2"
47 GHARDAIA,11 265,"0,8",34 552,,"2,5",0,,"0,0",164,"0,0"
48 RELIZANE,198 988,"67,3",67 308,,"22,8",0,,"0,0",972,"0,3"
TOTAL ALGERIE,4 504 101,"10,2",3 042 481,,"6,9",49 978,,"0,1",68 786,"0,2"
