0,1,2,3,4,5,6,7,8
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,,,SERIE B 2017
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (3/7),,,,,,,,
,,Coings,,,,Grenades,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,0,0,0,"0,0",302,207,17 519,"84,6"
3 LAGHOUAT,92,92,3 960,"43,0",305,305,7 955,"26,1"
4 O.E.BOUAGHI,8,8,50,"6,7",30,24,326,"13,6"
5 BATNA,2,2,200,"100,0",240,227,16 707,"73,5"
6 BEJAIA,0,0,5,"0,0",117,112,8 640,"77,1"
7 BISKRA,0,0,0,"0,0",660,472,25 477,"54,0"
8 BECHAR,3,3,230,"76,7",59,52,3 540,"68,1"
9 BLIDA,12,11,2 200,"200,0",102,88,13 605,"154,6"
10 BOUIRA,97,77,1 848,"24,0",123,114,4 169,"36,7"
11 TAMANRASSET,3,3,135,"45,0",47,43,2 360,"55,5"
12 TEBESSA,30,30,1 350,"45,0",210,205,15 990,"78,0"
13 TLEMCEN,338,300,39 000,"130,0",480,390,50 700,"130,0"
14 TIARET,1 144,404,19 300,"47,8",748,325,13 600,"41,8"
15 TIZI-OUZOU,9,7,710,"0,0",87,83,12 790,"155,0"
16 ALGER,0,0,0,"0,0",3,2,200,"0,0"
17 DJELFA,4,4,230,"57,5",1 328,1 239,117 700,"95,0"
18 JIJEL,0,0,0,"0,0",110,108,7 260,"67,0"
19 SETIF,52,46,1 344,"29,4",169,161,6 967,"43,2"
20 SAIDA,0,0,0,"0,0",1,1,120,"120,0"
21 SKIKDA,2,2,142,"71,0",157,131,7 285,"55,8"
22 S.B.ABBES,6,6,175,"31,8",18,13,275,"22,0"
23 ANNABA,11,11,1 346,"122,4",47,40,4 546,"113,7"
24 GUELMA,17,15,1 955,"126,5",185,143,15 312,"106,9"
25 CONSTANTINE,14,14,945,"68,8",26,23,1 281,"55,1"
26 MEDEA,376,315,16 213,"51,5",84,78,2 698,"34,6"
27 MOSTAGANEM,92,84,10 745,"127,9",1 139,1 049,201 485,"192,2"
28 M'SILA,0,0,0,"0,0",810,780,49 600,"63,6"
29 MASCARA,2,2,300,"150,0",148,132,11 700,"89,0"
30 OUARGLA,0,0,0,"0,0",93,76,1 728,"22,6"
31 ORAN,0,0,0,"0,0",185,114,4 939,"43,5"
32 EL-BAYADH,37,31,2 242,"73,5",125,92,7 720,"84,1"
33 ILLIZI,0,0,0,"0,0",22,16,507,"31,2"
34 B.B.ARRERIDJ,4,4,115,"28,8",239,212,8 193,"38,6"
35 BOUMERDES,0,0,0,"0,0",112,83,14 440,"174,0"
36 EL-TARF,44,44,2 560,"58,2",231,144,16 720,"116,3"
37 TINDOUF,0,0,0,"0,0",5,0,0,"0,0"
38 TISSEMSILT,103,103,4 635,"45,0",699,120,5 520,"46,0"
39 EL-OUED,0,0,0,"0,0",237,230,18 400,"80,0"
40 KHENCHELA,10,10,530,"55,8",251,184,5 910,"32,2"
41 SOUK-AHRAS,67,62,1 258,"20,3",95,85,2 713,"31,8"
42 TIPAZA,0,0,0,"0,0",58,36,2 620,"72,8"
43 MILA,0,0,0,"0,0",72,68,3 258,"48,3"
44 AIN-DEFLA,31,28,3 795,"135,5",145,59,4 993,"85,4"
45 NAAMA,88,54,2 249,"42,0",94,63,4 905,"77,9"
46 A.TEMOUCHENT,25,25,675,"27,0",118,116,8 615,"74,3"
47 GHARDAIA,0,0,0,"0,0",273,244,27 816,"114,0"
48 RELIZANE,61,58,3 560,"61,4",727,700,89 875,"128,4"
TOTAL ALGERIE,2 781,1 852,124 002,"67,0",11 510,9 186,848 676,"92,4"
