0,1,2,3,4,5,6,7,8,9,10
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,SERIE B 2019
III-CEREALES D'HIVER (3/3),,,TRITICALE,,,,,TOTAL CEREALES D'HIVER,,
WILAYA,Emblavée,récoltée,Taux de Récolte,Prod.,Rdt,Emblavée,récoltée,Taux de Récolte,Prod.,Rdt
,(ha),(ha),%,(qx),(qx/ha),(ha),(ha),%,(qx),(qx/ha)
1 ADRAR,0,0,0,0,"0,0",18 865,18 864,"100,0",732 514,"38,8"
2 CHLEF,0,0,0,0,"0,0",93 884,92 431,"98,5",2 157 296,"23,3"
3 LAGHOUAT,0,0,0,0,"0,0",32 577,20 101,"61,7",365 852,"18,2"
4 O.E.BOUAGHI,0,0,0,0,"0,0",215 000,214 500,"99,8",3 800 000,"17,7"
5 BATNA,0,0,0,0,"0,0",155 983,146 752,"94,1",2 481 897,"16,9"
6 BEJAIA,0,0,0,0,"0,0",6 854,6 854,"100,0",153 501,"22,4"
7 BISKRA,0,0,0,,"0,0",31 360,29 455,"93,9",1 096 958,"37,2"
8 BECHAR,0,0,0,0,"0,0",2 169,2 169,"100,0",57 123,"26,3"
9 BLIDA,0,0,0,0,"0,0",8 102,8 102,"100,0",233 019,"28,8"
10 BOUIRA,0,0,0,0,"0,0",69 696,69 669,"100,0",2 116 220,"30,4"
11 TAMANRASSET,0,0,0,,"0,0",745,745,"100,0",16 984,"22,8"
12 TEBESSA,0,0,0,0,"0,0",130 000,119 000,"91,5",1 700 000,"14,3"
13 TLEMCEN,0,0,0,,"0,0",174 900,174 896,"100,0",1 886 900,"10,8"
14 TIARET,10,10,"100,0",336,"33,6",364 270,299 846,"82,3",3 672 036,"12,2"
15 TIZI-OUZOU,0,0,0,0,"0,0",7 272,6 960,"95,7",142 160,"20,4"
16 ALGER,,0,0,0,"0,0",1 693,1 675,"98,9",52 230,"31,2"
17 DJELFA,0,0,0,0,"0,0",103 100,56 000,"54,3",735 000,"13,1"
18 JIJEL,0,0,0,0,"0,0",1 513,1 486,"98,2",39 224,"26,4"
19 SETIF,10,10,"100,0",10,"1,0",198 185,197 522,"99,7",3 564 683,"18,0"
20 SAIDA,0,0,0,0,"0,0",131 975,109 375,"82,9",993 400,"9,1"
21 SKIKDA,0,0,0,0,"0,0",35 600,35 469,"99,6",830 000,"23,4"
22 S.B.ABBES,0,0,0,,"0,0",186 560,174 439,"93,5",1 491 678,"8,6"
23 ANNABA,0,0,0,0,"0,0",16 642,16 512,"99,2",459 600,"27,8"
24 GUELMA,0,0,0,0,"0,0",90 505,90 110,"99,6",2 824 630,"31,3"
25 CONSTANTINE,0,0,0,0,"0,0",90 655,88 825,"98,0",2 657 140,"29,9"
26 MEDEA,0,0,0,0,"0,0",128 176,113 401,"88,5",2 028 543,"17,9"
27 MOSTAGANEM,0,0,0,0,"0,0",46 847,39 169,"83,6",703 907,"18,0"
28 M'SILA,0,0,0,0,"0,0",70 285,38 000,"54,1",729 175,"19,2"
29 MASCARA,0,0,0,0,"0,0",141 200,102 570,"72,6",1 136 330,"11,1"
30 OUARGLA,0,0,0,0,"0,0",2 883,2 883,"100,0",96 915,"33,6"
31 ORAN,0,0,0,0,"0,0",53 652,23 824,"44,4",212 090,"8,9"
32 EL-BAYADH,0,0,0,0,"0,0",17 752,11 426,"64,4",225 550,"19,7"
33 ILLIZI,0,0,0,0,"0,0",51,51,"100,0",1 412,"27,6"
34 B.B.ARRERIDJ,0,0,0,0,"0,0",80 000,79 842,"99,8",1 140 850,"14,3"
35 BOUMERDES,0,0,0,0,"0,0",4 118,4 056,"98,5",110 055,"27,1"
36 EL-TARF,0,0,0,0,"0,0",25 937,23 848,"91,9",597 154,"25,0"
37 TINDOUF,0,0,0,0,"0,0",0,0,"0,0",0,"0,0"
38 TISSEMSILT,0,0,0,0,"0,0",81 000,80 852,"99,8",1 338 992,"16,6"
39 EL-OUED,0,0,0,,"0,0",11 100,8 840,"79,6",302 440,"34,2"
40 KHENCHELA,0,0,0,0,"0,0",102 500,90 680,"88,5",1 720 000,"19,0"
41 SOUK-AHRAS,0,0,0,0,"0,0",153 807,153 807,"100,0",2 484 186,"16,2"
42 TIPAZA,0,0,0,0,"0,0",14 100,13 468,"95,5",356 353,"26,5"
43 MILA,0,0,0,0,"0,0",114 856,114 360,"99,6",3 456 976,"30,2"
44 AIN-DEFLA,10,10,"100,0",280,"28,0",78 501,77 311,"98,5",2 050 000,"26,5"
45 NAAMA,0,0,0,0,"0,0",4 795,3 655,"76,2",44 584,"12,2"
46 A.TEMOUCHENT,0,0,0,0,"0,0",115 500,81 280,"70,4",1 012 000,"12,5"
47 GHARDAIA,0,0,0,0,"0,0",6 914,6 914,"100,0",256 474,"37,1"
48 RELIZANE,0,0,0,0,"0,0",148 649,133 659,"89,9",1 995 872,"14,9"
TOTAL ALGERIE,30,30,"0,0",626,"62,6",3 570 727,3 185 647,"89,2",56 259 902,"17,7"
