0,1
WILAYA,Superficie Deglet nour (Dattes Ghers  et Degla Beida et Total  Palmier-
,occupée fines) Analogues Analogues (Dattes  dattier
,(Dattes molles) sèches)
,ha Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,28 320 0 0 3 798 759 3 798 759
3 LAGHOUAT,235 7 716 10 473 9 368 27 557
5 BATNA,207 9 338 7 453 9 681 26 472
7 BISKRA,43 617 2 737 220 562 690 1 097 200 4 397 110
8 BECHAR,13 919 0 1 406 278 235 026 1 641 304
11 TAMANRASSET,7 118 0 0 752 310 752 310
12 TEBESSA,805 38 200 22 400 0 60 600
17 DJELFA,101 6 800 2 500 800 10 100
28 M'SILA,0 0 0 0 0
30 OUARGLA,22 282 1 423 458 1 005 721 173 417 2 602 596
32 EL-BAYADH,477 3 600 15 900 28 200 47 700
33 ILLIZI,1 254 7 758 77 585 43 760 129 103
37 TINDOUF,464 30 46 367 1 809 48 206
39 EL-OUED,37 750 2 530 300 736 400 661 500 3 928 200
40 KHENCHELA,812 51 400 70 100 11 542 133 042
45 NAAMA,236 4 650 39 250 0 43 900
47 GHARDAIA,11 259 556 249 237 599 493 662 1 287 510
TOTAL ALGERIE,168 855 7 376 719 4 240 716 7 317 034 18 934 469
PALMIERS  DATTIERS (2/3),
Nombre  de palmiers en rapport,
WILAYA,Deglet nour (Dattes Ghers  et Analogues Degla Beida et Analogues Total  Palmier-dattier
,fines) (Dattes molles) (Dattes  sèches)
,Nbre d'arbre Nbre d'arbre Nbre d'arbre Nbre d'arbre
1 ADRAR,0 0 2 796 087 2 796 087
3 LAGHOUAT,7 698 10 473 9 368 27 539
5 BATNA,8 298 7 453 9 221 24 972
7 BISKRA,2 610 000 551 960 1 094 700 4 256 660
8 BECHAR,0 813 096 182 230 995 326
11 TAMANRASSET,0 0 643 140 643 140
12 TEBESSA,20 750 18 350 0 39 100
17 DJELFA,6 300 2 200 800 9 300
28 M'SILA,0 0 0 0
30 OUARGLA,1 154 029 890 562 141 801 2 186 392
32 EL-BAYADH,2 100 8 000 11 600 21 700
33 ILLIZI,2 362 27 970 22 675 53 007
37 TINDOUF,0 34 249 1 306 35 555
39 EL-OUED,2 449 200 716 600 624 200 3 790 000
40 KHENCHELA,44 300 62 100 11 342 117 742
45 NAAMA,348 8 419 0 8 767
47 GHARDAIA,467 371 178 622 486 108 1 132 101
TOTAL ALGERIE,6 772 756 3 330 054 6 034 578 16 137 388
