0,1,2,3,4,5
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,SERIE B 2018
"III)- OLIVIERS, OLIVES ET HUILES 1/2",,,,,
Oliviers cultivés (plantés ou greffés) et olivier en rapport,,,,,
,Superficie occupée,Oliviers en masse,Oliviers isolés,Total olivier,Oliviers en rapport
,,,,complanté,
WILAYA,(ha),(Nbre d'arbre,(Nbre d'arbre,(Nbre d'arbre,(Nbre) arbres
1 ADRAR,0,0,0,0,0
2 CHLEF,4 533,589 385,41 206,630 591,407 593
3 LAGHOUAT,2 278,498 240,25 695,523 935,218 564
4 O.E.BOUAGHI,2 023,269 960,570,270 530,113 437
5 BATNA,11 797,2 302 402,100 804,2 403 206,1 557 067
6 BEJAIA,57 439,4 655 466,488 054,5 143 520,4 343 854
7 BISKRA,4 501,1 076 830,125 763,1 202 593,669 900
8 BECHAR,1 381,293 567,98 476,392 043,118 317
9 BLIDA,1 300,183 838,134 812,318 650,266 360
10 BOUIRA,37 073,3 412 038,318 361,3 730 399,2 548 150
11 TAMANRASSET,0,0,0,0,0
12 TEBESSA,9 534,1 775 706,17 000,1 792 706,887 000
13 TLEMCEN,15 468,1 834 623,305 648,2 140 271,2 060 000
14 TIARET,4 566,771 736,26 925,798 661,547 095
15 TIZI-OUZOU,38 650,3 997 896,322 667,4 320 563,3 015 521
16 ALGER,120,31 980,26 270,58 250,32 024
17 DJELFA,10 996,2 426 200,33 100,2 459 300,1 899 200
18 JIJEL,15 308,1 355 091,387 271,1 742 362,1 316 517
19 SETIF,22 914,2 315 715,362 670,2 678 385,2 135 655
20 SAIDA,5 597,1 359 534,22 750,1 382 284,608 589
21 SKIKDA,11 683,1 209 574,353 615,1 563 189,1 288 432
22 S.B.ABBES,8 600,887 750,2 388,890 138,621 600
23 ANNABA,963,100 180,32 816,132 996,75 848
24 GUELMA,9 528,666 446,318 081,984 527,501 607
25 CONSTANTINE,1 127,183 668,18 543,202 211,131 852
26 MEDEA,8 548,904 416,103 792,1 008 208,296 234
27 MOSTAGANEM,8 050,983 688,199 480,1 183 168,833 082
28 M'SILA,10 430,1 924 050,75 000,1 999 050,1 410 900
29 MASCARA,15 727,1 863 235,154 775,2 018 010,1 440 150
30 OUARGLA,1 252,351 052,53 799,404 851,37 064
31 ORAN,7 387,1 372 090,108 223,1 480 313,1 065 774
32 EL-BAYADH,1 200,326 550,54 265,380 815,138 130
33 ILLIZI,159,21 855,300,22 155,4 315
34 B.B.ARRERIDJ,26 478,2 392 450,84 705,2 477 155,1 583 661
35 BOUMERDES,8 231,865 786,165 447,1 031 233,841 601
36 EL-TARF,5 077,514 277,76 600,590 877,275 299
37 TINDOUF,148,26 560,1 160,27 720,13
38 TISSEMSILT,8 359,1 112 363,2 000,1 114 363,353 650
39 EL-OUED,3 100,1 083 860,69 500,1 153 360,700 000
40 KHENCHELA,4 428,802 771,68 270,871 041,543 566
41 SOUK-AHRAS,8 136,805 823,28 350,834 173,771 670
42 TIPAZA,2 729,346 955,414 920,761 875,397 938
43 MILA,9 661,966 050,167 450,1 133 500,700 500
44 AIN-DEFLA,7 587,1 252 650,155 000,1 407 650,800 000
45 NAAMA,3 090,816 660,7 375,824 035,166 242
46 A.TEMOUCHENT,4 903,562 155,512 125,1 074 280,713 669
47 GHARDAIA,1 817,183 338,201 442,384 780,192 720
48 RELIZANE,7 134,1 084 075,84 710,1 168 785,962 640
TOTAL ALGERIE,431 009,52 760 534,6 352 173,59 112 707,39 593 000
