0,1,2,3,4,5,6,7,8,9,10
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018,
III-CEREALES D'HIVER (2/3),,,,,,,,,,
WILAYA,,,ORGE,,,,,AVOINE,,
,Superficie,,Taux de,Prod.,Rdt,Superficie,,Taux de,Prod.,Rdt
,Emblavée,récoltée,Récolte,,,Emblavée,récoltée,Récolte,,
,(ha),(ha),%,(qx),(qx/ha),(ha),(ha),%,(qx),(qx/ha)
1 ADRAR,1 359,1 334,"98,2",31 354,"23,5",240,240,"100,0",5 756,"24,0"
2 CHLEF,16 949,16 915,"99,8",298 285,"17,6",2 330,2 330,"100,0",31 470,"13,5"
3 LAGHOUAT,14 869,7 841,"52,7",156 840,"20,0",268,250,"93,3",3 870,"15,5"
4 O.E.BOUAGHI,97 000,71 864,"74,1",1 074 500,"15,0",1 700,1 485,"87,4",25 500,"17,2"
5 BATNA,69 015,53 373,"77,3",801 193,"15,0",3 785,3 536,"93,4",63 594,"18,0"
6 BEJAIA,1 080,1 080,"100,0",22 400,"20,7",97,51,"52,6",770,"15,1"
7 BISKRA,11 127,8 997,"80,9",282 330,"31,4",110,110,"100,0",2 200,"20,0"
8 BECHAR,570,570,"100,0",16 360,"28,7",50,50,"100,0",750,"15,0"
9 BLIDA,636,626,"98,4",14 170,"22,7",22,22,"100,0",460,"20,9"
10 BOUIRA,14 078,14 078,"100,0",405 301,"28,8",1 582,1 573,"99,4",30 795,"19,6"
11 TAMANRASSET,94,94,"100,0",2 121,"22,6",30,30,"100,0",480,"16,0"
12 TEBESSA,100 000,33 900,"33,9",283 500,"8,4",0,0,"0,0",0,"0,0"
13 TLEMCEN,86 500,86 485,"100,0",1 471 245,"17,0",5 000,5 000,"100,0",70 000,"14,0"
14 TIARET,145 000,137 968,"95,2",2 350 000,"17,0",10 000,9 294,"92,9",129 184,"13,9"
15 TIZI-OUZOU,481,373,"77,5",7 115,"19,1",95,60,"63,2",1 014,"16,9"
16 ALGER,221,188,"84,9",3 790,"20,2",0,0,"0,0",0,"0,0"
17 DJELFA,39 880,22 348,"56,0",505 300,"22,6",452,440,"97,3",10 400,"23,6"
18 JIJEL,121,121,"100,0",2 083,"17,2",0,0,"0,0",0,"0,0"
19 SETIF,46 245,46 228,"100,0",836 968,"18,1",6 826,6 823,"100,0",109 128,"16,0"
20 SAIDA,48 955,48 955,"100,0",901 927,"18,4",5 143,5 143,"100,0",77 337,"15,0"
21 SKIKDA,5 623,5 593,"99,5",117 453,"21,0",822,822,"100,0",8 220,"10,0"
22 S.B.ABBES,91 661,90 855,"99,1",1 179 478,"13,0",7 283,6 733,"92,4",81 094,"12,0"
23 ANNABA,1 547,1 542,"99,7",39 757,"25,8",114,114,"100,0",4 150,"36,4"
24 GUELMA,9 931,9 927,"100,0",262 087,"26,4",171,171,"100,0",3 850,"22,5"
25 CONSTANTINE,6 973,6 943,"99,6",274 473,"39,5",1 112,1 110,"99,8",40 804,"36,8"
26 MEDEA,36 292,33 987,"93,6",639 347,"18,8",3 203,3 072,"95,9",47 446,"15,4"
27 MOSTAGANEM,26 034,26 034,"100,0",671 163,"25,8",2 005,2 005,"100,0",34 836,"17,4"
28 M'SILA,42 260,13 380,"31,7",265 000,"19,8",1 010,600,"59,4",9 970,"16,6"
29 MASCARA,68 000,67 958,"99,9",1 019 400,"15,0",8 000,7 995,"99,9",111 900,"14,0"
30 OUARGLA,142,112,"78,8",3 903,"35,0",33,0,"0,0",0,"0,0"
31 ORAN,40 674,40 663,"100,0",1 098 344,"27,0",1 230,1 230,"100,0",24 950,"20,3"
32 EL-BAYADH,5 727,4 866,"85,0",85 500,"17,6",292,181,"62,0",2 800,"15,5"
33 ILLIZI,15,15,"100,0",423,"27,8",1,1,"0,0",27,"27,2"
34 B.B.ARRERIDJ,12 120,12 109,"99,9",190 120,"15,7",620,620,"100,0",8 690,"14,0"
35 BOUMERDES,257,213,"82,9",3 378,"15,9",172,145,"84,3",1 805,"12,4"
36 EL-TARF,3 427,3 424,"99,9",54 784,"16,0",0,0,"0,0",0,"0,0"
37 TINDOUF,0,0,"0,0",0,"0,0",0,0,"0,0",0,"0,0"
38 TISSEMSILT,17 000,16 828,"99,0",429 054,"25,5",1 360,1 313,"96,5",18 246,"13,9"
39 EL-OUED,2 212,1 568,"70,9",32 880,"21,0",0,0,"0,0",0,"0,0"
40 KHENCHELA,51 777,30 730,"59,4",532 270,"17,3",0,0,"0,0",0,"0,0"
41 SOUK-AHRAS,28 850,28 840,"100,0",560 000,"19,4",278,278,"100,0",1 400,"5,0"
42 TIPAZA,1 770,1 699,"96,0",35 678,"21,0",42,42,"100,0",638,"15,2"
43 MILA,22 910,22 903,"100,0",623 561,"27,2",4 070,4 055,"99,6",83 825,"20,7"
44 AIN-DEFLA,17 008,16 981,"99,8",354 035,"20,8",1 363,1 353,"99,3",24 507,"18,1"
45 NAAMA,1 874,1 455,"77,6",18 713,"12,9",189,155,"0,0",1 658,"10,7"
46 A.TEMOUCHENT,48 050,47 148,"98,1",941 400,"20,0",3 100,1 958,"63,2",26 200,"13,4"
47 GHARDAIA,450,450,"100,0",12 750,"28,3",0,0,"0,0",0,"0,0"
48 RELIZANE,40 756,40 691,"99,8",661 538,"16,3",6 986,6 986,"100,0",80 454,"11,5"
TOTAL ALGERIE,1 277 519,1 080 250,"84,6",19 573 271,"18,1",81 186,77 375,"95,3",1 180 178,"15,3"
