0,1,2,3,4,5,6,7
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,SERIE B 2016
,,,,,,Unité :Quintaux sauf précision,
Wilaya,Viandes Rouges,Viande Blanche   Lait,,,Œufs (1000,Miel,Laine
,,,(1000L),U),,,
Adrar,60 642,11 476,13 079,,-,,-
Chlef,51 987,127 697,62 230,,84 609,2 520,1 577
Laghouat,271 273,7 634,64 133,,27 393,385,37 900
Oum El Bouaghi,112 314,118 171,125 650,,81 648,148,10 032
Batna,91 956,457 491,125 983,,1 527 410,2 497,12 897
Bejaia,49 803,119 493,77 059,,407 608,1 651,846
Biskra,130 260,25 540,44 783,,8 321,631,14 360
Bechar,49 009,16 196,24 725,,2 958,68,2 850
Blida,38 419,114 082,63 362,,95 273,4 460,689
Bouira,142 900,459 400,92 600,,356 100,6 520,6 900
Tamanrasset,26 267,1 833,8 267,,1 415,-,-
Tebessa,117 424,66 372,89 580,,52 248,990,7 679
Tlemcen,147 231,204 720,99 426,,218 378,1 650,6 000
Tiaret,275 944,117 410,131 097,,13 686,504,24 243
Tizi Ouzou,118 805,225 339,167 369,,153 869,4 909,1 782
Alger,14 554,71 170,43 012,,125 723,495,
Djelfa,529 430,61 050,102 466,,28 358,186,72 790
Jijel,59 593,104 475,49 004,,49 425,5 177,1 083
Setif,258 982,321 805,293 325,,858 451,3 260,7 269
Saida,95 580,30 686,37 982,,24 755,362,14 049
Skikda,113 012,72 748,144 405,,74 463,9 200,4 650
Sidi Bel Abbes,177 000,41 050,138 500,,14 100,470,14 500
Annaba,48 540,49 530,40 934,,41 070,901,1 137
Guelma,152 075,129 665,47 605,,121 690,2 442,5 960
Constantine,51 537,97 170,82 697,,21 763,1 142,2 646
Medea,119 854,238 346,120 952,,114 992,1 565,7 442
Mostaganem,56 630,78 945,97 636,,200 630,1 067,2 919
Msila,277 585,130 000,68 920,,138 800,518,27 300
Mascara,56 700,161 200,53 300,,204 210,1 750,6 000
Ouargla,72 564,7 412,15 559,,,8,2 100
Oran,29 764,106 233,60 725,,131 318,236,2 267
El Bayadh,336 904,1 916,86 370,,-,51,17 370
Illizi,16 302,,8 977,,,,
Bordj Bou Arreridj,76 931,236 853,90 737,,575 267,704,5 652
Boumerdes,51 871,146 787,46 401,,137 734,2 073,1 143
El Tarf,101 480,19 084,69 819,,11 630,2 690,2 170
Tindouf,19 115,4 670,13 893,,5 468,,
Tissemsilt,35 257,71 247,27 010,,26 053,256,2 562
El Oued,148 780,38 815,33 800,,10 650,17,5 980
Khenchela,55 501,19 613,49 247,,31 274,453,5 885
Souk Ahras,120 255,71 859,99 270,,25 132,1 825,6 405
Tipaza,30 950,127 666,36 932,,197 353,2 794,843
Mila,171 499,192 389,122 379,,165 143,2 105,5 225
Ain Defla,63 871,243 864,66 231,,171 230,1 223,2 527
Naama,181 303,14 723,74 507,,988,78,12 860
Ain Temouchent,42 952,82 528,75 877,,14 517,372,3 037
Ghardaia,45 118,2 833,25 609,,2 460,66,5 900
Relizane,81 825,105 162,83 595,,136 350,900,6 300
Total,5 377 548,5 154 350,3 597 017,,6 691 912,71 319,383 725
