0,1,2,3,4,5,6,7,8,9,10,11
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,,,SERIE B 2018
ENSEMBLE DES CULTURES HERBACEES 2/2,,,,,,,,,,,
Wilaya,Cultures,,,Cultures  maraîchères,,,Autres cultures,,,TOTAL CULTURES,
,industrielles,,,,,,,,,HERBACEES,
,ha,%,ha,%,,ha,%,,ha,%,
1 ADRAR,2 169,"8,5",4 796,,"18,8",170,,"0,7",25 453,"0,6",
2 CHLEF,1 087,"0,8",8 554,,"6,4",0,,"0,0",133 040,"2,9",
3 LAGHOUAT,45,"0,1",10 031,,"22,9",0,,"0,0",43 848,"1,0",
4 O.E.BOUAGHI,1 310,"0,6",2 439,,"1,1",0,,"0,0",218 718,"4,8",
5 BATNA,226,"0,1",7 585,,"4,6",0,,"0,0",165 001,"3,6",
6 BEJAIA,79,"0,6",2 885,,"20,9",352,,"2,6",13 792,"0,3",
7 BISKRA,1 025,"1,9",21 548,,"39,4",0,,"0,0",54 627,"1,2",
8 BECHAR,62,"1,3",2 694,,"58,8",0,,"0,0",4 584,"0,1",
9 BLIDA,2,"0,0",5 973,,"38,6",9,,"0,1",15 478,"0,3",
10 BOUIRA,0,"0,0",9 116,,"10,7",0,,"0,0",84 982,"1,9",
11 TAMANRASSET,14,"0,6",1 175,,"50,6",0,,"0,0",2 325,"0,1",
12 TEBESSA,0,"0,0",4 329,,"2,1",,,"0,0",203 794,"4,5",
13 TLEMCEN,0,"0,0",19 830,,"8,5",2 864,,"1,2",232 879,"5,1",
14 TIARET,0,"0,0",11 562,,"2,8",0,,"0,0",411 711,"9,1",
15 TIZI-OUZOU,0,"0,0",6 235,,"23,1",0,,"0,0",26 986,"0,6",
16 ALGER,0,"0,0",8 366,,"67,8",28,,"0,2",12 332,"0,3",
17 DJELFA,36,"0,1",7 985,,"13,1",0,,"0,0",60 925,"1,3",
18 JIJEL,67,"0,8",6 648,,"76,8",0,,"0,0",8 659,"0,2",
19 SETIF,1 073,"0,5",8 153,,"3,5",0,,"0,0",232 481,"5,1",
20 SAIDA,0,"0,0",6 521,,"4,6",0,,"0,0",142 563,"3,1",
21 SKIKDA,10 413,"12,6",20 068,,"24,3",0,,"0,0",82 737,"1,8",
22 S.B.ABBES,21,"0,0",4 583,,"2,2",,,"0,0",208 167,"4,6",
23 ANNABA,2 062,"6,6",10 246,,"32,7",0,,"0,0",31 304,"0,7",
24 GUELMA,2 944,"2,6",8 038,,"7,1",0,,"0,0",113 673,"2,5",
25 CONSTANTINE,27,"0,0",5 045,,"4,9",0,,"0,0",103 811,"2,3",
26 MEDEA,0,"0,0",9 000,,"5,6",0,,"0,0",159 984,"3,5",
27 MOSTAGANEM,185,"0,2",27 776,,"28,1",0,,"0,0",98 727,"2,2",
28 M'SILA,0,"0,0",9 400,,"11,2",,,"0,0",83 700,"1,8",
29 MASCARA,55,"0,0",29 003,,"14,3",0,,"0,0",203 058,"4,5",
30 OUARGLA,414,"4,0",4 943,,"48,2",0,,"0,0",10 255,"0,2",
31 ORAN,0,"0,0",4 168,,"6,3",11,,"0,0",65 985,"1,5",
32 EL-BAYADH,128,"0,0",3 139,,"25,1",0,,"0,0",12 521,"0,3",
33 ILLIZI,0,"0,0",296,,"59,5",0,,"0,0",497,"0,0",
34 B.B.ARRERIDJ,0,"0,0",1 725,,"2,1",0,,"0,0",83 446,"1,8",
35 BOUMERDES,6,"0,0",14 442,,"49,0",0,,"0,0",29 475,"0,7",
36 EL-TARF,5 022,"12,3",6 385,,"15,6",0,,"0,0",40 905,"0,9",
37 TINDOUF,0,"0,0",146,,"77,2",0,,"0,0",189,"0,0",
38 TISSEMSILT,0,"0,0",1 100,,"1,3",0,,"0,0",86 310,"1,9",
39 EL-OUED,5 050,"8,5",38 753,,"65,3",0,,"0,0",59 316,"1,3",
40 KHENCHELA,0,"0,0",4 726,,"3,6",0,,"0,0",131 684,"2,9",
41 SOUK-AHRAS,60,"0,0",4 855,,"2,9",0,,"0,0",165 376,"3,7",
42 TIPAZA,234,"0,6",13 735,,"34,6",0,,"0,0",39 663,"0,9",
43 MILA,7,"0,0",6 069,,"4,6",0,,"0,0",131 545,"2,9",
44 AIN-DEFLA,1 704,"1,3",26 202,,"20,3",307,,"0,2",129 067,"2,8",
45 NAAMA,43,"0,6",1 150,,"16,8",0,,"0,0",6 852,"0,2",
46 A.TEMOUCHENT,0,"0,0",9 179,,"6,4",0,,"0,0",144 172,"3,2",
47 GHARDAIA,637,"4,2",4 000,,"26,4",0,,"0,0",15 160,"0,3",
48 RELIZANE,223,"0,1",21 202,,"10,7",220,,"0,1",198 988,"4,4",
TOTAL ALGERIE,36 427,"0,8",445 797,,"9,8",3 961,,"0,1",4 530 741,,100
