0,1,2,3,4,5
VIII-ANIMAUX  D'ELEVAGE (4/4),,,,,
WILAYA,,E S P E C E     C H E V A L I N E,,ESPECE  MULASSIERE,ESPECE  ASINE
,Adultes,Jeunes - 2 ans,TOTAL,,
1 ADRAR,0,0,0,0,4 864
2 CHLEF,447,273,720,987,1 443
3 LAGHOUAT,3 043,1 473,4 516,352,3 482
4 O.E.BOUAGHI,740,122,862,41,992
5 BATNA,802,377,1 179,191,1 274
6 BEJAIA,117,16,133,82,1 040
7 BISKRA,279,147,426,77,572
8 BECHAR,75,14,89,43,108
9 BLIDA,366,297,663,0,0
10 BOUIRA,239,82,321,252,1 837
11 TAMANRASSET,0,0,0,0,0
12 TEBESSA,321,113,434,0,0
13 TLEMCEN,2 001,799,2 800,900,3 000
14 TIARET,4 186,1 826,6 012,270,1 822
15 TIZI-OUZOU,170,35,205,130,3 051
16 ALGER,821,121,942,20,59
17 DJELFA,354,158,512,150,120
18 JIJEL,48,2,50,107,721
19 SETIF,1 020,349,1 369,681,5 441
20 SAIDA,1 455,885,2 340,530,1 180
21 SKIKDA,521,207,728,1 469,8 257
22 S.B.ABBES,1 755,1 195,2 950,461,2 660
23 ANNABA,154,81,235,524,963
24 GUELMA,395,133,528,111,816
25 CONSTANTINE,528,114,642,35,180
26 MEDEA,614,160,774,263,2 830
27 MOSTAGANEM,1 910,650,2 560,1 615,8 425
28 M'SILA,1 530,220,1 750,250,1 800
29 MASCARA,2 430,780,3 210,1 700,3 900
30 OUARGLA,404,42,446,550,4 086
31 ORAN,400,201,601,34,190
32 EL-BAYADH,1 289,346,1 635,195,1 338
33 ILLIZI,0,0,0,0,0
34 B.B.ARRERIDJ,1 221,214,1 435,278,2 244
35 BOUMERDES,266,54,320,72,281
36 EL-TARF,401,311,712,38,1 455
37 TINDOUF,0,0,0,0,0
38 TISSEMSILT,291,75,366,120,1 486
39 EL-OUED,626,84,710,489,2 302
40 KHENCHELA,163,68,231,0,464
41 SOUK-AHRAS,500,238,738,852,2 653
42 TIPAZA,223,3,226,0,0
43 MILA,428,321,749,43,758
44 AIN-DEFLA,386,131,517,557,2 472
45 NAAMA,1 019,349,1 368,822,2 545
46 A.TEMOUCHENT,1 133,303,1 436,190,637
47 GHARDAIA,365,125,490,0,422
48 RELIZANE,761,220,981,516,2 261
TOTAL ALGERIE,36 197,13 714,49 911,15 997,86 431
