0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2016
V- CULTURES INDUSTRIELLES (1/2),,,,,,,,,
,,TOMATES INDUSTRIELLES,,,TABAC,,,ARACHIDES,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,420,203 585,"484,7",597,16 985,"28,5",149,2 517,"16,9"
2 CHLEF,906,475 650,"525,0",0,0,"0,0",0,0,"0,0"
3 LAGHOUAT,0,0,"0,0",0,0,"0,0",0,0,"0,0"
4 O.E.BOUAGHI,88,28 970,"329,2",1 071,14 572,"13,6",,,"0,0"
5 BATNA,177,35 400,"200,0",16,208,"13,0",0,0,"0,0"
6 BEJAIA,18,6 900,"383,3",110,1 100,"10,0",0,0,"0,0"
7 BISKRA,0,0,"0,0",64,1 600,"25,0",,,"0,0"
8 BECHAR,0,0,"0,0",5,200,"40,0",22,256,"11,5"
9 BLIDA,3,2 400,"800,0",0,0,"0,0",0,0,"0,0"
10 BOUIRA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
11 TAMANRASSET,0,0,"0,0",0,0,"0,0",0,0,"0,0"
12 TEBESSA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
13 TLEMCEN,0,0,"0,0",0,0,"0,0",0,0,"0,0"
14 TIARET,0,0,"0,0",0,0,"0,0",0,0,"0,0"
15 TIZI-OUZOU,0,0,"0,0",0,0,"0,0",0,0,"0,0"
16 ALGER,0,0,"0,0",0,0,"0,0",0,0,"0,0"
17 DJELFA,4,2 800,"700,0",0,0,"0,0",0,0,"0,0"
18 JIJEL,62,19 235,"312,8",0,0,"0,0",0,0,"0,0"
19 SETIF,0,0,"0,0",1 031,21 434,"20,8",,,"0,0"
20 SAIDA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
21 SKIKDA,7 419,3 709 500,"500,0",166,1 875,"11,3",0,0,"0,0"
22 S.B.ABBES,21,14 490,"690,0",0,0,"0,0",0,0,"0,0"
23 ANNABA,1 833,900 000,"491,0",0,0,"0,0",0,0,"0,0"
24 GUELMA,4 388,3 146 195,"717,0",0,0,"0,0",0,0,"0,0"
25 CONSTANTINE,0,0,"0,0",0,0,"0,0",0,0,"0,0"
26 MEDEA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
27 MOSTAGANEM,160,91 300,"570,6",0,0,"0,0",0,0,"0,0"
28 M'SILA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
29 MASCARA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
30 OUARGLA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
31 ORAN,0,0,"0,0",0,0,"0,0",0,0,"0,0"
32 EL-BAYADH,0,0,"0,0",0,0,"0,0",0,0,"0,0"
33 ILLIZI,0,0,"0,0",0,0,"0,0",0,0,"0,0"
34 B.B.ARRERIDJ,0,0,"0,0",0,0,"0,0",0,0,"0,0"
35 BOUMERDES,26,22 100,"850,0",0,0,"0,0",0,0,"0,0"
36 EL-TARF,4 850,2 910 000,"600,0",20,110,"5,5",1 100,11 000,"10,0"
37 TINDOUF,0,0,"0,0",0,0,"0,0",0,0,"0,0"
38 TISSEMSILT,0,0,"0,0",0,0,"0,0",0,0,"0,0"
39 EL-OUED,0,0,"0,0",1 680,40 320,"24,0",1 670,50 400,"30,2"
40 KHENCHELA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
41 SOUK-AHRAS,65,26 000,"400,0",0,0,"0,0",0,0,"0,0"
42 TIPAZA,350,211 505,"604,3",0,0,"0,0",0,0,"0,0"
43 MILA,61,42 350,"700,0",0,0,"0,0",0,0,"0,0"
44 AIN-DEFLA,495,475 500,"960,6",0,0,"0,0",0,0,"0,0"
45 NAAMA,0,0,"0,0",0,0,"0,0",0,0,"0,0"
46 A.TEMOUCHENT,0,0,"0,0",0,0,"0,0",0,0,"0,0"
47 GHARDAIA,0,0,"0,0",0,0,"0,0",450,6 750,"15,0"
48 RELIZANE,89,31 100,"351,4",0,0,"0,0",0,0,"0,0"
TOTAL ALGERIE,21 434,12 354 980,"576,4",4 760,98 404,"20,7",3 391,70 923,"20,9"
