0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2018
X-CULTURES IRRIGUEES,,,,,,,,
,Céréales,,Cultures,Cultures,Cultures,Vignes,Divers,TOTAL
WILAYA,d'été,d'hiver,Fruitières,Maraichères,Indust.,,,
1 ADRAR,2 150,15 386,26 709,4 796,2 169,0,1 962,53 171
2 CHLEF,0,0,10 483,8 554,1 087,1 228,768,22 119
3 LAGHOUAT,0,9 312,6 045,10 031,45,373,11 416,37 222
4 O.E.BOUAGHI,45,10 000,935,2 439,1 310,2,11 208,25 939
5 BATNA,0,22 793,22 562,7 585,226,91,26 544,79 801
6 BEJAIA,0,0,7 668,3 723,68,97,495,12 050
7 BISKRA,50,27 334,52 426,22 460,1 025,259,13 411,116 964
8 BECHAR,0,805,15 897,2 690,62,141,0,19 595
9 BLIDA,0,0,26 182,5 503,2,489,391,32 566
10 BOUIRA,0,78,3 057,8 769,296,0,442,12 641
11 TAMANRASSET,0,758,7 800,1 175,14,137,378,10 262
12 TEBESSA,89,10 620,6 835,4 374,0,0,6 934,28 852
13 TLEMCEN,0,1 000,15 000,16 000,0,400,0,32 400
14 TIARET,0,5 918,8 389,12 808,0,0,400,27 515
15 TIZI-OUZOU,0,0,2 884,2 890,0,108,1 819,7 701
16 ALGER,0,0,9 262,10 753,0,568,58,20 642
17 DJELFA,0,15 227,18 015,7 985,36,43,2 504,43 810
18 JIJEL,24,0,2 015,4 710,67,13,402,7 230
19 SETIF,0,5 908,18 350,8 308,1 073,25,13 380,47 044
20 SAIDA,0,8 897,6 370,7 813,0,57,2 485,25 622
21 SKIKDA,107,0,8 872,10 397,10 413,1 168,32,30 989
22 S.B.ABBES,0,2 616,3 380,2 623,21,738,322,9 700
23 ANNABA,0,0,1 514,4 074,2 052,41,326,8 005
24 GUELMA,0,22,2 205,2 619,2 942,19,97,7 903
25 CONSTANTINE,0,59,1 135,1 098,20,15,65,2 391
26 MEDEA,0,255,2 567,6 196,0,0,1 086,10 105
27 MOSTAGANEM,0,0,11 704,27 776,180,0,0,39 660
28 M'SILA,0,10 200,19 550,9 400,0,0,3 650,42 800
29 MASCARA,0,9 250,6 500,21 830,55,1 865,12 500,52 000
30 OUARGLA,30,2 465,23 588,4 943,49,14,462,31 550
31 ORAN,0,411,5 186,2 949,0,124,118,8 787
32 EL-BAYADH,5,2 680,2 990,3 496,128,25,633,9 956
33 ILLIZI,0,47,1 651,294,0,27,155,2 173
34 B.B.ARRERIDJ,0,1 197,2 748,1 726,0,4,1 131,6 806
35 BOUMERDES,0,0,4 294,8 838,4,4 153,108,17 396
36 EL-TARF,0,50,5 624,4 768,4 712,247,220,15 621
37 TINDOUF,0,0,20,146,0,0,654,820
38 TISSEMSILT,0,2 050,3 109,1 384,0,0,2 605,9 147
39 EL-OUED,0,8 910,41 293,38 753,5 050,140,1 654,95 800
40 KHENCHELA,0,38 593,13 705,4 726,0,38,12 532,69 594
41 SOUK-AHRAS,0,1 296,2 620,2 757,64,0,87,6 824
42 TIPAZA,0,0,5 618,14 661,135,0,340,20 754
43 MILA,0,2 770,1 941,6 299,7,16,3 510,14 541
44 AIN-DEFLA,0,0,8 523,27 515,1 852,133,637,38 660
45 NAAMA,0,1 738,3 906,2 360,43,63,3 450,11 560
46 A.TEMOUCHENT,0,35,1 406,8 163,0,167,214,9 985
47 GHARDAIA,0,4 983,15 648,4 002,637,400,5 540,31 209
48 RELIZANE,0,665,8 505,8 234,36,0,192,17 632
TOTAL ALGERIE,2 500,224 326,476 685,385 390,35 877,13 424,147 311,1 285 513
