0,1,2,3,4
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,SERIE B 2016
II-  TERRES AU REPOS OU JACHERES,,,,
WILAYA,Jachères fauchées,Jachères   paturées,Jachères  travaillées,TOTAL  Jachères
,,,au  printemps,
,ha,ha,(ha),ha
1 ADRAR,0,1 482,0,1 482
2 CHLEF,4 955,32 600,26 194,63 748
3 LAGHOUAT,0,34 358,0,34 358
4 O.E.BOUAGHI,11 309,100 277,17 240,128 825
5 BATNA,20 787,178 131,10 565,209 483
6 BEJAIA,11 288,30 453,2 110,43 851
7 BISKRA,6 973,32 570,36 430,75 973
8 BECHAR,0,14 421,0,14 421
9 BLIDA,2 566,5 895,144,8 604
10 BOUIRA,0,46 047,13 671,59 718
11 TAMANRASSET,317,537,0,854
12 TEBESSA,0,87 662,6 571,94 233
13 TLEMCEN,745,85 280,11 459,97 484
14 TIARET,50,175 271,118 128,293 449
15 TIZI-OUZOU,15 033,5 784,889,21 706
16 ALGER,0,3 158,0,3 158
17 DJELFA,0,256 974,0,256 974
18 JIJEL,7 383,6 106,0,13 489
19 SETIF,12 845,35 761,49 070,97 676
20 SAIDA,0,158 031,27 355,185 386
21 SKIKDA,14 197,8 633,4 950,27 779
22 S.B.ABBES,0,33 663,117 508,151 171
23 ANNABA,5 485,8 832,472,14 789
24 GUELMA,15 406,16 520,28 003,59 929
25 CONSTANTINE,2 983,2 863,32 806,38 653
26 MEDEA,3 875,121 093,29 327,154 295
27 MOSTAGANEM,0,990,0,990
28 M'SILA,0,153 692,0,153 692
29 MASCARA,7 840,70 352,3 874,82 066
30 OUARGLA,0,19 595,0,19 595
31 ORAN,546,9 662,1 262,11 469
32 EL-BAYADH,0,57 346,0,57 346
33 ILLIZI,0,246,0,246
34 B.B.ARRERIDJ,4 045,9 756,44 570,58 371
35 BOUMERDES,2 770,1 805,144,4 719
36 EL-TARF,10 400,11 843,0,22 243
37 TINDOUF,0,101,0,101
38 TISSEMSILT,7 703,0,41 961,49 664
39 EL-OUED,0,0,6 566,6 566
40 KHENCHELA,4 776,64 541,38 380,107 697
41 SOUK-AHRAS,27 657,0,38 782,66 438
42 TIPAZA,3 394,2 826,0,6 220
43 MILA,17 348,42 037,39 688,99 073
44 AIN-DEFLA,3 369,18 723,18 225,40 317
45 NAAMA,0,13 576,0,13 576
46 A.TEMOUCHENT,10,0,18 594,18 604
47 GHARDAIA,0,14 532,0,14 532
48 RELIZANE,13 030,44 044,15 208,72 282
TOTAL ALGERIE,239 082,2 018 066,800 145,3 057 292
