0,1,2,3,4,5,6
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,,SERIE B 2017
,,,,,,Unité : Quintaux sauf précision
Wilaya,Viandes Rouges,Viandes Blanches,Lait (1000L),Œufs (1000 U),Miel,Laine
Adrar,51 999,22 833,9 843,-,-,60
Chlef,76 776,152 442,52 472,97 730,2 547,1 879
Laghouat,263 907,14 214,62 045,17 112,430,38 400
Oum El Bouaghi,112 269,115 630,102 688,82 616,85,8 281
Batna,79 572,452 367,127 092,1 457 798,1 772,11 065
Bejaia,25 327,100 252,39 177,398 383,1 949,679
Biskra,127 880,40 314,47 191,5 859,695,14 669
Bechar,30 433,11 393,25 538,15 356,70,1 191
Blida,49 379,110 420,59 494,94 500,4 535,60
Bouira,152 900,465 700,54 270,351 772,5 500,5 918
Tamanrasset,18 993,415,2 379,-,-,-
Tebessa,115 536,68 963,92 520,62 454,1 100,8 114
Tlemcen,139 613,212 000,109 760,193 400,1 500,6 000
Tiaret,302 572,120 505,110 755,1 384,320,24 900
Tizi Ouzou,111 888,214 900,178 785,156 468,3 130,1 641
Alger,15 428,63 803,42 572,104 386,542,181
Djelfa,544 200,93 800,102 282,41 304,194,86 330
Jijel,60 725,96 740,53 905,35 916,1 679,1 098
Setif,213 967,330 469,287 325,885 900,2 223,6 642
Saida,97 125,51 530,46 790,22 822,307,14 440
Skikda,122 100,88 460,145 967,161 848,9 260,4 800
Sidi Bel Abbes,174 700,41 050,167 178,14 300,462,13 800
Annaba,51 600,43 125,41 776,36 293,1 005,1 003
Guelma,159 209,109 306,48 497,112 903,1 622,6 135
Constantine,59 682,94 947,76 461,21 945,832,2 826
Medea,127 310,301 578,114 309,133 400,1 959,7 226
Mostaganem,52 884,72 281,99 215,230 510,1 252,3 083
Msila,285 000,107 000,71 500,147 700,325,27 500
Mascara,54 700,183 900,50 000,199 421,1 728,6 500
Ouargla,19 571,5 907,16 143,-,46,1 926
Oran,29 394,92 285,58 693,87 557,254,2 544
El Bayadh,336 990,1 752,87 616,-,81,17 238
Illizi,17 461,-,9 452,-,-,-
Bordj Bou Arreridj,81 730,209 371,80 674,541 507,353,4 605
Boumerdes,47 138,113 741,48 168,158 593,1 535,944
El Tarf,102 850,53 972,73 202,11 098,2 400,2 071
Tindouf,22 542,6 615,13 963,-,-,-
Tissemsilt,35 441,88 253,28 455,13 638,443,2 642
El Oued,149 000,54 700,35 500,8 064,42,64
Khenchela,55 979,19 715,48 434,14 130,569,6 240
Souk Ahras,264 615,125 582,112 180,40 612,420,4 514
Tipaza,23 440,145 926,30 394,100 976,3 682,795
Mila,155 649,216 237,132 332,157 684,1 380,3 408
Ain Defla,69 430,186 354,66 856,119 999,1 348,2 510
Naama,188 793,11 520,76 282,360,309,13 538
Ain Temouchent,46 032,87 989,73 735,14 544,391,2 889
Ghardaia,45 135,2 536,25 190,-,58,6 000
Relizane,70 160,95 277,82 157,218 176,903,6 032
Total,5 439 024,5 298 067,3 521 210,6 570 417,61 235,382 381
