0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2019
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (7/7),,,,,,
,,,Total,,,
WILAYA,,Superficie (ha),,Production,,Rdt
,Complantée,,En rapport,(Qx),,qx/ha
1 ADRAR,,540,0,,0,"0,0"
2 CHLEF,,3 065,2 556,,279 345,"109,3"
3 LAGHOUAT,,3 407,3 272,,133 757,"40,9"
4 O.E.BOUAGHI,,1 012,803,,93 270,"116,2"
5 BATNA,,10 845,9 788,,1 611 728,"164,7"
6 BEJAIA,,3 726,3 634,,161 036,"44,3"
7 BISKRA,,5 052,4 215,,193 538,"45,9"
8 BECHAR,,502,479,,36 277,"75,7"
9 BLIDA,,8 614,7 934,,1 491 925,"188,0"
10 BOUIRA,,3 870,3 265,,76 479,"23,4"
11 TAMANRASSET,,485,422,,9 580,"22,7"
12 TEBESSA,,2 496,2 244,,65 621,"29,2"
13 TLEMCEN,,17 265,15 407,,808 401,"52,5"
14 TIARET,,8 003,6 851,,298 620,"43,6"
15 TIZI-OUZOU,,2 473,2 123,,257 694,"121,4"
16 ALGER,,4 990,4 492,,629 985,"140,3"
17 DJELFA,,7 191,6 425,,674 830,"105,0"
18 JIJEL,,1 316,1 176,,152 695,"129,8"
19 SETIF,,8 421,6 902,,174 391,"25,3"
20 SAIDA,,2 062,1 718,,54 666,"31,8"
21 SKIKDA,,6 613,5 803,,750 712,"129,4"
22 S.B.ABBES,,9 214,6 416,,325 888,"50,8"
23 ANNABA,,989,762,,104 928,"137,7"
24 GUELMA,,2 483,2 163,,271 336,"125,4"
25 CONSTANTINE,,974,745,,109 821,"147,5"
26 MEDEA,,11 191,9 520,,824 859,"86,6"
27 MOSTAGANEM,,7 487,7 036,,682 974,"97,1"
28 M'SILA,,7 003,5 412,,347 043,"64,1"
29 MASCARA,,3 310,2 343,,120 200,"51,3"
30 OUARGLA,,291,235,,8 691,"37,0"
31 ORAN,,2 624,1 860,,71 690,"38,5"
32 EL-BAYADH,,1 243,1 203,,66 350,"55,2"
33 ILLIZI,,83,54,,1 711,"31,8"
34 B.B.ARRERIDJ,,2 648,2 591,,59 899,"23,1"
35 BOUMERDES,,1 784,1 416,,243 548,"172,1"
36 EL-TARF,,2 137,1 495,,204 041,"136,5"
37 TINDOUF,,5,0,,0,"0,0"
38 TISSEMSILT,,9 336,7 152,,319 909,"44,7"
39 EL-OUED,,823,812,,52 110,"64,2"
40 KHENCHELA,,8 253,6 675,,1 604 967,"240,4"
41 SOUK-AHRAS,,7 025,6 823,,659 212,"96,6"
42 TIPAZA,,6 952,6 369,,912 328,"143,2"
43 MILA,,2 155,1 962,,119 729,"61,0"
44 AIN-DEFLA,,7 774,6 603,,979 783,"148,4"
45 NAAMA,,474,439,,20 806,"47,4"
46 A.TEMOUCHENT,,5 268,5 197,,123 747,"23,8"
47 GHARDAIA,,1 025,856,,59 442,"69,4"
48 RELIZANE,,2 075,2 038,,210 973,"103,5"
TOTAL ALGERIE,,206 569,177 681,,16 460 532,"92,6"
