0,1,2,3,4,5,6,7,8
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,SERIE B 2016
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (6/7),,,,,,,,
,,Prunes,,,,Autres noyaux ou à pépins,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,199,199,19 790,"99,4",70,70,8 400,"0,0"
3 LAGHOUAT,270,242,7 744,"32,0",0,0,0,"0,0"
4 O.E.BOUAGHI,57,53,700,"13,3",181,31,1 031,"33,8"
5 BATNA,216,211,18 872,"89,4",260,192,17 885,"93,3"
6 BEJAIA,356,350,14 710,"42,0",89,87,2 580,"29,6"
7 BISKRA,46,46,1 581,"34,7",0,0,0,"0,0"
8 BECHAR,14,8,325,"40,6",0,0,0,"0,0"
9 BLIDA,565,542,60 779,"112,2",822,641,84 125,"131,3"
10 BOUIRA,195,158,5 287,"33,5",66,66,971,"14,7"
11 TAMANRASSET,33,16,1 060,"64,6",0,0,0,"0,0"
12 TEBESSA,44,40,880,"22,0",9,7,80,"11,4"
13 TLEMCEN,2 232,1 614,161 400,"100,0",71,50,536,"10,7"
14 TIARET,1 439,516,11 352,"22,0",30,22,13,"0,6"
15 TIZI-OUZOU,439,402,35 351,"88,0",12,11,157,"14,0"
16 ALGER,304,268,20 805,"77,5",263,162,10 215,"63,1"
17 DJELFA,256,193,34 450,"178,5",130,88,11 000,"125,0"
18 JIJEL,335,271,22 138,"81,8",134,80,2 218,"27,6"
19 SETIF,206,199,8 368,"42,1",748,707,9 149,"12,9"
20 SAIDA,101,93,3 747,"40,5",141,68,768,"11,3"
21 SKIKDA,725,631,95 820,"151,9",684,681,19 710,"28,9"
22 S.B.ABBES,927,849,61 786,"72,8",33,33,63,"1,9"
23 ANNABA,155,142,17 298,"122,2",9,8,303,"37,9"
24 GUELMA,374,331,33 334,"100,7",272,265,40 918,"154,7"
25 CONSTANTINE,113,104,5 151,"49,6",121,93,12 127,"131,1"
26 MEDEA,1 933,1 518,75 921,"50,0",21,21,276,"0,0"
27 MOSTAGANEM,894,879,62 558,"71,2",15,15,41,"0,0"
28 M'SILA,740,560,36 400,"65,0",0,0,0,"0,0"
29 MASCARA,621,569,17 674,"31,1",78,16,2 160,"0,0"
30 OUARGLA,21,12,822,"66,5",0,0,0,"0,0"
31 ORAN,216,104,1 581,"15,3",0,0,0,"0,0"
32 EL-BAYADH,84,77,4 552,"58,9",7,0,0,"0,0"
33 ILLIZI,0,0,10,"0,0",0,0,0,"0,0"
34 B.B.ARRERIDJ,192,192,5 393,"28,2",1 497,1 497,14 061,"9,4"
35 BOUMERDES,301,294,26 460,"90,0",30,24,2 880,"0,0"
36 EL-TARF,304,233,17 200,"73,9",124,103,10 665,"103,5"
37 TINDOUF,0,0,0,"0,0",0,0,0,"0,0"
38 TISSEMSILT,350,350,6 300,"18,0",0,0,0,"0,0"
39 EL-OUED,0,0,0,"0,0",0,0,0,"0,0"
40 KHENCHELA,622,541,21 419,"39,6",97,93,1 489,"16,0"
41 SOUK-AHRAS,297,295,16 701,"56,6",6 639,6 639,754 465,"113,6"
42 TIPAZA,808,763,27 460,"36,0",48,32,4 602,"143,8"
43 MILA,60,55,2 503,"45,5",39,31,1 400,"44,8"
44 AIN-DEFLA,595,565,22 600,"40,0",70,65,7 466,"0,0"
45 NAAMA,464,165,3 673,"22,3",0,0,0,"0,0"
46 A.TEMOUCHENT,907,907,17 230,"19,0",7,7,490,"0,0"
47 GHARDAIA,24,15,1 408,"93,9",0,0,0,"0,0"
48 RELIZANE,244,244,16 325,"66,9",0,0,0,"0,0"
TOTAL ALGERIE,19 274,15 812,1 026 918,"64,9",12 814,11 904,1 022 244,"85,9"
