0,1,2,3,4,5
Direction des Systèmes d’Information des Statistiques et de la Prospective,,,,,SERIE B 2017
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (7/7),,,,,
,,Total,,,
WILAYA,Superficie (ha),,Production,,Rdt
,Complantée,En rapport,(Qx),,qx/ha
1 ADRAR,0,0,,0,"0,0"
2 CHLEF,2 677,2 416,,144 582,"59,8"
3 LAGHOUAT,3 744,3 744,,137 855,"36,8"
4 O.E.BOUAGHI,982,781,,18 634,"23,9"
5 BATNA,10 425,9 456,,1 160 117,"122,7"
6 BEJAIA,3 941,3 876,,185 505,"47,9"
7 BISKRA,3 019,2 602,,117 991,"45,3"
8 BECHAR,496,418,,31 405,"75,1"
9 BLIDA,9 239,9 088,,1 738 797,"191,3"
10 BOUIRA,4 025,3 323,,75 834,"22,8"
11 TAMANRASSET,363,294,,20 241,"68,8"
12 TEBESSA,2 496,2 394,,67 906,"28,4"
13 TLEMCEN,19 867,16 601,,905 346,"54,5"
14 TIARET,15 157,7 983,,291 020,"36,5"
15 TIZI-OUZOU,2 345,2 158,,275 900,"127,8"
16 ALGER,4 937,4 371,,582 545,"133,3"
17 DJELFA,6 467,6 147,,604 040,"98,3"
18 JIJEL,2 648,2 310,,173 698,"75,2"
19 SETIF,8 311,6 583,,175 854,"26,7"
20 SAIDA,2 080,1 676,,62 347,"37,2"
21 SKIKDA,6 554,5 800,,740 000,"127,6"
22 S.B.ABBES,7 682,6 316,,316 011,"50,0"
23 ANNABA,917,770,,93 190,"121,1"
24 GUELMA,2 649,2 409,,244 523,"101,5"
25 CONSTANTINE,1 325,1 255,,121 647,"96,9"
26 MEDEA,16 151,12 094,,581 078,"48,0"
27 MOSTAGANEM,7 307,6 952,,690 975,"99,4"
28 M'SILA,11 048,9 411,,670 280,"71,2"
29 MASCARA,3 148,2 704,,135 600,"50,1"
30 OUARGLA,280,223,,7 759,"34,8"
31 ORAN,2 802,1 689,,62 120,"36,8"
32 EL-BAYADH,1 224,1 124,,64 192,"57,1"
33 ILLIZI,83,53,,1 688,"31,6"
34 B.B.ARRERIDJ,4 497,4 123,,62 259,"15,1"
35 BOUMERDES,1 811,1 668,,251 004,"150,5"
36 EL-TARF,2 178,1 808,,184 900,"102,3"
37 TINDOUF,5,0,,0,"0,0"
38 TISSEMSILT,9 247,7 066,,184 612,"26,1"
39 EL-OUED,819,801,,50 560,"63,1"
40 KHENCHELA,12 229,9 706,,1 233 772,"127,1"
41 SOUK-AHRAS,2 730,2 459,,53 286,"21,7"
42 TIPAZA,6 815,6 401,,880 707,"137,6"
43 MILA,2 079,1 949,,118 957,"61,0"
44 AIN-DEFLA,11 751,9 506,,1 125 966,"118,5"
45 NAAMA,3 530,1 307,,50 649,"38,8"
46 A.TEMOUCHENT,5 212,5 194,,121 820,"23,5"
47 GHARDAIA,1 100,829,,58 224,"70,3"
48 RELIZANE,3 530,3 480,,296 044,"85,1"
TOTAL ALGERIE,231 917,193 314,,15 171 437,"78,5"
