0,1,2,3,4
WILAYA,Jachères,Jachères   paturées,Jachères  travaillées au,TOTAL
,fauchées,,printemps,Jachères
,ha,ha,(ha),ha
1 ADRAR,0,1 653,0,1 653
2 CHLEF,965,25 646,26 488,53 099
3 LAGHOUAT,0,27 468,0,27 468
4 O.E.BOUAGHI,10 480,108 030,19 905,138 415
5 BATNA,42 367,161 433,16 310,220 110
6 BEJAIA,10 931,29 251,2 305,42 488
7 BISKRA,0,57 222,23 783,81 006
8 BECHAR,0,18 429,0,18 429
9 BLIDA,3 588,2 964,400,6 952
10 BOUIRA,600,50 355,10 382,61 337
11 TAMANRASSET,0,0,0,0
12 TEBESSA,0,87 695,7 509,95 204
13 TLEMCEN,0,26 305,53 865,80 170
14 TIARET,0,139 032,143 281,282 313
15 TIZI-OUZOU,14 299,6 526,240,21 066
16 ALGER,0,3 486,0,3 486
17 DJELFA,0,299 682,0,299 682
18 JIJEL,7 353,6 368,0,13 721
19 SETIF,12 627,39 281,42 219,94 126
20 SAIDA,0,125 063,32 734,157 797
21 SKIKDA,10 700,12 153,3 028,25 881
22 S.B.ABBES,0,40 964,92 520,133 484
23 ANNABA,2 705,7 592,1 049,11 345
24 GUELMA,17 890,38 287,4 050,60 227
25 CONSTANTINE,220,7 754,11 132,19 106
26 MEDEA,2 760,94 661,51 551,148 972
27 MOSTAGANEM,0,1 535,0,1 535
28 M'SILA,0,174 342,0,174 342
29 MASCARA,8 025,66 652,6 379,81 056
30 OUARGLA,0,22 689,0,22 689
31 ORAN,0,8 567,1 066,9 632
32 EL-BAYADH,0,61 857,0,61 857
33 ILLIZI,0,229,0,229
34 B.B.ARRERIDJ,7 447,0,64 902,72 349
35 BOUMERDES,2 325,1 598,2 285,6 208
36 EL-TARF,9 000,9 908,0,18 908
37 TINDOUF,0,52,0,52
38 TISSEMSILT,8 000,0,31 591,39 591
39 EL-OUED,0,0,7 200,7 200
40 KHENCHELA,130,111 114,0,111 244
41 SOUK-AHRAS,11 024,26 049,36 010,73 083
42 TIPAZA,2 069,2 687,0,4 756
43 MILA,14 971,36 575,41 610,93 156
44 AIN-DEFLA,3 488,24 368,6 875,34 731
45 NAAMA,0,17 461,0,17 461
46 A.TEMOUCHENT,50,0,12 958,13 008
47 GHARDAIA,0,34 552,0,34 552
48 RELIZANE,4 985,27 113,35 210,67 308
TOTAL ALGERIE,208 999,2 044 646,788 836,3 042 481
