0,1,2,3,4,5,6,7,8,9,10,11
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,,,,,,,SERIE B 2016
ENSEMBLE DES CULTURES HERBACEES 2/2,,,,,,,,,,,
,,Cultures industrielles,,,Cultures  maraîchères,,Autres cultures,,,TOTAL CULTURES,
WILAYA,,,,,,,,,,HERBACEES,
,ha,,%,ha,,%,ha,%,,ha,%
1 ADRAR,,1 221,"6,6",,4 743,"25,7",163,,"0,9",18 463,"0,4"
2 CHLEF,,906,"0,8",,8 967,"7,5",0,,"0,0",119 809,"2,7"
3 LAGHOUAT,,0,"0,0",,9 987,"31,2",0,,"0,0",31 995,"0,7"
4 O.E.BOUAGHI,,1 159,"0,5",,2 565,"1,1",0,,"0,0",228 358,"5,2"
5 BATNA,,193,"0,1",,10 398,"5,5",0,,"0,0",189 673,"4,3"
6 BEJAIA,,128,"0,9",,3 475,"25,3",310,,"2,3",13 741,"0,3"
7 BISKRA,,1 349,"2,4",,20 401,"35,9",0,,"0,0",56 810,"1,3"
8 BECHAR,,52,"1,1",,2 715,"60,0",0,,"0,0",4 526,"0,1"
9 BLIDA,,3,"0,0",,4 856,"35,0",3,,"0,0",13 891,"0,3"
10 BOUIRA,,0,"0,0",,7 882,"9,0",0,,"0,0",87 950,"2,0"
11 TAMANRASSET,,0,"0,0",,1 359,"55,7",0,,"0,0",2 440,"0,1"
12 TEBESSA,,0,"0,0",,3 975,"2,0",0,,"0,0",203 175,"4,6"
13 TLEMCEN,,0,"0,0",,16 746,"7,9",0,,"0,0",212 649,"4,9"
14 TIARET,,0,"0,0",,10 310,"2,7",0,,"0,0",388 674,"8,9"
15 TIZI-OUZOU,,0,"0,0",,6 285,"23,1",0,,"0,0",27 173,"0,6"
16 ALGER,,0,"0,0",,8 833,"67,1",25,,"0,2",13 165,"0,3"
17 DJELFA,,4,"0,0",,8 956,"8,7",0,,"0,0",103 184,"2,4"
18 JIJEL,,121,"1,6",,5 859,"76,6",0,,"0,0",7 650,"0,2"
19 SETIF,,1 031,"0,5",,10 667,"4,7",0,,"0,0",228 893,"5,2"
20 SAIDA,,0,"0,0",,5 385,"4,6",0,,"0,0",115 854,"2,6"
21 SKIKDA,,7 985,"9,8",,20 337,"24,9",0,,"0,0",81 584,"1,9"
22 S.B.ABBES,,21,"0,0",,4 677,"2,4",0,,"0,0",192 667,"4,4"
23 ANNABA,,1 833,"6,6",,9 610,"34,4",0,,"0,0",27 947,"0,6"
24 GUELMA,,5 025,"4,4",,10 099,"8,9",0,,"0,0",113 966,"2,6"
25 CONSTANTINE,,0,"0,0",,4 068,"4,8",0,,"0,0",83 885,"1,9"
26 MEDEA,,0,"0,0",,6 800,"4,9",0,,"0,0",139 204,"3,2"
27 MOSTAGANEM,,160,"0,2",,23 135,"22,8",0,,"0,0",101 470,"2,3"
28 M'SILA,,0,"0,0",,10 100,"10,0",0,,"0,0",101 300,"2,3"
29 MASCARA,,60,"0,0",,27 157,"13,6",0,,"0,0",200 031,"4,6"
30 OUARGLA,,367,"5,1",,3 828,"53,1",0,,"0,0",7 205,"0,2"
31 ORAN,,0,"0,0",,4 064,"6,3",0,,"0,0",64 894,"1,5"
32 EL-BAYADH,,367,"0,0",,2 083,"17,8",0,,"0,0",11 718,"0,3"
33 ILLIZI,,0,"0,0",,208,"51,4",0,,"0,0",404,"0,0"
34 B.B.ARRERIDJ,,0,"0,0",,2 056,"2,2",5,,"0,0",94 935,"2,2"
35 BOUMERDES,,26,"0,1",,19 099,"54,3",75,,"0,2",35 167,"0,8"
36 EL-TARF,,5 970,"16,3",,8 761,"23,9",0,,"0,0",36 712,"0,8"
37 TINDOUF,,0,"0,0",,148,"78,2",0,,"0,0",189,"0,0"
38 TISSEMSILT,,0,"0,0",,753,"0,9",0,,"0,0",79 835,"1,8"
39 EL-OUED,,3 350,"7,1",,34 000,"72,0",0,,"0,0",47 207,"1,1"
40 KHENCHELA,,0,"0,0",,4 310,"3,6",0,,"0,0",119 012,"2,7"
41 SOUK-AHRAS,,65,"0,0",,4 544,"3,3",0,,"0,0",139 322,"3,2"
42 TIPAZA,,350,"0,9",,11 756,"30,2",10,,"0,0",38 935,"0,9"
43 MILA,,61,"0,0",,5 331,"4,2",0,,"0,0",126 475,"2,9"
44 AIN-DEFLA,,496,"0,4",,28 180,"23,7",0,,"0,0",119 019,"2,7"
45 NAAMA,,0,"0,0",,1 640,"21,9",0,,"0,0",7 501,"0,2"
46 A.TEMOUCHENT,,0,"0,0",,9 536,"6,9",0,,"0,0",137 856,"3,2"
47 GHARDAIA,,651,"4,5",,4 235,"29,3",0,,"0,0",14 434,"0,3"
48 RELIZANE,,89,"0,0",,20 594,"11,2",0,,"0,0",184 177,"4,2"
TOTAL ALGERIE,,33 041,"0,8",,435 469,"10,0",591,,"0,0",4 375 119,100
