0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2018
"III)- OLIVIERS, OLIVES ET HUILES 2/2",,,,,,
,,Production d'olive,,Rendement,Production,Rendement
WILAYA,pour la conserve,pour l'huile,Total Prod.  Olives,d'olive,d'huile,d'huile
,Qx,Qx,Qx,Kg/arbre,Hl,Litres/quintal
1 ADRAR,0,0,0,0,0,0
2 CHLEF,26 627,32 489,59 116,"14,5",3 509,"10,8"
3 LAGHOUAT,31 416,20 943,52 359,"24,0",2 625,"12,5"
4 O.E.BOUAGHI,1 947,12 261,14 208,"12,5",1 836,"15,0"
5 BATNA,168 130,221 021,389 150,"25,0",35 271,"16,0"
6 BEJAIA,670,986 851,987 521,"22,7",181 363,"18,4"
7 BISKRA,112 518,48 222,160 740,"24,0",6 269,"13,0"
8 BECHAR,4 395,3 885,8 280,"7,0",222,"5,7"
9 BLIDA,25 308,38 108,63 416,"23,8",6 641,"17,4"
10 BOUIRA,3 663,384 930,388 593,"15,3",63 513,"16,5"
11 TAMANRASSET,0,0,0,0,0,0
12 TEBESSA,9 400,59 600,69 000,"7,8",10 185,"17,1"
13 TLEMCEN,292 000,438 000,730 000,"35,4",78 840,"18,0"
14 TIARET,33 000,21 800,54 800,"10,0",2 616,"12,0"
15 TIZI-OUZOU,0,760 500,760 500,"25,2",134 100,"17,6"
16 ALGER,2 312,3 561,5 873,"18,3",581,"16,3"
17 DJELFA,37 910,243 890,281 800,"14,8",36 753,"15,1"
18 JIJEL,222,261 910,262 132,"19,9",48 520,"18,5"
19 SETIF,151,300 217,300 369,"14,1",53 539,"17,8"
20 SAIDA,108 178,35 021,143 199,"23,5",3 881,"11,1"
21 SKIKDA,0,217 810,217 810,"16,9",34 800,"16,0"
22 S.B.ABBES,223 777,59 494,283 271,"45,6",8 330,"14,0"
23 ANNABA,2 138,12 442,14 580,"19,2",2 169,"17,4"
24 GUELMA,0,79 486,79 486,"15,8",14 292,"18,0"
25 CONSTANTINE,5 643,5 107,10 750,"8,2",736,"14,4"
26 MEDEA,12 283,70 520,82 803,"28,0",9 707,"13,8"
27 MOSTAGANEM,209 945,0,209 945,"25,2",0,0
28 M'SILA,41 050,127 320,168 370,"11,9",19 100,"15,0"
29 MASCARA,788 900,22 400,811 300,"56,3",2 900,"12,9"
30 OUARGLA,3 731,3 860,7 591,"20,5",574,"14,9"
31 ORAN,155 039,14 036,169 075,"15,9",2 341,"16,7"
32 EL-BAYADH,2 078,10 600,12 678,"9,2",1 565,"14,8"
33 ILLIZI,38,0,38,"0,9",0,0
34 B.B.ARRERIDJ,15 678,131 941,147 619,"9,3",21 863,"16,6"
35 BOUMERDES,1 603,138 277,139 880,"16,6",23 603,"17,1"
36 EL-TARF,11 715,37 260,48 975,"17,8",4 704,"12,6"
37 TINDOUF,0,0,0,"0,0",0,0
38 TISSEMSILT,11 496,34 445,45 941,"13,0",5 167,"15,0"
39 EL-OUED,20 520,24 600,45 120,"6,4",3 200,"13,0"
40 KHENCHELA,1 770,64 357,66 127,"12,2",9 730,"15,1"
41 SOUK-AHRAS,10 659,279 209,289 868,"37,6",3 530,"1,3"
42 TIPAZA,27 901,90 623,118 524,"29,8",16 131,"17,8"
43 MILA,14 459,95 154,109 613,"15,6",15 576,"16,4"
44 AIN-DEFLA,80 019,90 911,170 930,"21,4",16 747,"18,4"
45 NAAMA,1 210,7 138,8 348,"5,0",916,"12,8"
46 A.TEMOUCHENT,86 917,75 133,162 050,"22,7",9 767,"13,0"
47 GHARDAIA,21 136,4 500,25 636,"13,3",450,"10,0"
48 RELIZANE,425 310,5 150,430 460,"44,7",211,"4,1"
TOTAL ALGERIE,3 032 862,5 574 982,8 607 844,"21,7",898 375,"16,1"
