0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2018
IX-FOURRAGES ARTIFICIELS (1/4),,,,,,
,,FOURRAGES CONSOMMES EN SEC,,,,
,,VESCE AVOINE,,,LUZERNE,
WILAYA,Sup.,Prod.,Rdt,Sup.,Prod.,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha
1 ADRAR,0,0,0,0,0,0
2 CHLEF,12 285,593 200,"48,3",0,0,0
3 LAGHOUAT,855,38 476,"45,0",1 324,59 626,"45,0"
4 O.E.BOUAGHI,60,4 200,"70,0",0,0,0
5 BATNA,0,0,0,5 322,1 190 070,"223,6"
6 BEJAIA,"1 328,00","40 669,00","30,6",0,0,0
7 BISKRA,10,1 000,"100,0",225,35 000,"155,6"
8 BECHAR,0,0,0,0,0,0
9 BLIDA,282,16 066,"57,0",0,0,0
10 BOUIRA,30,1 161,"38,7",0,0,0
11 TAMANRASSET,0,0,0,0,0,0
12 TEBESSA,0,0,0,1 255,389 050,"310,0"
13 TLEMCEN,1 450,52 200,"36,0",50,10 000,"200,0"
14 TIARET,79,3 228,"40,9",0,0,0
15 TIZI-OUZOU,200,5 549,"27,7",0,263,0
16 ALGER,574,34 495,"60,1",0,0,0
17 DJELFA,0,0,0,0,0,0
18 JIJEL,9,360,"40,0",0,0,0
19 SETIF,543,23 730,"43,7",0,0,0
20 SAIDA,2 275,122 405,"53,8",0,0,0
21 SKIKDA,4 535,136 050,"30,0",0,0,0
22 S.B.ABBES,6 590,256 022,"38,9",0,0,0
23 ANNABA,642,39 710,"61,9",0,0,0
24 GUELMA,338,21 295,"63,0",2,800,"400,0"
25 CONSTANTINE,664,29 273,"44,1",0,0,0
26 MEDEA,4 837,303 835,"62,8",1 123,78 525,"70,0"
27 MOSTAGANEM,2 179,50 838,"23,3",0,0,0
28 M'SILA,250,5 000,"20,0",0,0,0
29 MASCARA,0,0,0,0,0,0
30 OUARGLA,0,0,0,0,0,0
31 ORAN,0,0,0,0,0,0
32 EL-BAYADH,0,0,0,5,540,"108,0"
33 ILLIZI,0,0,0,0,0,0
34 B.B.ARRERIDJ,50,2 800,"56,0",0,0,0
35 BOUMERDES,0,0,0,0,0,0
36 EL-TARF,112,9 430,"84,2",0,0,0
37 TINDOUF,0,0,0,0,0,0
38 TISSEMSILT,730,21 799,"29,9",0,0,0
39 EL-OUED,0,0,0,0,0,0
40 KHENCHELA,53,1 820,"34,3",0,0,0
41 SOUK-AHRAS,11 989,262 506,"21,9",0,0,0
42 TIPAZA,1 321,70 160,"53,1",0,0,0
43 MILA,956,56 606,"59,2",0,0,0
44 AIN-DEFLA,4 821,157 782,"32,7",0,0,0
45 NAAMA,0,0,0,0,0,0
46 A.TEMOUCHENT,0,0,0,0,0,0
47 GHARDAIA,0,0,0,0,0,0
48 RELIZANE,367,17 055,"46,5",0,0,0
TOTAL ALGERIE,60 413,2 378 720,"39,4",9 305,1 763 874,"189,6"
