0,1,2,3,4,5
Direction des Statistiques Agricoles et des Systèmes d'Information,,,,,SERIE B 2017
XIII-FIGUIERS (1/2),,,,,
,EN MASSE,,ISOLES,TOTAL,FIGUIERS
WILAYA,Superficie (ha),Nombre,Nombre,Nombre,EN RAPPORT
1 ADRAR,0,0,0,0,0
2 CHLEF,1 136,108 446,31 565,140 011,111 520
3 LAGHOUAT,201,0,0,0,0
4 O.E.BOUAGHI,45,5 950,370,6 320,4 645
5 BATNA,188,16 885,35 935,52 820,50 597
6 BEJAIA,10 143,871 928,97 627,969 555,955 362
7 BISKRA,464,84 549,225 326,309 875,399 335
8 BECHAR,58,13 238,6 248,19 486,0
9 BLIDA,687,99 514,12 063,111 577,100 686
10 BOUIRA,1 909,214 017,42 951,256 968,240 613
11 TAMANRASSET,30,2 250,0,2 250,2 250
12 TEBESSA,223,15 700,13 300,29 000,26 391
13 TLEMCEN,378,37 800,0,37 800,22 600
14 TIARET,1 093,218 000,11 027,229 027,110 673
15 TIZI-OUZOU,5 855,771 391,63 873,835 264,756 576
16 ALGER,59,8 710,150,8 860,6 710
17 DJELFA,216,54 000,0,54 000,54 000
18 JIJEL,108,11 090,91 760,102 850,94 474
19 SETIF,5 044,469 409,127 991,597 400,620 912
20 SAIDA,114,16 500,1 045,17 545,16 100
21 SKIKDA,528,46 133,28 268,74 401,56 368
22 S.B.ABBES,259,29 363,1 860,31 223,25 501
23 ANNABA,49,6 090,25 370,31 460,21 620
24 GUELMA,184,14 570,13 400,27 970,25 662
25 CONSTANTINE,31,4 000,3 137,7 137,6 047
26 MEDEA,1 241,147 083,20 920,168 003,139 702
27 MOSTAGANEM,1 153,193 300,0,193 300,191 900
28 M'SILA,500,50 000,10 000,60 000,47 000
29 MASCARA,440,38 000,13 000,51 000,439
30 OUARGLA,1,140,14 308,14 448,11 392
31 ORAN,344,46 160,3 883,50 043,41 663
32 EL-BAYADH,77,9 259,18 285,27 544,24 944
33 ILLIZI,21,1 100,1 000,2 100,1 300
34 B.B.ARRERIDJ,2 139,163 806,31 295,195 101,187 918
35 BOUMERDES,998,62 058,40 529,102 587,99 062
36 EL-TARF,120,8 965,5 450,14 415,10 766
37 TINDOUF,10,1 300,0,1 300,0
38 TISSEMSILT,810,68 726,3 301,72 027,84 312
39 EL-OUED,0,0,4 980,4 980,4 050
40 KHENCHELA,1 073,166 000,1 071,167 071,131 247
41 SOUK-AHRAS,350,35 000,5 290,40 290,34 400
42 TIPAZA,577,55 786,21 702,77 488,75 932
43 MILA,212,21 500,6 525,28 025,28 015
44 AIN-DEFLA,323,31 950,38 535,70 485,67 228
45 NAAMA,152,18 899,18 480,37 379,12 902
46 A.TEMOUCHENT,610,86 950,32 000,118 950,116 572
47 GHARDAIA,220,0,92 550,92 550,74 000
48 RELIZANE,562,33 624,37 485,71 109,64 309
TOTAL ALGERIE,40 932,4 359 139,1 253 855,5 612 994,5 157 695
