0,1,2,3,4
WILAYA,Deglet nour (Dattes,Ghers  et Analogues,Degla Beida et Analogues,Total  Palmier-dattier
,fines),(Dattes molles),(Dattes  sèches),
,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre,Nbre d'arbre
1 ADRAR,0,0,2 830 575,2 830 575
3 LAGHOUAT,9 240,12 744,11 436,33 420
5 BATNA,8 298,7 453,8 774,24 525
7 BISKRA,2 454 336,531 949,1 071 009,4 057 294
8 BECHAR,0,801 444,174 493,975 937
11 TAMANRASSET,0,243 789,171 219,415 008
12 TEBESSA,20 750,18 350,0,39 100
17 DJELFA,6 300,2 300,800,9 400
28 M'SILA,,,,0
30 OUARGLA,1 138 895,881 121,137 011,2 157 027
32 EL-BAYADH,2 100,8 000,11 600,21 700
33 ILLIZI,2 362,27 970,22 675,53 007
37 TINDOUF,0,33 138,1 306,34 444
39 EL-OUED,2 414 800,703 800,617 200,3 735 800
40 KHENCHELA,44 300,62 100,11 342,117 742
45 NAAMA,583,9 198,0,9 781
47 GHARDAIA,464 367,175 687,483 792,1 123 846
TOTAL ALGERIE,6 566 331,3 519 043,5 553 232,15 638 606
