0,1,2,3,4,5,6,7
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,SERIE B 2019
VIII-ANIMAUX D'ELEVAGE (2/4),,,,,,,
,,,,E S P E C E      O V I N E,,,
WILAYA,Brebis,Béliers,Antenaise,Antenais,Agneaux,Agnelles,TOTAL
,,,(10 à 18  mois),(10 à 18  mois),-10 mois,-  10 mois,
1 ADRAR,178 692,66 278,62 630,73 391,79 090,72 360,532 441
2 CHLEF,120 740,10 287,17 085,26 110,39 104,37 934,251 260
3 LAGHOUAT,1 580 300,57 068,53 496,19 353,87 440,187 493,1 985 150
4 O.E.BOUAGHI,357 755,17 263,54 894,46 755,71 085,90 664,638 416
5 BATNA,638 423,22 996,126 876,73 688,127 390,147 988,1 137 361
6 BEJAIA,35 571,4 850,13 428,12 115,15 733,14 686,96 383
7 BISKRA,720 700,26 591,100 568,49 042,104 089,163 910,1 164 900
8 BECHAR,218 925,39 743,8 476,7 811,5 626,4 789,285 370
9 BLIDA,12 570,3 225,3 269,3 046,2 944,2 571,27 625
10 BOUIRA,168 086,13 282,25 888,28 754,26 024,24 587,286 621
11 TAMANRASSET,40 938,8 314,14 642,10 369,5 915,5 222,85 400
12 TEBESSA,650 000,36 000,31 000,23 000,105 000,115 000,960 000
13 TLEMCEN,540 000,20 000,50 000,25 000,27 000,18 000,680 000
14 TIARET,1 960 416,61 590,108 871,93 712,87 501,86 139,2 398 229
15 TIZI-OUZOU,48 078,6 971,12 559,13 069,18 174,17 562,116 413
16 ALGER,8 141,2 767,2 894,3 231,4 840,3 471,25 344
17 DJELFA,2 074 000,69 100,315 200,210 230,354 600,432 870,3 456 000
18 JIJEL,36 312,3 489,5 007,4 847,5 167,5 381,60 203
19 SETIF,271 060,14 109,47 171,34 197,38 876,45 440,450 853
20 SAIDA,726 800,50 383,49 320,32 175,51 596,60 726,971 000
21 SKIKDA,103 854,14 667,43 400,32 998,22 860,32 921,250 700
22 S.B.ABBES,795 000,11 153,31 943,25 567,22 564,20 773,907 000
23 ANNABA,42 500,2 460,3 440,3 284,4 951,5 304,61 939
24 GUELMA,275 762,11 604,39 517,39 453,60 318,79 980,506 634
25 CONSTANTINE,112 882,2 728,11 612,6 989,10 389,12 370,156 970
26 MEDEA,367 188,71 960,109 123,98 215,91 652,96 201,834 339
27 MOSTAGANEM,107 090,8 090,32 760,16 660,20 010,34 400,219 010
28 M'SILA,1 050 000,30 000,135 000,123 000,112 000,130 000,1 580 000
29 MASCARA,340 000,24 300,93 900,58 400,103 600,159 800,780 000
30 OUARGLA,67 839,9 816,12 797,8 649,20 077,26 699,145 877
31 ORAN,101 451,6 788,11 294,11 485,9 237,7 063,147 318
32 EL-BAYADH,1 360 000,120 000,251 500,242 650,197 000,209 250,2 380 400
33 ILLIZI,20 175,15 291,928,618,1 302,1 378,39 692
34 B.B.ARRERIDJ,219 796,12 243,25 807,21 046,39 020,42 249,360 161
35 BOUMERDES,13 569,7 012,3 759,3 697,3 813,3 549,35 399
36 EL-TARF,88 510,9 145,14 350,12 185,15 755,18 710,158 655
37 TINDOUF,24 244,2 086,3 755,2 503,4 172,4 955,41 715
38 TISSEMSILT,239 800,15 620,28 510,61 600,28 070,62 400,436 000
39 EL-OUED,343 400,17 170,113 440,132 348,75 622,56 720,738 700
40 KHENCHELA,325 670,36 199,18 831,18 339,25 943,34 139,459 121
41 SOUK-AHRAS,175 720,9 523,42 719,29 062,53 848,64 388,375 260
42 TIPAZA,21 635,4 597,4 934,2 933,4 596,6 217,44 912
43 MILA,176 312,28 621,30 833,29 751,23 463,23 682,312 662
44 AIN-DEFLA,92 992,14 469,25 611,20 378,35 466,29 182,218 098
45 NAAMA,1 085 733,46 670,94 654,79 891,147 953,165 596,1 620 497
46 A.TEMOUCHENT,103 425,8 973,16 038,12 338,16 279,21 651,178 704
47 GHARDAIA,175 000,18 950,38 985,35 860,45 250,50 955,365 000
48 RELIZANE,222 493,29 543,45 331,41 829,39 702,35 931,414 829
TOTAL ALGERIE,18 439 547,1 123 984,2 388 045,1 961 623,2 492 106,2 973 256,29 378 561
Antenaise: femelle âgée de + 9 mois n'ayant pas encore agnelé (mis-bas),,,,,,,
,,,,,,Animaux d’élevage,82
