0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2019
XIII-FIGUIERS (2/2),,,,,,
,Productions,Productions,Productions Totales,Rendement,Productions de Figues,
WILAYA,Consommées,Soumises,,,sèches,
,fraiches (qx),au séchage (qx),(qx),(kg/arbre),(qx),
1 ADRAR,0,0,0,,,0
2 CHLEF,55 130,6 130,61 260,"26,6",,1 226
3 LAGHOUAT,3 393,0,3 393,,,0
4 O.E.BOUAGHI,2 000,0,2 000,"65,6",,0
5 BATNA,17 203,1 924,19 127,"38,3",,330
6 BEJAIA,58 634,35 061,93 695,"13,0",,15 049
7 BISKRA,55 064,0,55 064,"17,0",,2 778
8 BECHAR,2 420,0,2 420,"12,5",,0
9 BLIDA,71 189,300,71 489,"71,3",,100
10 BOUIRA,20 293,2 302,22 594,"9,9",,929
11 TAMANRASSET,746,0,746,"26,1",,0
12 TEBESSA,3 200,0,3 200,"12,1",,0
13 TLEMCEN,13 245,1 437,14 682,"48,4",,2 818
14 TIARET,20 800,0,20 800,"20,8",,0
15 TIZI-OUZOU,75 034,31 117,106 151,"14,5",,10 968
16 ALGER,3 310,0,3 310,"24,4",,0
17 DJELFA,10 600,0,10 600,"20,3",,0
18 JIJEL,32 975,0,32 975,"51,2",,0
19 SETIF,95 627,28 449,124 076,"21,4",,10 683
20 SAIDA,6 952,0,6 952,"40,0",,0
21 SKIKDA,23 460,540,24 000,"41,3",,0
22 S.B.ABBES,7 635,0,7 635,"29,9",,0
23 ANNABA,9 172,0,9 172,"34,8",,0
24 GUELMA,17 799,0,17 799,"61,3",,0
25 CONSTANTINE,2 530,0,2 530,"54,2",,0
26 MEDEA,47 700,0,47 700,"36,0",,0
27 MOSTAGANEM,49 971,0,49 971,"26,0",,0
28 M'SILA,10 800,0,10 800,"27,3",,0
29 MASCARA,12 400,0,12 400,"26,2",,0
30 OUARGLA,1 970,0,1 970,"16,2",,0
31 ORAN,9 534,0,9 534,"22,2",,58
32 EL-BAYADH,6 100,0,6 100,"23,1",,0
33 ILLIZI,72,0,72,"5,6",,0
34 B.B.ARRERIDJ,17 611,2 746,20 357,"14,3",,954
35 BOUMERDES,22 502,1 736,24 238,"22,1",,0
36 EL-TARF,8 310,0,8 310,"74,5",,0
37 TINDOUF,0,0,0,"0,0",,0
38 TISSEMSILT,49 973,4 358,54 331,"63,4",,1 338
39 EL-OUED,990,0,990,"20,4",,0
40 KHENCHELA,28 218,5 319,33 537,"37,3",,1 815
41 SOUK-AHRAS,17 846,0,17 846,"45,0",,35
42 TIPAZA,33 839,2 425,36 264,"44,1",,485
43 MILA,12 575,0,12 575,"44,4",,0
44 AIN-DEFLA,15 467,643,16 110,"34,6",,493
45 NAAMA,2 324,0,2 324,"11,2",,0
46 A.TEMOUCHENT,18 503,0,18 503,"15,9",,0
47 GHARDAIA,11 926,0,11 926,"15,0",,0
48 RELIZANE,26 766,2 623,29 389,"42,0",,699
TOTAL ALGERIE,1 013 808,127 109,1 140 917,"23,5",,50 757
