0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
VII- ENSEMBLE DES CULTURES MARAÎCHERES (2/7),,,,,,,,,
(Y compris de primeur et sous serres),,,,,,,,,
,,AILS,,,MELONS PASTEQUES,,,CAROTTES,
WILAYA,Superficie,Production,Rdt,Superficie,Production,Rdt,Superficie,Production,Rdt
,(ha),(QX),qx/ha,(ha),(QX),qx/ha,(ha),(qx),qx/ha
1 ADRAR,162,8 100,"50,0",342,36 247,"105,8",677,89 498,"132,2"
2 CHLEF,52,4 120,"80,0",1 658,928 480,"560,0",40,20 000,"500,0"
3 LAGHOUAT,12,649,"54,1",788,160 282,"203,4",719,151 411,"210,6"
4 O.E.BOUAGHI,364,114 970,"315,9",393,187 870,"478,6",398,139 250,"349,9"
5 BATNA,784,136 810,"141,3",968,271 700,0,445,76 920,"172,9"
6 BEJAIA,135,7 242,"53,6",282,70 805,"251,3",5,954,"190,8"
7 BISKRA,847,78 600,"92,8",5 437,1 373 955,"252,7",1 238,147 122,"118,8"
8 BECHAR,130,5 800,"44,6",674,107 777,"159,9",164,20 602,"126,0"
9 BLIDA,35,3 771,"109,3",112,89 509,"799,2",248,50 440,"203,4"
10 BOUIRA,140,4 501,"32,3",342,118 468,"346,7",69,9 426,"136,6"
11 TAMANRASSET,37,2 167,"58,6",351,61 450,"175,3",118,13 639,"115,6"
12 TEBESSA,130,14 000,"107,7",90,27 800,"308,9",180,42 911,"238,4"
13 TLEMCEN,220,14 200,"64,5",3 721,865 640,"232,6",551,82 990,"150,6"
14 TIARET,50,2 670,"53,4",542,126 991,"234,2",200,7 237,"36,1"
15 TIZI-OUZOU,331,21 888,"66,2",1 538,427 686,"278,0",48,11 648,"242,7"
16 ALGER,0,0,0,175,81 245,"465,4",220,58 785,"267,2"
17 DJELFA,95,7 880,"82,9",213,31 440,"147,6",916,149 400,"163,1"
18 JIJEL,208,10 466,"50,3",530,138 623,"261,7",26,4 355,"170,8"
19 SETIF,215,11 292,"52,5",237,74 141,"312,4",664,103 080,"155,2"
20 SAIDA,94,7 118,"76,1",559,186 155,"333,0",717,239 112,"333,5"
21 SKIKDA,572,37 625,"65,8",1 810,1 161 528,"641,7",580,174 176,"300,5"
22 S.B.ABBES,58,1 600,"27,6",4 063,1 171 760,"288,4",210,46 288,"220,4"
23 ANNABA,8,960,"120,0",4 855,951 885,"196,1",229,32 510,"142,0"
24 GUELMA,259,17 305,"66,8",452,142 360,"315,0",6,1 500,"250,0"
25 CONSTANTINE,601,36 330,"60,4",1 126,211 225,"187,6",32,3 720,"116,3"
26 MEDEA,957,39 358,"41,1",276,40 535,"147,1",277,37 970,"137,1"
27 MOSTAGANEM,63,2 680,"42,5",2 217,711 249,"320,8",528,174 833,"331,1"
28 M'SILA,600,42 600,"71,0",284,74 300,"261,6",2 400,978 000,"407,5"
29 MASCARA,19,800,"42,1",2 357,1 251 100,"530,9",370,102 830,"277,9"
30 OUARGLA,150,9 821,"65,7",2 210,946 974,"428,5",146,28 860,"197,7"
31 ORAN,7,298,"44,1",1 142,304 084,"266,3",19,2 670,"140,5"
32 EL-BAYADH,57,3 420,"60,0",203,98 460,"485,0",218,47 615,"218,4"
33 ILLIZI,0,0,0,54,7 502,"138,5",29,3 126,"107,9"
34 B.B.ARRERIDJ,126,6 113,"48,5",231,32 120,"139,0",43,5 091,"118,4"
35 BOUMERDES,247,13 860,"56,1",1 911,589 470,"308,5",555,116 005,"209,0"
36 EL-TARF,78,6 100,"78,2",1 981,829 480,"418,7",0,0,0
37 TINDOUF,2,105,"70,0",57,26 466,"464,3",4,1 000,"250,0"
38 TISSEMSILT,131,2 564,"19,6",105,28 519,"271,6",6,612,"111,3"
39 EL-OUED,1 800,180 000,"100,0",2 282,1 129 269,"494,8",681,145 646,"213,9"
40 KHENCHELA,82,3 293,"40,0",321,68 208,"212,5",501,88 975,"177,6"
41 SOUK-AHRAS,435,12 420,"28,6",600,92 701,"154,5",108,7 432,"68,8"
42 TIPAZA,117,12 894,"110,2",714,299 298,"419,5",502,198 566,"395,5"
43 MILA,1 894,1 095 910,"578,6",242,113 973,"470,6",612,198 250,"323,9"
44 AIN-DEFLA,201,18 850,"93,8",5 000,3 619 660,"723,9",6,2 600,"433,3"
45 NAAMA,39,3 465,"90,0",171,20 231,"118,3",291,50 014,"172,1"
46 A.TEMOUCHENT,179,6 875,"38,4",1 675,331 509,"197,9",1 530,397 105,"259,5"
47 GHARDAIA,117,4 955,"42,4",1 400,333 066,"237,9",300,43 500,"145,0"
48 RELIZANE,109,5 560,"51,0",3 709,1 004 380,"270,8",117,11 160,"95,4"
TOTAL ALGERIE,12 945,2 022 005,"156,2",60 399,20 957 575,"347,0",17 941,4 318 834,"240,7"
