0,1,2,3,4,5,6
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,SERIE B 2018
IV-CULTURES MARAICHERES DITES DE PRIMEURS (3/4),,,,,,
,,PIMENTS,,,COURGETTES,
WILAYA,superficie,production,Rendement,superficie,production,Rendement
,ha,qx,qx/ha,ha,qx,qx/ha
1 ADRAR,118,14 348,"121,1",57,10 287,"179,4"
2 CHLEF,0,0,0,0,0,0
3 LAGHOUAT,0,0,0,0,0,0
4 O.E.BOUAGHI,0,0,0,0,0,0
5 BATNA,0,0,0,0,0,0
6 BEJAIA,4,1 023,"257,7",4,688,"190,1"
7 BISKRA,,,0,304,233 550,"768,3"
8 BECHAR,0,0,0,0,0,0
9 BLIDA,0,0,0,0,0,0
10 BOUIRA,0,0,0,0,0,0
11 TAMANRASSET,0,0,0,0,0,0
12 TEBESSA,0,0,0,0,0,0
13 TLEMCEN,0,0,0,40,7 000,"175,0"
14 TIARET,0,0,0,0,0,0
15 TIZI-OUZOU,7,0,"0,0",0,0,0
16 ALGER,23,7 210,"313,5",130,48 794,"374,8"
17 DJELFA,0,0,0,0,0,0
18 JIJEL,0,0,0,83,19 447,"234,5"
19 SETIF,0,0,0,0,0,0
20 SAIDA,0,0,0,0,0,0
21 SKIKDA,0,0,0,44,5 380,"122,2"
22 S.B.ABBES,0,0,0,0,0,0
23 ANNABA,18,3 035,"168,6",12,2 300,"191,7"
24 GUELMA,0,0,0,0,0,0
25 CONSTANTINE,0,0,0,0,0,0
26 MEDEA,0,0,0,0,0,0
27 MOSTAGANEM,0,0,0,0,0,0
28 M'SILA,50,35 000,"700,0",14,8 800,"651,9"
29 MASCARA,0,0,0,0,0,0
30 OUARGLA,56,7 974,"141,9",56,10 995,"195,6"
31 ORAN,0,65,"325,0",2,590,"245,8"
32 EL-BAYADH,0,0,0,0,0,0
33 ILLIZI,0,16,"266,7",0,26,"293,3"
34 B.B.ARRERIDJ,0,0,0,0,0,0
35 BOUMERDES,0,0,0,0,0,0
36 EL-TARF,0,0,0,22,3 280,"149,1"
37 TINDOUF,2,460,"230,0",2,640,"320,0"
38 TISSEMSILT,0,0,0,0,0,0
39 EL-OUED,96,48 105,"500,0",11,11 360,"1 000,0"
40 KHENCHELA,0,0,0,0,0,0
41 SOUK-AHRAS,9,1 200,"133,3",6,495,"90,0"
42 TIPAZA,126,52 986,"419,2",271,126 152,"465,5"
43 MILA,0,0,0,0,0,0
44 AIN-DEFLA,0,0,0,0,0,0
45 NAAMA,0,0,0,0,0,0
46 A.TEMOUCHENT,1,320,"296,3",90,21 555,"238,4"
47 GHARDAIA,1,528,"400,0",1,456,"400,0"
48 RELIZANE,50,2 250,"45,0",5,1 125,"250,0"
TOTAL ALGERIE,563,174 520,"310,0",1 154,512 920,"444,4"
