0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2018
XII-VIGNES A VIN ET A RAISIN DE TABLE (1/2),,,,,,,,,
,,,VIGNES A VINS,,,,VIGNES DE TABLE,,
WILAYA,Sup,Sup en,Product de,Rdt,Production,Sup,Sup en,Production,Rdt
,totale,rapport,raisin de,,de vin,totale,rapport,,
,,,cuve frais,,,,,,
,(ha),ha,Totale  (qx),qx/ha,hl,(ha),ha,(qx),qx/ha
1 ADRAR,0,0,0,0,0,0,0,0,0
2 CHLEF,237,231,9 080,"39,3",0,1 003,933,38 760,"41,5"
3 LAGHOUAT,0,0,0,0,0,373,373,10 444,"28,0"
4 O.E.BOUAGHI,"0,00","0,00",0,0,0,2,2,120,"60,0"
5 BATNA,0,0,0,0,0,92,85,8 090,"94,7"
6 BEJAIA,0,0,0,0,0,431,427,18 267,"42,8"
7 BISKRA,0,0,0,0,0,258,191,20 180,"105,7"
8 BECHAR,0,0,0,0,0,141,119,4 850,"40,8"
9 BLIDA,105,92,5 653,"61,4",0,1 014,769,83 084,"108,0"
10 BOUIRA,0,0,0,0,0,80,47,1 262,"26,7"
11 TAMANRASSET,0,0,0,0,0,137,125,7 753,"62,3"
12 TEBESSA,0,0,0,0,0,0,0,0,0
13 TLEMCEN,658,583,14 259,"24,5",0,1 628,1 422,207 429,"145,9"
14 TIARET,0,0,0,0,0,561,530,42 500,"80,2"
15 TIZI-OUZOU,0,0,0,0,0,1 275,1 059,190 248,"179,7"
16 ALGER,0,0,0,0,0,2 381,2 037,220 460,"108,2"
17 DJELFA,0,0,0,0,0,43,43,7 020,"163,3"
18 JIJEL,0,0,0,0,0,49,40,1 494,"37,3"
19 SETIF,0,0,0,0,0,26,4,44,"12,0"
20 SAIDA,0,0,0,0,0,57,57,3 260,"57,2"
21 SKIKDA,0,0,0,0,0,1 159,1 065,130 743,"122,7"
22 S.B.ABBES,2 808,2 816,42 067,"14,9",0,1 417,968,46 786,"48,3"
23 ANNABA,0,0,0,0,0,89,81,6 740,"83,7"
24 GUELMA,0,0,0,0,0,48,22,1 940,"88,2"
25 CONSTANTINE,0,0,0,0,0,16,9,495,"57,2"
26 MEDEA,190,190,7 925,"41,7",0,4 181,4 066,207 647,"51,1"
27 MOSTAGANEM,7 181,6 979,236 185,"33,8",0,3 615,3 566,163 043,"45,7"
28 M'SILA,0,0,0,0,0,0,0,0,0
29 MASCARA,1 545,1 545,37 900,"24,5",0,3 202,3 032,147 000,"48,5"
30 OUARGLA,0,0,0,0,0,55,51,6 769,"133,2"
31 ORAN,130,92,5 290,"57,5",0,516,492,36 110,"73,5"
32 EL-BAYADH,0,0,0,0,0,25,23,2 145,"95,3"
33 ILLIZI,0,0,0,0,0,27,24,1 642,"68,4"
34 B.B.ARRERIDJ,0,0,0,0,0,4,4,1 200,"300,0"
35 BOUMERDES,0,0,0,0,0,13 873,10 449,2 123 826,"203,3"
36 EL-TARF,14,11,0,"0,0",0,851,705,106 930,"151,7"
37 TINDOUF,0,0,0,0,0,5,0,0,0
38 TISSEMSILT,0,0,0,0,0,247,247,38 956,"158,0"
39 EL-OUED,0,0,0,0,0,220,217,9 600,"44,2"
40 KHENCHELA,0,0,0,0,0,38,31,1 620,"52,3"
41 SOUK-AHRAS,0,0,0,0,0,0,0,0,0
42 TIPAZA,596,596,315,"0,5",0,2 090,1 831,159 692,"87,2"
43 MILA,0,0,0,0,0,16,6,200,"33,3"
44 AIN-DEFLA,67,52,899,"17,2",0,433,387,14 983,"38,7"
45 NAAMA,0,0,0,0,0,63,54,3 672,"68,0"
46 A.TEMOUCHENT,8 337,8 337,226 870,"27,2",162 053,4 334,4 321,225 750,"52,2"
47 GHARDAIA,0,0,0,0,0,400,252,42 840,"170,0"
48 RELIZANE,97,97,30 104,"310,4",1 809,875,874,67 646,"77,4"
TOTAL ALGERIE,21 963,21 620,616 547,"28,5",163 862,47 347,41 036,4 413 238,"107,5"
