0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2019
XIV-CULTURES FRUITIERES A NOYAUX ET / OU A PEPINS (6/7),,,,,,,,
,,Prunes,,,,Autres noyaux ou à pépins,,
WILAYA,Superficie (ha),,Production,Rdt,Superficie (ha),,Production,Rdt
,Complantée,En rapport,(Qx),qx/ha,Complantée,En rapport,(Qx),qx/ha
1 ADRAR,0,0,0,"0,0",0,0,0,"0,0"
2 CHLEF,171,158,19 020,"120,4",100,100,25 000,"250,0"
3 LAGHOUAT,266,242,7 260,"30,0",0,0,0,"0,0"
4 O.E.BOUAGHI,52,46,3 184,"68,8",243,171,50 718,"297,0"
5 BATNA,213,203,16 801,"82,7",393,282,26 107,"92,5"
6 BEJAIA,343,336,18 173,"54,1",92,81,4 153,"51,5"
7 BISKRA,58,51,2 450,"48,0",1 313,700,36 964,"52,8"
8 BECHAR,14,14,830,"59,3",0,0,0,"0,0"
9 BLIDA,572,559,73 231,"131,0",840,674,118 685,"176,1"
10 BOUIRA,189,165,5 879,"35,7",65,64,1 239,"19,4"
11 TAMANRASSET,8,7,143,"19,2",0,0,0,"0,0"
12 TEBESSA,44,40,880,"22,0",9,7,80,"11,4"
13 TLEMCEN,1 873,1 500,165 000,"110,0",78,47,526,"11,2"
14 TIARET,632,500,16 000,"32,0",21,10,20,"2,0"
15 TIZI-OUZOU,279,243,43 898,"180,8",57,35,4 069,"116,3"
16 ALGER,309,269,30 325,"112,9",360,222,22 155,"99,6"
17 DJELFA,395,293,46 820,"159,8",458,396,94 860,"239,5"
18 JIJEL,281,247,46 269,"187,3",69,49,2 808,"57,6"
19 SETIF,206,206,7 368,"35,8",762,707,6 983,"9,9"
20 SAIDA,101,93,3 651,"39,5",123,110,1 711,"15,6"
21 SKIKDA,712,609,97 694,"160,5",711,686,21 270,"31,0"
22 S.B.ABBES,1 208,880,61 670,"70,1",72,42,940,"22,7"
23 ANNABA,148,136,18 346,"135,4",27,9,425,"47,2"
24 GUELMA,383,315,52 679,"167,3",311,300,47 152,"157,0"
25 CONSTANTINE,70,60,9 675,"160,3",208,149,29 680,"199,5"
26 MEDEA,1 076,861,71 075,"82,6",12,10,238,"25,0"
27 MOSTAGANEM,887,878,64 593,"73,6",15,15,75,"5,0"
28 M'SILA,140,77,4 235,"55,0",0,0,0,"0,0"
29 MASCARA,286,218,8 700,"39,9",206,93,18 325,"198,1"
30 OUARGLA,23,14,849,"60,4",1,0,0,"0,0"
31 ORAN,159,111,3 266,"29,4",0,0,0,"0,0"
32 EL-BAYADH,85,85,3 651,"43,2",7,0,0,"0,0"
33 ILLIZI,0,0,10,"0,0",0,0,0,"0,0"
34 B.B.ARRERIDJ,109,100,2 173,"21,8",1 392,1 390,24 382,"17,5"
35 BOUMERDES,125,112,9 533,"85,5",101,40,6 810,"171,3"
36 EL-TARF,232,213,20 195,"94,8",411,236,35 915,"152,2"
37 TINDOUF,0,0,0,"0,0",5,0,0,"0,0"
38 TISSEMSILT,350,350,22 596,"64,6",0,0,0,"0,0"
39 EL-OUED,0,0,0,"0,0",0,0,0,"0,0"
40 KHENCHELA,317,282,14 395,"51,1",77,60,2 043,"34,3"
41 SOUK-AHRAS,210,198,10 063,"51,0",4 588,4 568,528 540,"115,7"
42 TIPAZA,815,764,91 488,"119,8",178,61,11 395,"186,8"
43 MILA,73,58,3 371,"58,6",90,35,1 920,"54,5"
44 AIN-DEFLA,396,276,19 142,"69,5",244,163,28 429,"174,7"
45 NAAMA,5,5,99,"20,8",7,0,0,"0,0"
46 A.TEMOUCHENT,918,907,22 504,"24,8",7,7,525,"75,0"
47 GHARDAIA,32,19,1 672,"88,0",0,0,0,"0,0"
48 RELIZANE,101,101,10 000,"99,0",0,0,0,"0,0"
TOTAL ALGERIE,14 861,12 795,1 130 855,"88,4",13 650,11 516,1 154 140,"100,2"
