0,1,2,3,4,5,6,7,8,9
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,,SERIE B 2016
VIII-ANIMAUX D'ELEVAGE (1/4),,,,,,,,,
,,,,,E S P E C E         B O V I N E,,,,
WILAYA,,Vaches  laitières,,Génisses,Taureaux,Taurillons,Veaux,Velles,TOTAL
,B.L.M,BLA+BLL,TOTAL,+ 12 mois,,12 à 18 mois,- 12 mois,- 12 mois,
1 ADRAR,268,158,426,187,144,174,182,249,1 362
2 CHLEF,7 595,16 070,23 665,7 027,2 624,4 776,5 510,5 664,49 266
3 LAGHOUAT,3 609,8 695,12 304,2 548,1 628,1 336,2 346,1 242,21 404
4 O.E.BOUAGHI,7 292,19 348,26 640,7 126,2 597,6 842,8 033,9 412,60 650
5 BATNA,13 606,11 932,25 538,4 923,1 361,2 989,4 986,5 653,45 450
6 BEJAIA,6 570,12 074,18 644,8 890,1 851,6 840,5 324,5 218,46 767
7 BISKRA,1 486,1 027,2 513,454,310,390,515,828,5 010
8 BECHAR,46,1 143,1 189,247,116,291,176,164,2 183
9 BLIDA,3 706,8 340,12 046,2 601,1 641,1 534,2 380,3 606,23 808
10 BOUIRA,13 000,31 000,44 000,5 719,2 571,5 176,5 404,6 070,68 940
11 TAMANRASSET,0,0,0,0,0,0,0,0,0
12 TEBESSA,1 600,6 400,8 000,1 600,667,1 333,1 760,2 640,16 000
13 TLEMCEN,10 200,13 900,24 100,3 943,1 008,3 209,4 440,3 300,40 000
14 TIARET,10 045,29 274,39 319,6 896,2 559,4 044,7 407,8 092,68 317
15 TIZI-OUZOU,27 715,29 311,57 026,19 258,6 894,16 678,15 935,18 355,134 146
16 ALGER,7 745,956,8 701,1 587,759,1 873,1 123,1 088,15 131
17 DJELFA,2 330,14 840,17 170,3 810,560,1 150,6 190,5 520,34 400
18 JIJEL,3 271,40 019,43 290,10 368,1 976,6 385,9 602,8 870,80 491
19 SETIF,26 004,51 442,77 446,17 607,3 301,19 839,19 760,22 649,160 602
20 SAIDA,3 932,10 586,14 518,2 148,1 382,2 378,2 756,2 289,25 471
21 SKIKDA,14 878,66 666,81 544,16 332,5 443,11 649,8 906,12 247,136 121
22 S.B.ABBES,11 998,8 002,20 000,5 943,1 643,5 138,5 832,4 444,43 000
23 ANNABA,2 291,17 948,20 239,5 952,2 644,8 569,6 996,7 000,51 400
24 GUELMA,3 879,54 130,58 009,10 414,4 637,7 149,7 205,11 392,98 806
25 CONSTANTINE,11 976,17 600,29 576,6 950,1 729,5 672,5 205,6 045,55 177
26 MEDEA,10 827,19 788,30 615,12 393,2 764,6 730,6 833,6 175,65 510
27 MOSTAGANEM,12 920,7 750,20 670,2 245,777,1 370,2 538,3 100,30 700
28 M'SILA,11 000,10 000,21 000,3 500,820,770,3 050,3 460,32 600
29 MASCARA,5 600,12 700,18 300,5 100,1 600,3 200,5 700,6 600,40 500
30 OUARGLA,267,152,419,95,55,172,359,196,1 296
31 ORAN,5 185,6 069,11 254,3 031,1 109,1 969,2 310,2 681,22 354
32 EL-BAYADH,1 930,11 540,13 470,4 006,1 520,2 230,4 091,2 821,28 138
33 ILLIZI,0,0,0,0,0,0,0,0,0
34 B.B.ARRERIDJ,10 292,8 702,18 994,5 096,1 886,1 511,4 276,6 073,37 836
35 BOUMERDES,11 958,4 483,16 441,4 852,1 742,2 248,2 953,2 888,31 124
36 EL-TARF,2 749,47 659,50 408,12 668,3 865,6 705,9 349,10 805,93 800
37 TINDOUF,10,8,18,4,1,2,2,2,29
38 TISSEMSILT,830,8 010,8 840,2 447,1 158,1 388,1 990,2 927,18 750
39 EL-OUED,328,632,960,3 196,48,12 752,3 840,1 504,22 300
40 KHENCHELA,6 171,8 480,14 651,1 381,540,2 500,1 581,1 552,22 205
41 SOUK-AHRAS,12 375,37 798,50 173,9 884,2 381,6 799,14 878,16 981,101 096
42 TIPAZA,1 542,3 228,4 770,1 454,896,914,1 001,1 230,10 265
43 MILA,18 830,26 377,45 207,14 041,4 935,8 806,10 288,11 237,94 514
44 AIN-DEFLA,5 592,12 999,18 591,4 739,1 702,3 439,5 682,5 557,39 710
45 NAAMA,2 734,16 365,19 099,3 028,1 122,1 968,6 013,6 375,37 605
46,4 943,7 711,12 654,2 161,1 008,1 264,1 831,2 220,21 138
A.TEMOUCHENT,,,,,,,,,
47 GHARDAIA,2 394,0,2 394,375,108,138,541,446,4 002
48 RELIZANE,7 542,14 252,21 794,5 010,2 457,3 023,4 515,5 133,41 932
TOTAL ALGERIE,331 061,735 564,1 066 625,253 236,82 539,195 312,231 594,252 000,2 081 306
BLA  = Bovin  Laitier  amélioré,,,,,,,,,
BLM = Bovin  Laitier  Moderne,,,,,,,,,
BLL  = Bovin  Laitier  Local,,,,,,,,,
