0,1,2,3,4,5,6,7,8
"Direction des Systèmes d'Information, des Statistiques et de la Prospective",,,,,,,,SERIE B 2019
X-CULTURES IRRIGUEES,,,,,,,,
,Céréales,,Cultures,Cultures,Cultures,Vignes,Divers,TOTAL
WILAYA,d'été,d'hiver,Fruitières,Maraichères,Indust.,,,
1 ADRAR,1 344,18 864,26 709,5 186,1 878,0,3 998,57 979
2 CHLEF,0,4 200,10 668,9 355,1 210,1 063,768,27 263
3 LAGHOUAT,0,10 494,3 407,10 900,30,373,14 272,39 476
4 O.E.BOUAGHI,38,10 907,1 837,2 700,894,0,12 559,28 934
5 BATNA,0,15 707,22 835,7 440,213,91,36 638,82 923
6 BEJAIA,142,0,7 385,4 151,12,319,672,12 680
7 BISKRA,0,31 360,53 855,23 486,86,289,8 883,117 959
8 BECHAR,0,2 169,16 182,2 690,100,127,0,21 268
9 BLIDA,0,0,27 302,6 182,66,544,614,34 708
10 BOUIRA,0,516,3 345,7 108,0,0,497,11 466
11 TAMANRASSET,0,745,422,1 894,38,137,64,3 301
12 TEBESSA,0,11 000,6 898,4 757,0,0,7 941,30 596
13 TLEMCEN,0,7 800,14 550,16 392,8,450,100,39 300
14 TIARET,0,11 000,7 440,13 271,0,0,1 160,32 871
15 TIZI-OUZOU,0,20,2 872,3 735,0,423,2 630,9 680
16 ALGER,0,148,9 498,10 787,0,669,35,21 136
17 DJELFA,0,19 395,19 014,9 678,36,43,2 460,50 626
18 JIJEL,97,0,2 353,5 633,90,12,415,8 600
19 SETIF,0,8 008,15 319,8 015,1 100,26,14 802,47 269
20 SAIDA,0,8 894,6 370,10 555,0,57,2 757,28 633
21 SKIKDA,113,0,8 398,10 433,9 906,1 147,45,30 041
22 S.B.ABBES,0,4 664,2 083,4 192,20,336,154,11 448
23 ANNABA,0,0,2 273,2 632,2 200,35,77,7 216
24 GUELMA,0,7,1 824,3 186,3 915,0,6,8 938
25 CONSTANTINE,0,50,1 160,874,0,9,64,2 157
26 MEDEA,0,567,4 211,6 086,0,7,209,11 080
27 MOSTAGANEM,0,279,11 750,28 281,175,0,0,40 485
28 M'SILA,0,14 050,12 008,8 800,0,35,8 707,43 600
29 MASCARA,0,9 384,6 857,21 862,45,1 848,13 004,53 000
30 OUARGLA,0,2 883,23 843,4 746,84,17,522,32 095
31 ORAN,0,629,5 343,2 908,10,114,824,9 828
32 EL-BAYADH,12,4 827,2 988,4 361,142,25,1 069,13 422
33 ILLIZI,0,51,1 637,374,0,27,226,2 315
34 B.B.ARRERIDJ,0,3 027,2 508,1 884,0,4,1 378,8 800
35 BOUMERDES,0,200,7 352,12 936,0,5 502,65,26 055
36 EL-TARF,0,2,4 866,3 807,5 708,354,74,14 811
37 TINDOUF,0,0,20,139,0,0,646,805
38 TISSEMSILT,0,2 580,3 099,1 448,0,111,1 745,8 983
39 EL-OUED,0,8 748,41 690,39 917,5 285,140,2 420,98 200
40 KHENCHELA,0,39 477,13 991,4 836,0,35,12 713,71 051
41 SOUK-AHRAS,0,0,2 953,5 203,54,0,10,8 220
42 TIPAZA,0,94,8 359,14 430,280,0,358,23 520
43 MILA,0,2 195,3 124,5 554,20,16,5 526,16 435
44 AIN-DEFLA,0,7 237,10 019,28 176,2 042,26,663,48 163
45 NAAMA,0,2 196,2 901,2 261,40,59,3 513,10 969
46 A.TEMOUCHENT,0,1 974,1 826,6 367,0,376,248,10 791
47 GHARDAIA,0,6 914,16 103,4 400,740,439,5 800,34 396
48 RELIZANE,0,3 233,11 968,12 557,322,0,312,28 391
TOTAL ALGERIE,1 746,276 495,473 413,406 561,36 744,15 283,171 639,1 381 880
